time,relu_E_pp,linear_E_pp,relu_f1_pp,relu_f2_pp,linear_f1_pp,linear_f2_pp,weak_gate_pp,relu_E_pm,linear_E_pm,relu_f1_pm,relu_f2_pm,linear_f1_pm,linear_f2_pm,weak_gate_pm,relu_E_mp,linear_E_mp,relu_f1_mp,relu_f2_mp,linear_f1_mp,linear_f2_mp,weak_gate_mp,relu_E_mm,linear_E_mm,relu_f1_mm,relu_f2_mm,linear_f1_mm,linear_f2_mm,weak_gate_mm
0.0,6.499300266288241,6.4986590065584675,0.0001620886035529109,0.00010674336726528737,0.00031835767043807844,0.00019299486476512582,1,6.499354220789288,6.498687988155719,0.00015873997724617648,-8.478773632249317e-05,0.00031352692115452945,-0.00018574874083980233,0,6.499333734235302,6.498687988155719,-0.0001547869439083529,0.00010096100451730915,-0.00031352692115452945,0.00018574874083980233,1,6.499358705734015,6.4986590065584675,-0.00015626906688516755,-8.625149749983842e-05,-0.00031835767043807844,-0.00019299486476512582,0
0.01,6.499242851284867,6.49843772215902,0.00017780067669237297,0.00011188437532627858,0.00038111314977951456,0.0002095164819181465,1,6.499310122824157,6.498471124468597,0.0001731476592092348,-8.522641002084071e-05,0.0003755454612950953,-0.0002011649491915176,0,6.4993253303101,6.498471124468597,-0.00015527244387140486,0.00010443493318962148,-0.0003755454612950953,0.0002011649491915176,1,6.499360817018992,6.49843772215902,-0.00015591719863262146,-8.572360723247197e-05,-0.00038111314977951456,-0.0002095164819181465,0
0.02,6.49918037089635,6.498176467342345,0.00019500065434745585,0.00011732651799574003,0.000456241858999331,0.00022746851496806974,1,6.499262105977427,6.498214961660853,0.00018889901783064584,-8.560923748638863e-05,0.00044982529759018334,-0.00021784367285434826,0,6.49931668488268,6.498214961660853,-0.00015576129231457118,0.00010802460291222676,-0.00044982529759018334,0.00021784367285434826,1,6.499362908976614,6.498176467342345,-0.00015557852666175503,-8.518558701597979e-05,-0.000456241858999331,-0.00022746851496806974,0
0.030000000000000002,6.499112367200009,6.497867674843233,0.00021386710442946732,0.00012303096229018725,0.0005461833904893924,0.0002469773211728402,1,6.49920980062067,6.4979120351508675,0.00020615152604496856,-8.588486926329664e-05,0.0005387888909985425,-0.00023588557193656535,0,6.499307794439957,6.4979120351508675,-0.0001562228952335428,0.00011177766213036885,-0.0005387888909985425,0.00023588557193656535,1,6.499364978874042,6.497867674843233,-0.00015521595159806667,-8.469445186707913e-05,-0.0005461833904893924,-0.0002469773211728402,0
0.04,6.499038336999763,6.497502313715218,0.00023452493888309096,0.00012906200653122404,0.000653858123648907,0.00026818081976706675,1,6.499152804239798,6.497553432615393,0.00022500678460538113,-8.61022136039614e-05,0.0006453368266871625,-0.0002553988743244501,0,6.499298653330082,6.497553432615393,-0.00015669458983421226,0.0001156409317129066,-0.0006453368266871625,0.0002553988743244501,1,6.499367027286128,6.497502313715218,-0.0001548592477442835,-8.420525329695215e-05,-0.000653858123648907,-0.00026818081976706675,0
0.05,6.498957736514149,6.497069604004757,0.0002571636984645151,0.00013540731230543432,0.0007827618442823676,0.0002912296138961431,1,6.499090678579659,6.497128511183577,0.0002456158611880707,-8.625386010827006e-05,0.0007729420112069128,-0.00027649986428296083,0,6.499289253305726,6.497128511183577,-0.00015717744975757888,0.00011961692574037868,-0.0007729420112069128,0.00027649986428296083,1,6.499369049544893,6.497069604004757,-0.00015448801333055152,-8.375092774891735e-05,-0.0007827618442823676,-0.0002912296138961431,0
0.060000000000000005,6.498869960558029,6.496556675848482,0.00028197601694540295,0.00014208061991164626,0.0009370789220629148,0.00031628823145201155,1,6.499022943834797,6.496624559458988,0.00026814412684000996,-8.633173095159187e-05,0.0009257623594200737,-0.0002993133874877498,0,6.499279585683996,6.496624559458988,-0.00015767270374197732,0.00012370814348586473,-0.0009257623594200737,0.0002993133874877498,1,6.4993710523545545,6.496556675848482,-0.00015409455441137994,-8.333966376367305e-05,-0.0009370789220629148,-0.00031628823145201155,0
0.07,6.498774348902762,6.4959481622752415,0.0003091618724732417,0.00014911219378634883,0.0011218176576991217,0.00034353649887626156,1,6.498949074710621,6.496026393716667,0.00029277260820632635,-8.632702441854661e-05,0.0011087755716140668,-0.00032397336974867934,0,6.499269641295744,6.496026393716667,-0.00015818175614153065,0.00012791706397657026,-0.0011087755716140668,0.00032397336974867934,1,6.499373042836319,6.4959481622752415,-0.00015368110731294132,-8.296454612105399e-05,-0.0011218176576991217,-0.00034353649887626156,0
0.08,6.498670181439756,6.495225712981922,0.0003389309248478698,0.00015654773819108523,0.0013429721019206167,0.000373171063835507,1,6.498868495850383,6.49531587561984,0.0003197100295302198,-8.621444237186528e-05,0.0013279402898871138,-0.0003506233457852524,0,6.499259410683805,6.49531587561984,-0.00015869564959942908,0.0001322618530751054,-0.0013279402898871138,0.0003506233457852524,1,6.499375028352608,6.495225712981922,-0.00015325911206323423,-8.260473357564395e-05,-0.0013429721019206167,-0.000373171063835507,0
0.09000000000000001,6.498556680178983,6.494367413986098,0.00037154000032611116,0.00016439117662689766,0.001607715465446186,0.0004054070847619505,1,6.498780573534357,6.494471336446612,0.0003491915055051009,-8.595830544819914e-05,0.0015903887378330658,-0.00037941699334227,0,6.499248887620077,6.494471336446612,-0.00015919801909182723,0.00013677017384623827,-0.0015903887378330658,0.00037941699334227,1,6.499377009023439,6.494367413986098,-0.00015281349188433775,-8.228278105887327e-05,-0.001607715465446186,-0.0004054070847619505,0
0.1,6.498432989852508,6.493347095288241,0.00040725472275702547,0.00017267190760956726,0.0019246312035071207,0.0004404801076173564,1,6.498684615972037,6.493466890059805,0.0003814320576171291,-8.558213123459658e-05,0.0019046569095401754,-0.0004105186666669384,0,6.4992380635526885,6.493466890059805,-0.00015971337739114418,0.00014140953382441433,-0.0019046569095401754,0.0004105186666669384,1,6.499378991147996,6.493347095288241,-0.0001523429452694136,-8.199749108807427e-05,-0.0019246312035071207,-0.0004404801076173564,0
0.11,6.49829818560516,6.49213350544875,0.00044634047300623887,0.00018145452430074835,0.0023039889933656483,0.00047864815290991257,1,6.498579867013071,6.492271613640468,0.0004166924049588042,-8.507310352478945e-05,0.0022809595060151386,-0.00044410392188414823,0,6.499226928162065,6.492271613640468,-0.00016024329772372568,0.00014618273420813907,-0.0022809595060151386,0.00044410392188414823,1,6.499380972984534,6.49213350544875,-0.00015187109024404367,-8.171430788091251e-05,-0.0023039889933656483,-0.00047864815290991257,0
0.12000000000000001,6.498151259647701,6.49068932824837,0.0004891122533025485,0.0001907707022604176,0.0027580741536907117,0.000520194038997569,1,6.498465498690438,6.490848571485148,0.0004552579599022187,-8.441731145055559e-05,0.002731518144415446,-0.0004803600250846699,0,6.499215470533722,6.490848571485148,-0.0001607895768147913,0.0001510925384777559,-0.002731518144415446,0.0004803600250846699,1,6.499382950958126,6.49068932824837,-0.00015139890347273008,-8.143355399071587e-05,-0.0027580741536907117,-0.000520194038997569,0
0.13,6.497991112023877,6.488970012308376,0.0005359144401743164,0.00020065419439772647,0.00330158060704394,0.0005654279710704248,1,6.498340604414741,6.489153652892703,0.0004974411619962729,-8.359965878784417e-05,0.0032709529143080157,-0.0005194864319665386,0,6.499203679094167,6.489153652892703,-0.00016135426308930658,0.00015614166213664417,-0.0032709529143080157,0.0005194864319665386,1,6.499384921084477,6.488970012308376,-0.00015092748633101818,-8.115556959827583e-05,-0.00330158060704394,-0.0005654279710704248,0
