boundary_fraction_requested,B1_fraction_actual,B2_fraction_actual,tau1,tau2,t_W,bar_u_W_1,bar_u_W_2,bar_u_W_angle_deg,bar_u_W_a_over_b,A1_count,A2_count,R_count,A1_count_fraction,A2_count_fraction,R_count_fraction,A1_mass_fraction_at_tW,A2_mass_fraction_at_tW,R_mass_fraction_at_tW,strong_seed_coverage_in_A1,weak_reference_seed_coverage_in_A2,weak_reference_seed_count
0.0,0.0,0.0,0.0,0.0,2.15,0.005324071863160114,0.9999858270289614,89.69495171126836,0.005324147322145916,0,0,200,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11
0.025,0.025,0.025,0.008552508619929072,0.01094226594531134,2.15,0.005324071863160114,0.9999858270289614,89.69495171126836,0.005324147322145916,1,10,189,0.005,0.05,0.945,0.01509182527704061,0.030930743203747536,0.953977431519212,0.045454545454545456,0.7272727272727273,11
0.05,0.05,0.05,0.01809298440335559,0.0210077201837837,2.15,0.005324071863160114,0.9999858270289614,89.69495171126836,0.005324147322145916,2,22,176,0.01,0.11,0.88,0.03036881403576462,0.06703531149666224,0.9025958744675732,0.09090909090909091,1.0,11
0.1,0.1,0.1,0.037213456351766615,0.03875456902520407,2.15,0.005324071863160114,0.9999858270289614,89.69495171126836,0.005324147322145916,8,31,161,0.04,0.155,0.805,0.12053282714655142,0.08725442594122984,0.7922127469122188,0.3181818181818182,1.0,11
