time,frozen_gate_rel_rms_all,block_selector_rel_rms_all,frozen_gate_rel_rms_cluster1,block_selector_rel_rms_cluster1,frozen_gate_rel_rms_cluster2,block_selector_rel_rms_cluster2
3.52,0.0,0.06710557056939888,0.0,0.06654146000074901,0.0,0.06958750758349683
3.5300000000000002,4.5077759294512346e-07,0.06703246947448115,4.978606384790994e-07,0.06650274659996472,7.068689197010914e-08,0.06933434927077486
3.54,1.2963693650994649e-06,0.06699261052169718,1.4343428206409501e-06,0.06650478033411546,1.7680022544744409e-07,0.06908758491767976
3.5500000000000003,2.319650737154412e-06,0.06692868128957254,2.5699247331371787e-06,0.06647670869714752,3.073321642378799e-07,0.06884704278686185
3.56,3.4785841920528446e-06,0.06686562753530156,3.858858105429814e-06,0.06644931626801855,4.4956529479707394e-07,0.06861256103964448
3.5700000000000003,4.769010325157544e-06,0.0668177707326538,5.297253691376665e-06,0.06644040188979224,5.935404601440429e-07,0.06838398781482255
3.58,6.188479609793753e-06,0.0667503133639074,6.8830350550199085e-06,0.06640665814287221,7.304910764671778e-07,0.0681611581926845
3.5900000000000003,7.760771745175319e-06,0.06666391551700909,8.643241235367104e-06,0.06634874724391031,8.558006914128704e-07,0.06794392073032467
3.6,9.4745763339359e-06,0.06658971123794057,1.056567809221133e-05,0.06630547788952026,9.68670107266273e-07,0.06773212989102795
3.6100000000000003,1.133787571032987e-05,0.06652484970923324,1.2659696353015449e-05,0.06627333768443948,1.0667862301326197e-06,0.067525642342121
3.62,1.3328381587295341e-05,0.06646680447133618,1.4900738666775368e-05,0.06624919362102756,1.1491630692127924e-06,0.06732432066283854
3.6300000000000003,1.546440056841013e-05,0.06640315268741898,1.7309606416124337e-05,0.06621744278788784,1.2161617501618763e-06,0.06712802391492496
3.64,1.771428204508922e-05,0.0663220463220004,1.9851124835316848e-05,0.06616310147649121,1.26841818539849e-06,0.06693661751578527
3.6500000000000004,2.0068456040028147e-05,0.06626816800105845,2.2514760945685825e-05,0.06614244238487765,1.307086701009733e-06,0.06674996970000399
3.66,2.2528429465161474e-05,0.06621166526641903,2.530240414711271e-05,0.06611787807823451,1.3319177474849238e-06,0.0665679519812382
3.6700000000000004,2.5106724701750842e-05,0.0661432530278011,2.8228319414762423e-05,0.06607762267764278,1.3434652208397554e-06,0.06639043914949742
3.68,2.7815960528277173e-05,0.06609154533233164,3.130691411638285e-05,0.06605787882081915,1.3431058013515213e-06,0.06621730728232378
3.6900000000000004,3.067218647753772e-05,0.06602650271307241,3.4556505415997356e-05,0.06602058250277472,1.3324445187699697e-06,0.06604843889748474
3.7,3.3670379495866834e-05,0.06597656633599729,3.7971698920269065e-05,0.06600181943432919,1.3127854986938274e-06,0.06588371911311632
3.71,3.679750209596959e-05,0.06592611650685452,4.153801872570182e-05,0.06598176978118865,1.2854999852160657e-06,0.06572303735794606
3.72,4.00786073665526e-05,0.06587694350762398,4.528396704773321e-05,0.06596270566123585,1.2527358839061185e-06,0.06556628304112813
3.73,4.3495839983233485e-05,0.06582902417351572,4.918959241975903e-05,0.0659445969910521,1.2180339799698452e-06,0.06541334832845891
3.74,4.707738091761218e-05,0.06578195667299559,5.328697841540088e-05,0.06592692931169127,1.1856160823096638e-06,0.06526413152505854
3.75,5.083464657337168e-05,0.06573833975627547,5.7589310534234544e-05,0.06591302746773967,1.1603203270468291e-06,0.06511853418225697
3.7600000000000002,5.477498125605978e-05,0.06568724559899763,6.210517536269167e-05,0.0658888984388732,1.1493660595543991e-06,0.0649764520049075
3.77,5.8909424153282824e-05,0.06564755027669868,6.684735565034909e-05,0.06587872783383744,1.1621236751159743e-06,0.06483778668905706
3.7800000000000002,6.325524009445222e-05,0.06561055608972763,7.183573004019513e-05,0.0658713893439721,1.2071391897793584e-06,0.06470244758405927
3.79,6.781740529794883e-05,0.06557564432099906,7.70762541962152e-05,0.06586609661778517,1.2903772477082639e-06,0.06457034350167033
3.8000000000000003,7.261338937492334e-05,0.06554174799914814,8.258907606429553e-05,0.06586148302955354,1.4178146338854214e-06,0.06444138581254115
3.81,7.765985993430964e-05,0.06550981764525772,8.83934657081005e-05,0.06585877526173987,1.5924449296002622e-06,0.06431549353700924
3.8200000000000003,8.295408251102917e-05,0.06547855453972419,9.448662659381983e-05,0.06585630709723826,1.8140150745437612e-06,0.06419257651160233
3.83,8.849023255493789e-05,0.06544995673186176,0.00010086218321063648,0.06585666089777223,2.0848092729463015e-06,0.06407255542089062
3.8400000000000003,9.426065751930191e-05,0.06542345225811234,0.00010751165462669943,0.06585910895462431,2.4024085550205036e-06,0.06395534794500642
3.85,0.0001002696944289579,0.065399732987312,0.00011444018078749341,0.06586455460025568,2.7673986529650125e-06,0.06384087856866416
3.8600000000000003,0.00010653482501129173,0.06536986634968191,0.00012166786160405038,0.06586144294655426,3.18610191066079e-06,0.0637290735856796
3.87,0.00011307381737041631,0.06535083799260923,0.00012921501209074604,0.06587176539842053,3.6795867046486044e-06,0.06361986742999992
3.8800000000000003,0.0001199107852440176,0.06533626466706742,0.00013710953468244597,0.0658872828060777,4.230566760449621e-06,0.0635131820350234
3.89,0.00012703641782437137,0.0653188538202037,0.0001453410625532788,0.06589854587650974,4.833135459242797e-06,0.06340895079090404
3.9000000000000004,0.00013444126911379406,0.06530031042852938,0.0001538987597695831,0.06590776079531582,5.50717589079089e-06,0.06330711731832558
3.91,0.00014213175233241133,0.06527985679352434,0.00016279007424621056,0.06591391719902248,6.25407404764282e-06,0.06320761678821515
3.9200000000000004,0.00015011486824143932,0.06526816801169483,0.00017202301620239903,0.06593089952794445,7.083391420014406e-06,0.06311038492211814
3.93,0.00015837631446814022,0.06525267695328221,0.00018158137151771467,0.06594238077811057,7.986774254606757e-06,0.06301535345006772
3.9400000000000004,0.0001669157513191964,0.06523457421957836,0.00019146492899906945,0.06594990573998925,8.956095234783921e-06,0.06292246514355103
3.95,0.00017576156983110106,0.06523093250843774,0.00020170621882438416,0.06597572236268441,1.0000611248834533e-05,0.0628316622366391
3.9600000000000004,0.0001849295430057733,0.0652188972744919,0.00021232306569181022,0.06599006854848227,1.1143337678927234e-05,0.06274288807907746
3.97,0.00019442895072703905,0.0652016914886737,0.0002233261919546436,0.06599713473258612,1.2383182073379687e-05,0.06265609011710671
3.98,0.00020427350096085138,0.06519349292508499,0.00023473130871554812,0.0660154220685884,1.3725370203276381e-05,0.06257122044652809
3.99,0.0002144361064403488,0.0651863062415706,0.0002465078053960468,0.06603451550785072,1.5143216957933922e-05,0.06248821867331049
4.0,0.00022490713067137747,0.0651837186838989,0.0002586441557701112,0.06605911085710506,1.6660123006807092e-05,0.062407034101112514
4.01,0.00023569950602255694,0.06518400860427025,0.0002711554130266019,0.06608697136385676,1.8267360800363076e-05,0.0623276198066368
4.0200000000000005,0.0002468324757807565,0.06518826177658363,0.000284064078317772,0.06611953001299248,1.9951159834907505e-05,0.06224992211398837
4.03,0.000258312385310342,0.0651635547861838,0.0002973770816128877,0.06611372018756623,2.1730618318854915e-05,0.06217389338732239
4.04,0.0002701324466957065,0.06515987811106731,0.00031108612207179784,0.06613493409907693,2.362509911041907e-05,0.062099508865251736
4.05,0.0002822821019989049,0.06515087621452953,0.0003251794791625127,0.06614869585989175,2.5614212241645217e-05,0.06202673119591568
