time,fraction_neurons_with_any_gate_flip,mean_neuron_gate_flip_fraction,mass_weighted_gate_flip_fraction,frozen_gate_relative_rms_error
2.15,0.0,0.0,0.0,0.0
2.16,0.59,0.0007037500000000001,0.0009232899533299171,1.2005694869220039e-06
2.17,0.63,0.0013175,0.0016719614807939917,3.6371093801624457e-06
2.18,0.65,0.00203625,0.0025680767017000664,7.097540998771962e-06
2.19,0.665,0.00271625,0.0034778107272049512,1.173616707572017e-05
2.2,0.675,0.0034062499999999996,0.004302579202007896,1.7480437888186003e-05
2.21,0.685,0.00411375,0.005219568425923921,2.4290002803615246e-05
2.22,0.69,0.0047575000000000004,0.0061257626868573,3.230278340617347e-05
2.23,0.69,0.00536,0.006881946707653587,4.126945436605169e-05
2.24,0.69,0.0059925,0.007692115231742745,5.121806322224999e-05
2.25,0.69,0.00664625,0.008480326175449289,6.216004926411704e-05
2.2600000000000002,0.695,0.0072575,0.00918837948577996,7.397472082461242e-05
2.27,0.7,0.007835000000000002,0.009942149383834946,8.664464007526714e-05
2.2800000000000002,0.695,0.008425,0.010657701911554473,0.0001001999768682609
2.29,0.71,0.009000000000000001,0.01140451513691128,0.00011451527599619887
2.3000000000000003,0.715,0.009631250000000001,0.012183232587668708,0.00012962081745781308
2.31,0.715,0.010154999999999999,0.01286292549705163,0.00014546395693772196
2.3200000000000003,0.715,0.01072125,0.013522377918978076,0.0001619314874632093
2.33,0.715,0.011310000000000002,0.01426760574951832,0.0001790916583446111
2.3400000000000003,0.715,0.011877500000000001,0.014997742208690608,0.0001968885550861854
2.35,0.715,0.01243125,0.015618516445208796,0.0002152376148812641
2.3600000000000003,0.71,0.012970000000000002,0.016261083086942595,0.00023413668611930424
2.37,0.71,0.01351,0.016865403602513117,0.00025358584329868226
2.38,0.705,0.014038750000000003,0.01748421494360318,0.00027354086585769046
2.39,0.705,0.01453125,0.018066880277352523,0.00029397508373106275
2.4,0.72,0.015032499999999999,0.018700266178340242,0.00031499335940670845
2.41,0.72,0.015492500000000003,0.019279692731298054,0.00033646720419362546
2.42,0.725,0.01602875,0.01988044631616133,0.00035840607044609646
2.43,0.735,0.01652875,0.020472896194630472,0.00038077076300856903
2.44,0.735,0.01703375,0.02107883360515507,0.0004035004829192822
2.45,0.735,0.017487500000000003,0.021556975072769678,0.0004265720112029385
2.46,0.735,0.01794625,0.022075091143235206,0.0004498960525972493
2.47,0.735,0.01837875,0.02257708933807746,0.00047347500429919723
2.48,0.735,0.0188725,0.023125583030925566,0.0004973108392272333
2.49,0.735,0.01930875,0.023639869347641052,0.0005213266604651098
2.5,0.735,0.01975,0.024149693816318134,0.0005455733720478649
2.5100000000000002,0.735,0.02022,0.024661235477604106,0.0005699917273399465
2.52,0.735,0.0206975,0.02519427608723614,0.0005945948021005087
2.5300000000000002,0.735,0.021102500000000003,0.025662829375112255,0.0006193510999062242
2.54,0.735,0.02148625,0.026122414984681458,0.000644227103030192
2.5500000000000003,0.74,0.021925000000000004,0.02665702693104085,0.0006691767850906062
2.56,0.74,0.022331250000000004,0.027067178779160667,0.0006942194210653978
2.5700000000000003,0.74,0.022757500000000003,0.027559908151138034,0.0007193873973195814
2.58,0.74,0.023131250000000003,0.027969450868637686,0.0007446608058312513
2.5900000000000003,0.74,0.0235025,0.028371404268188086,0.0007699283807652
2.6,0.74,0.023876249999999998,0.028791789207445757,0.0007952529358041322
2.6100000000000003,0.74,0.02422875,0.029158959839989618,0.0008205423113406373
2.62,0.735,0.024575,0.02952323682182556,0.0008457551942618473
2.6300000000000003,0.735,0.024932499999999996,0.029922948286288158,0.0008709176446476166
2.64,0.735,0.025233750000000003,0.030220073559679397,0.0008959680573113316
2.65,0.735,0.025581250000000003,0.03055208468185354,0.000920855274884547
2.66,0.74,0.025902500000000002,0.03092105253298502,0.0009455917015244915
2.67,0.74,0.02624875,0.03130308803610461,0.0009701623116589561
2.68,0.74,0.02655875,0.031617469885287595,0.0009944973928368358
2.69,0.74,0.0268575,0.031919389046319184,0.001018546027511185
2.7,0.74,0.027152500000000003,0.03217305678620673,0.0010422754808693956
2.71,0.74,0.027448750000000004,0.032458472622543005,0.0010656721684462378
2.72,0.745,0.02771,0.03269410755905662,0.0010886837442684253
2.73,0.75,0.027965,0.03291570436049682,0.0011112968438650294
2.74,0.75,0.02820125,0.03311972169957177,0.001133548849436755
2.75,0.75,0.028415000000000003,0.03334037028579489,0.0011554032045250381
2.7600000000000002,0.75,0.02864,0.03354393441874625,0.0011767876041517834
2.77,0.75,0.02888625,0.03376662775211334,0.0011977060618974008
2.7800000000000002,0.75,0.029086249999999998,0.033949172587364386,0.0012181647625875436
2.79,0.75,0.029282500000000003,0.03410184967838257,0.001238116631400226
2.8000000000000003,0.75,0.0294825,0.034271340143096594,0.0012575758263285864
2.81,0.75,0.029678750000000004,0.03443749734091312,0.0012764861759190268
2.8200000000000003,0.75,0.0298825,0.0346085013128363,0.0012948395797083183
2.83,0.75,0.03008,0.034763849134360286,0.0013126283780687104
2.8400000000000003,0.745,0.03024875,0.03489380375395053,0.0013298519503481619
2.85,0.745,0.030432499999999994,0.03504243568728113,0.001346494327708887
2.8600000000000003,0.745,0.030623749999999998,0.03519007509433096,0.0013625769046109563
2.87,0.75,0.030808750000000003,0.03533646214446302,0.001378098413022922
2.8800000000000003,0.76,0.030984999999999995,0.0354704870840876,0.001393067095944506
2.89,0.76,0.03115375,0.03557494763520409,0.0014074926315861425
2.9000000000000004,0.76,0.03128875,0.035636180080431595,0.00142132557658598
2.91,0.76,0.031433749999999996,0.0357112778676386,0.0014345467008893154
2.92,0.76,0.03157625,0.03579386187137662,0.0014471741517858541
2.93,0.76,0.03167625,0.035816393601624384,0.0014592531165933684
2.94,0.765,0.031792499999999994,0.03586630334018486,0.0014707505307628595
2.95,0.765,0.031920000000000004,0.035898066178649435,0.0014816563666992413
2.96,0.765,0.03201875,0.03592094088408611,0.0014920387226888868
2.97,0.765,0.0321375,0.03596187366013212,0.0015018524026430764
2.98,0.765,0.032249999999999994,0.035999663756264524,0.001511080969188119
2.99,0.765,0.032326249999999994,0.03599878030798933,0.0015197282290918643
3.0,0.765,0.032407500000000006,0.036004403319722204,0.0015278205606134969
3.0100000000000002,0.765,0.03250625,0.03601260591887075,0.0015353738277345842
3.02,0.765,0.032613750000000004,0.03601679498403003,0.0015423644605258363
3.0300000000000002,0.765,0.0326575,0.03596079502568121,0.001548815343658383
3.04,0.765,0.032725,0.03591977253259711,0.0015547473569786318
3.0500000000000003,0.765,0.03278375,0.03586596918163124,0.0015601838777054779
3.06,0.765,0.0328575,0.03584990522700055,0.00156513290322881
3.0700000000000003,0.765,0.03292375,0.03580673929299012,0.001569585231280395
3.08,0.765,0.03299125,0.035764166929261716,0.0015735499573421303
3.0900000000000003,0.765,0.0330525,0.03572138070640526,0.0015770643003899822
3.1,0.765,0.033120000000000004,0.0356634815358697,0.0015801494716452666
3.1100000000000003,0.76,0.03319,0.03563464402206609,0.0015828053234041625
3.12,0.76,0.033249999999999995,0.03558980385660438,0.0015850361963991152
3.1300000000000003,0.76,0.0333375,0.035587266433822005,0.001586849194398696
3.14,0.76,0.033391250000000004,0.035534663779086796,0.00158826082269357
3.1500000000000004,0.765,0.0334775,0.03554356700301812,0.0015892898587282851
3.16,0.76,0.033545000000000005,0.035508659220065415,0.001589966402292118
3.1700000000000004,0.76,0.03363125,0.035517632311512184,0.0015902842008972183
3.18,0.765,0.033697500000000005,0.03548598682234014,0.0015902863346401756
3.19,0.765,0.033775,0.03546383143704507,0.0015899534939677164
3.2,0.76,0.03387,0.03546288902942437,0.001589290045478535
3.21,0.765,0.033933750000000006,0.03542965164205249,0.0015883313298211505
3.22,0.765,0.03399,0.03541035644739037,0.0015870645557894173
3.23,0.765,0.03405625,0.035395836511931664,0.0015855061905382499
3.24,0.765,0.0341075,0.03535681200649894,0.0015836743079349369
3.25,0.765,0.034165,0.035331029091445476,0.0015816104038585935
3.2600000000000002,0.755,0.03422625,0.03531695392904099,0.0015793090696286682
3.27,0.765,0.034305,0.03531607080348927,0.0015767772298318995
3.2800000000000002,0.765,0.0343525,0.0352588755684033,0.0015740328359425057
3.29,0.76,0.0344325,0.0353204458834184,0.0015710827870935458
3.3000000000000003,0.76,0.034513749999999996,0.03533790107749283,0.0015679394400303225
3.31,0.765,0.0346075,0.03539708593510097,0.0015646208754693126
3.3200000000000003,0.765,0.03472875,0.035466728841623336,0.0015611526774655033
3.33,0.765,0.034805,0.03549475655550034,0.001557549209751322
3.3400000000000003,0.765,0.0348775,0.035498760743937305,0.0015538260606864686
3.35,0.765,0.034978749999999996,0.035555110393551685,0.001549995405776863
3.3600000000000003,0.765,0.03507,0.03560647840255031,0.0015460736193938025
3.37,0.765,0.035147500000000005,0.03563609363812418,0.001542080145656314
3.3800000000000003,0.76,0.035215,0.035665060858701865,0.0015380310127769312
3.39,0.76,0.03533875,0.035762422224122854,0.001533944382520925
3.4000000000000004,0.765,0.03548625,0.03593619566169257,0.0015298446458509433
3.41,0.765,0.03560125,0.036073726268036545,0.0015257521094501497
3.4200000000000004,0.765,0.0357025,0.03616060554371703,0.001521684560321707
3.43,0.765,0.03580375,0.03624375959743636,0.0015176631860884628
3.44,0.765,0.035945,0.03637959649118013,0.0015136921615186197
3.45,0.765,0.036076250000000004,0.03651299629672443,0.0015097956480833524
3.46,0.765,0.03617375,0.03658185634754425,0.0015059936523623917
3.47,0.765,0.03625375,0.03661091571753387,0.0015023172436040273
3.48,0.765,0.03637625,0.03674158629799013,0.001498790086974734
3.49,0.765,0.03653375,0.03690573308946619,0.0014954267632605537
3.5,0.765,0.0366625,0.03703300953021729,0.0014922444749238212
3.5100000000000002,0.765,0.03678625,0.03714624777359233,0.0014892757138525712
3.52,0.765,0.0369125,0.03727415159065708,0.0014865298055158614
3.5300000000000002,0.77,0.03699499999999999,0.03733265319070881,0.001484028309779281
3.54,0.77,0.03706,0.03735398577838328,0.00148180289153893
3.5500000000000003,0.77,0.037135,0.037414514556425464,0.0014798493893398374
3.56,0.77,0.037228750000000005,0.037481077011952135,0.0014781813685721809
3.5700000000000003,0.77,0.037335,0.03755257768280205,0.0014768321546126835
3.58,0.77,0.037448749999999996,0.03763533853575355,0.0014758198209839438
3.5900000000000003,0.77,0.03754,0.03766652280595925,0.001475150302593858
3.6,0.77,0.03764125,0.03771808433415744,0.0014748457545769105
3.6100000000000003,0.77,0.037691249999999996,0.03771021256984486,0.0014749372021230184
3.62,0.77,0.03777,0.03775550713820178,0.0014754357790716915
3.6300000000000003,0.77,0.0378275,0.03778478221193802,0.0014763309676848533
3.64,0.77,0.03792375,0.03781983568426384,0.0014776412120789425
3.6500000000000004,0.77,0.03799,0.037819590398201215,0.0014793795785121653
3.66,0.77,0.03804875,0.03783330394018171,0.001481563755973602
3.6700000000000004,0.77,0.03806125,0.0377906168827355,0.001484199495125477
3.68,0.77,0.03814625,0.0378071579506411,0.0014872887446686636
3.6900000000000004,0.77,0.03824125,0.037875391070598306,0.0014908463508025549
3.7,0.77,0.0383325,0.037922238796627955,0.0014948842355802033
3.71,0.77,0.038377499999999995,0.03790771736692777,0.001499401752134079
3.72,0.77,0.0384275,0.03791346806052436,0.00150440388132578
3.73,0.77,0.038489999999999996,0.03793582500608354,0.001509911234746425
3.74,0.77,0.0385575,0.03796977534979089,0.0015159122017998805
3.75,0.77,0.038621249999999996,0.03803110775475697,0.0015224023533112676
3.7600000000000002,0.77,0.038683749999999996,0.03805349869801946,0.0015293791698771412
3.77,0.77,0.038737499999999994,0.03805617982697952,0.0015368527432274303
3.7800000000000002,0.77,0.03879875,0.03807495999292364,0.0015448284183971616
3.79,0.77,0.038841249999999994,0.03805517127451339,0.0015532820449499687
3.8000000000000003,0.77,0.0389275,0.03809570809185334,0.0015622288361193232
3.81,0.77,0.03897,0.03809894425102415,0.0015716797109278065
3.8200000000000003,0.77,0.03903375,0.038108134147392655,0.0015816128245060746
3.83,0.77,0.0390725,0.038084382177131594,0.001592021750493376
3.8400000000000003,0.77,0.0391025,0.03805094369726026,0.0016029007390886718
