S0,eps_equiv_h200,t_m1_05,t_m2_05,S_focus,rise_focus,final_excess_focus,rebound_0p5,rebound_1,rebound_3,Emin_focus,t_min_focus,t_cross_focus,D1_cross,D2_cross,strong_share,strong_std_deg_cross,strong_mean_deg_cross,inactive_frac_cross,sector_max_S,sector_psi_max
2e-08,1e-05,2.12,4.9,0.004991066727587756,0.005102759968340365,0.005102759968340365,0.00014446862080019773,0.0004496622973674258,0.0021391893652202842,0.4932763149747154,6.05,6.046570034610728,-0.0011114101672716377,0.0011114101672716383,0.8451876128746396,3.275804868804268,1.70743321163209,0.05399454566490641,0.004992771818349839,-84.9
2e-07,3.162277660168379e-05,1.87,4.32,0.005612626495483497,0.005744015567510863,0.005744015567510863,0.00017083398567691033,0.0005339883070069051,0.0024986672500854623,0.491831849394929,5.46,5.461203053220092,-0.0012084929115218825,0.0012084929115218825,0.7802072525104021,4.4842048381433255,1.5568600165288138,0.07471261706492115,0.005612626495483497,-85.0
2e-06,0.0001,1.61,3.73,0.006732237269705954,0.006893927024335722,0.006893927024335722,0.00021411190894909948,0.0006722950614659884,0.003109784233697066,0.48954990864473896,4.86,4.864071159454033,-0.0013362203951208117,0.0013362203951208127,0.7201908286427633,5.784040225314322,1.2882155140719245,0.0910677281432968,0.006732237269705954,-85.0
2e-05,0.00031622776601683794,1.36,3.14,0.00832288637981421,0.008528781176965095,0.008528781176965095,0.00027015609773095584,0.0008518944914153725,0.003962356879204709,0.48630669852911806,4.26,4.26403471320733,-0.0014662700242200936,0.0014662700242200927,0.6806917074586492,7.13348537695052,0.9740915895859477,0.10434774433073819,0.008323388215692618,-84.9
0.0002,0.001,1.1,2.54,0.010084267336617825,0.010348116495373705,0.010348116495373705,0.00033032969126889355,0.0010307660104066363,0.004881801065641844,0.4822033026531477,3.68,3.6752345191252322,-0.0015744683987105527,0.0015744683987105532,0.6637328703585129,8.496654926815502,0.7988877345128444,0.1203136872252996,0.010086559443330756,-84.9
0.002,0.0031622776601683794,0.85,1.96,0.01247560218035143,0.012764757776387525,0.012764757776387525,0.00034941509792374426,0.0011001108462108111,0.005438044942196241,0.4773433132445001,3.11,3.1083998665848194,-0.0016447690607735944,0.001644769060773594,0.6594678524560595,9.926872390976984,0.9853453764759011,0.1458924986808737,0.012519080385146708,-84.6
