psi_deg,x1,x2,slope_x2_over_x1,selector_switch,switch_transition,t_switch,actual_persistent_swing,actual_S_normalized,t_reversal_actual,t_rebound_actual,predicted_persistent_swing,predicted_S_normalized,t_reversal_predicted,t_rebound_predicted,predicted_switch_delta,predicted_switch_delta_normalized,on_to_off_condition_value,E_on_at_switch,E_off_at_switch,actual_loss_change_switch_pm0p20,selector_model_relative_rms_over_time,switch_before_t_block
-167.0,-0.9743700647852351,-0.2249510543438652,0.23086819112556334,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-166.5,-0.9723699203976766,-0.23344536385590553,0.24007875908011617,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-166.0,-0.9702957262759965,-0.24192189559966773,0.2493280028431807,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-165.5,-0.9681476403781077,-0.25038000405444133,0.2586175843558902,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-165.0,-0.9659258262890682,-0.258819045102521,0.267949192431123,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-164.5,-0.963630453208623,-0.267238376078257,0.27732454405983864,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-164.0,-0.9612616959383189,-0.2756373558169992,0.286745385758808,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-163.5,-0.958819734868193,-0.2840153447039226,0.2962134949620802,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-163.0,-0.9563047559630355,-0.2923717047227366,0.3057306814586602,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-162.5,-0.9537169507482268,-0.30070579950427334,0.31529878887898377,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-162.0,-0.9510565162951535,-0.3090169943749475,0.32491969623290645,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-161.5,-0.9483236552061993,-0.31730465640509214,0.33459531950207316,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-161.0,-0.9455185755993168,-0.3255681544571566,0.34432761328966516,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-160.5,-0.9426414910921783,-0.3338068592337712,0.35411857253069834,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-160.0,-0.9396926207859083,-0.3420201433256689,0.36397023426620256,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-159.5,-0.9366721892483976,-0.35020738125946754,0.3738846794848048,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-159.0,-0.9335804264972017,-0.3583679495453002,0.3838640350354157,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
-158.5,-0.9304175679820246,-0.36650122672429714,0.39391047561494225,0,none,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0
