index,time,phi_deg,spread_q05_deg,spread_q50_deg,spread_q95_deg,spread_90_width_deg
106,1.06,32.85647696032618,-16.263878366401883,1.9062816573993473,65.32690521605343,81.59078358245532
107,1.07,32.570713359806746,-16.097995512824525,2.0147329499103535,65.45022472787952,81.54822024070404
108,1.08,32.327546014904456,-15.959959553425705,2.106750548752899,65.53394648883881,81.49390604226451
109,1.09,32.12670943788332,-15.849574813320743,2.18275963270176,65.57822783092615,81.4278026442469
110,1.1,31.967901963064996,-15.766631196507717,2.243144936071161,65.58336342512689,81.34999462163461
111,1.11,31.850791961488483,-15.710910308966419,2.2882442590563983,65.54959730669805,81.26050761566447
112,1.12,31.77501853257066,-15.682185739692613,2.318348341411422,65.47716486911963,81.15935060881225
113,1.1300000000000001,31.740200204810908,-15.680231054408267,2.3336935460156383,65.36634613815087,81.04657719255914
114,1.1400000000000001,31.745933211762694,-15.704817087651719,2.334465758425182,65.21761705441719,80.92243414206891
115,1.1500000000000001,31.7917959159154,-15.755715153709872,2.3207988570204634,65.03121685940346,80.78693201311333
116,1.1600000000000001,31.87734747879871,-15.832694233808553,2.292779643994635,64.80761913611494,80.64031336992349
117,1.1700000000000002,32.00213170198707,-15.935523112983873,2.2504482101985843,64.54722592837993,80.4827490413638
118,1.1800000000000002,32.165674834614215,-16.063966361043924,2.193804801298114,64.25035900964383,80.31432537068775
119,1.19,32.367486721949355,-16.217783549225544,2.122813721093735,63.91759391094459,80.13537746017013
120,1.2,32.60705867664017,-16.396725077688302,2.0374108173477623,63.549287670074136,79.94601274776244
121,1.21,32.883862672921765,-16.60052932671178,1.9375097873513027,63.1460158853738,79.74654521208558
122,1.22,33.197347033424556,-16.828916292877153,2.4745157791092254,62.70816346493754,79.5370797578147
123,1.23,33.546936776616775,-17.081585958604876,2.348200645440727,62.236159341915595,79.31774530052047
124,1.24,33.93202588124698,-17.358208609180934,2.207231866313748,61.73073071755181,79.08893932673274
125,1.25,34.35197819533946,-17.658423979101258,2.0515018812408528,61.192328804581365,78.85075278368262
126,1.26,34.806122023696005,-17.981834153395823,1.8809230914816624,60.62152591910126,78.60336007249708
127,1.27,35.29374355309171,-18.327995448709373,1.6954391931730015,60.01897680613513,78.3469722548445
128,1.28,35.81408229307392,-18.696412569731763,1.4950340609644286,59.38534190743778,78.08175447716954
129,1.29,36.36632636794129,-19.08653274682638,1.2797404139309663,60.32054841951208,79.40708116633846
130,1.3,36.94961266866937,-19.49774492688732,1.0496431984902017,59.60118046505295,79.09892539194027
131,1.31,37.56301502693849,-19.929367013622084,1.0339384070036317,58.85395211170308,78.78331912532516
132,1.32,38.20554263786156,-20.380643661217135,0.775900022286379,58.07999910398783,78.46064276520497
133,1.33,38.87613843521339,-20.8507442347273,0.5037219598004015,57.280195809895446,78.13094004462275
134,1.34,39.57367224788054,-21.338755689468627,0.21778153316563476,56.45575678329408,77.7945124727627
135,1.35,40.296939055140314,-21.84368049795333,-0.08145598056762537,55.607684522366526,77.45136502031986
136,1.36,41.044648226343064,-22.36442579790247,-0.3934252006028487,54.737101843508526,77.101527641411
137,1.37,41.815438476266785,-22.899818433850697,3.0143350453288065,53.870256518801625,76.77007495265232
138,1.3800000000000001,42.60787785448073,-23.448605074238742,2.690256336284506,52.95854118400803,76.40714625824677
139,1.3900000000000001,43.42045950331027,-24.00944820939091,2.354805560444504,52.028522527979106,76.03797073737002
140,1.4000000000000001,44.25160425383507,-24.58092899987477,2.008833271721926,51.08164578896873,75.6625747888435
141,1.4100000000000001,45.09966549860478,-25.16155252411542,1.6532802213035893,50.119557714865266,75.28111023898069
142,1.4200000000000002,45.96292841151469,-25.749747472657504,5.763411484663976,49.14385398204908,74.89360145470658
143,1.4300000000000002,46.839632467342156,-26.343889097896835,5.388034051984221,48.15632793767537,74.5002170355722
144,1.4400000000000002,47.72796327162517,-26.94229152924038,5.004891267492496,47.35101511234268,74.29330664158306
145,1.4500000000000002,48.626077191196764,-27.543232899403137,4.615190491566295,46.34247241638511,73.88570531578824
146,1.46,49.53210795853301,-28.14496252251405,32.63466705249576,45.32765043414909,73.47261295666314
147,1.47,50.44417346545951,-28.745708230355405,31.91785605016284,44.30847581960006,73.05418404995547
148,1.48,51.36039714110272,-29.343698292391565,31.194606597338066,43.28699080929272,72.63068910168428
149,1.49,52.27890631044423,-29.937160355082483,36.14541193706836,42.264675449135325,72.20183580421781
150,1.5,53.197860168644105,-30.52434999617344,35.254402764292024,41.243544717811744,71.76789471398519
151,1.51,54.115443204275465,-31.103544676149966,34.363786613762045,40.225157723566724,71.32870239971669
152,1.52,55.02989699150587,-31.673076102477324,33.47508858845606,40.04230565125434,71.71538175373166
153,1.53,55.93952267693205,-32.231333312900006,32.61566199611133,39.022649484591,71.253982797491
154,1.54,56.842693608207554,-32.77677586137392,31.735886358143603,38.01111634773747,70.78789220911139
155,1.55,57.73786187224226,-33.307940850176664,30.86324664141702,37.00927785754942,70.31721870772608
156,1.56,58.62355927814276,-33.82344436532003,30.696118439798,36.01878979055459,69.84223415587462
157,1.57,59.498396962646574,-34.32198166128239,29.819388773677787,35.04061701670423,69.36259867798663
158,1.58,60.36111866473074,-34.802380816650896,28.9548335469986,34.07621732239622,68.87859813904711
159,1.59,61.210574189411865,-35.26357669910254,28.10365827718263,33.12645961519965,68.3900363143022
160,1.6,62.04571906387307,-35.70461111802618,27.338476738496354,32.192428642261376,67.89703976028756
161,1.61,62.8656095212335,-36.12462818100474,26.5147361657163,31.44286145438116,67.5674896353859
162,1.62,63.66940290843238,-36.522875172691386,25.707225680613533,30.54067865722422,67.0635538299156
163,1.6300000000000001,64.45637328585416,-36.89871853213248,24.91667167765428,29.65652393189029,66.55524246402277
164,1.6400000000000001,65.22591566073436,-37.25164829649009,24.14367764233282,28.791389723105226,66.04303801959531
165,1.6500000000000001,65.97753802773116,-37.58127062246248,23.571735118879587,27.945611766989032,65.52688238945152
166,1.6600000000000001,66.71081098229827,-37.88725780605478,22.82966566102141,27.119639348512322,65.0068971545671
167,1.6700000000000002,67.42541133683308,-38.169392074799276,22.106541241027912,26.31373278759233,64.4831248623916
168,1.6800000000000002,68.12111484920156,-38.42755865952009,21.40262589673702,25.528065738613634,63.95562439813372
169,1.6900000000000002,68.7977578407005,-38.661707601945864,20.71810776044981,24.76269141956476,63.424399021510624
170,1.7000000000000002,69.45528868533873,-38.87190553246711,20.053056627166626,24.017699086074117,62.88960461854123
171,1.7100000000000002,70.09370894079295,-39.058277092499196,19.425625500570504,23.293133703419414,62.35141079591861
172,1.72,70.71309961243969,-39.221031195018554,18.79873545786984,22.588934199599805,61.80996539461836
173,1.73,71.31358270323851,-39.36042282343891,18.19106253767626,21.905031334634145,61.265454158073055
174,1.74,71.89533180182052,-39.476763850071364,17.602387272801423,21.337231825843162,60.813995675914526
