time,loss_full,loss_reduced,edot_full,edot_reduced,a_eta_cross,b_eta_cross,c_eta_cross,d_eta_cross,G_eta_cross,eta2G_eta_cross,abs_error_eta_cross,a_eta_sqrt,b_eta_sqrt,c_eta_sqrt,d_eta_sqrt,G_eta_sqrt,eta2G_eta_sqrt,abs_error_eta_sqrt,a_eta_formula,b_eta_formula,c_eta_formula,d_eta_formula,G_eta_formula,eta2G_eta_formula,abs_error_eta_formula
1.5,0.49633303825242553,0.49634724396028607,-0.0037792264928408433,-0.0038805484319478006,0.8909449618033808,1.2628761173862233,0.7178090371163511,6.826556872278543,-32.9687912908813,-0.0038997623243662493,1.921389241844873e-05,0.8909449618033808,0.1699058615891514,0.09657318024206012,0.12356541608507655,-0.5967579981971289,-0.0038997623243662506,1.921389241845003e-05,0.8909449618033808,0.41204966176547947,0.23420584718013257,0.7267404544708547,-3.5097860919296253,-0.00389976232436625,1.9213892418449598e-05
1.51,0.4962950809775589,0.496308244528924,-0.0038131544209804974,-0.003920333260492657,0.893072319817803,1.2490462908752216,0.6957169452874329,6.915364198475182,-33.309185877204754,-0.003940026402337759,1.969314184510195e-05,0.893072319817803,0.16804521306105702,0.09360093629443698,0.12517289030937437,-0.6029193763968721,-0.003940026402337758,1.9693141845101084e-05,0.893072319817803,0.4075372830311917,0.22699766670979618,0.7361946900112589,-3.546023762103982,-0.003940026402337758,1.9693141845101084e-05
1.52,0.49625677121886264,0.496268833716821,-0.0038497069512377718,-0.003962790266277647,0.8950271804088078,1.234679130365938,0.6732036054844311,7.007021842101414,-33.67226946994283,-0.003982974283049027,2.018401677137977e-05,0.8950271804088078,0.16611227225133474,0.09057201814180356,0.12683195725687826,-0.6094914413557877,-0.003982974283049028,2.018401677138064e-05,0.8950271804088078,0.4028495836227705,0.21965204197010435,0.7459523641698311,-3.5846768547441252,-0.003982974283049028,2.018401677138064e-05
1.53,0.4962180830539218,0.4962289851762058,-0.003888748244259375,-0.004007806656158021,0.8968230627846588,1.2198057568127454,0.6502828893089072,7.10163055166428,-34.05709189105994,-0.004028493573283334,2.0686917125312988e-05,0.8968230627846588,0.16411122613643728,0.08748829205305389,0.1285444405454714,-0.6164569941921372,-0.004028493573283334,2.0686917125312988e-05,0.8968230627846588,0.39799671764681954,0.21217349897010335,0.7560242024143529,-3.625644215955001,-0.004028493573283334,2.0686917125312988e-05
1.54,0.4961789918511246,0.496188673365958,-0.003930256922760665,-0.004055427657890366,0.8984725402164617,1.2044562196160677,0.6269665805269818,7.199291661074283,-34.46405189209678,-0.00407663143995746,2.1203782067094265e-05,0.8984725402164617,0.1620461175272144,0.0843513434021672,0.13031217438924578,-0.6238232525854869,-0.00407663143995746,2.1203782067094265e-05,0.8984725402164617,0.3929884895846419,0.20456588250246718,0.7664209925333905,-3.6689682959617143,-0.00407663143995746,2.1203782067094265e-05
1.55,0.49613947369367717,0.4961478725225859,-0.003974097009464079,-0.0041055116438495146,0.8999872880783177,1.188657315405088,0.6032645325115564,7.300110523082359,-34.89194998092969,-0.004127245999368391,2.1734355518876307e-05,0.8999872880783177,0.1599205516105141,0.08116249785029848,0.13213706574609368,-0.6315685048961146,-0.004127245999368391,2.1734355518876307e-05,0.8999872880783177,0.3878336426073524,0.1968324075135516,0.7771539501525552,-3.7145213994315514,-0.00412724599936839,2.173435551887544e-05
1.56,0.4960995043565372,0.4961065576888867,-0.0040207135970695045,-0.004158467879633369,0.9013781337204165,1.1724323778791943,0.579184726078912,7.404185991976269,-35.34428243050334,-0.004180750813341462,2.2282933708093686e-05,0.9013781337204165,0.15773766767469885,0.07792282912704619,0.13402090394721497,-0.6397560360902546,-0.004180750813341463,2.2282933708094553e-05,0.9013781337204165,0.3825397900056044,0.18897567797424805,0.7882335990851483,-3.7626757320073163,-0.004180750813341462,2.2282933708093686e-05
1.57,0.496059057483065,0.49606470083091425,-0.0040694850846917366,-0.004213803094432354,0.9026551028593132,1.1557979039279518,0.5547334267221888,7.511636657499873,-35.81685788430546,-0.004236650101061711,2.2847006629357104e-05,0.9026551028593132,0.1554996851918107,0.07463318018445891,0.1359658355492586,-0.648309979706806,-0.004236650101061711,2.2847006629357104e-05,0.9026551028593132,0.3771123143641754,0.18099773818192952,0.7996725641383694,-3.8129850909555403,-0.004236650101061712,2.284700662935797e-05
1.58,0.49601811006392243,0.4960222771328065,-0.004120746290530258,-0.004271766496338442,0.9038274731364903,1.1387663376369344,0.5299151894789647,7.622551454688759,-36.31180364486937,-0.004295195493661099,2.3428997322656568e-05,0.9038274731364903,0.1532082783744284,0.07129416385191364,0.13797347033807741,-0.6572688413976793,-0.004295195493661099,2.3428997322656568e-05,0.9038274731364903,0.3715552759239561,0.17290007434863808,0.8114803131434236,-3.865675944294989,-0.004295195493661099,2.3428997322656568e-05
1.59,0.49597664367285915,0.4959792668784003,-0.004173638332048846,-0.004331448137892496,0.9049038181117137,1.1213624876014143,0.5047331472575269,7.737005697998001,-36.821381970139086,-0.004355471720856305,2.4023582963808923e-05,0.9049038181117137,0.15086678494166514,0.06790620162719191,0.1400451715575662,-0.6664925626627264,-0.004355471720856305,2.4023582963808923e-05,0.9049038181117137,0.36587676920280954,0.16468370867582513,0.823664863914025,-3.919924548770674,-0.004355471720856305,2.4023582963808923e-05
