index,time,phi_deg,dV_dphi,lower_repeller_deg,root_count,branch_exists
18,0.9,nan,nan,nan,1,0
19,0.9500000000000001,nan,nan,nan,1,0
20,1.0,nan,nan,nan,1,0
21,1.05,nan,nan,nan,1,0
22,1.1,nan,nan,nan,1,0
23,1.1500000000000001,87.81842489242553,-1.1877243995895372,75.17557249069215,3,1
24,1.2,88.44915456771838,-1.7003506886130924,nan,1,1
25,1.25,88.7348018455503,-2.5415962617532757,nan,1,1
26,1.3,88.87490163803065,-3.1110144196425082,nan,1,1
27,1.35,88.94394796371412,-2.8244527374613266,nan,1,1
28,1.4000000000000001,89.00212270736637,-2.2619836796829587,nan,1,1
29,1.4500000000000002,89.04061544418263,-2.358176796369147,nan,1,1
30,1.5,89.06235464095988,-2.3330402638319794,nan,1,1
31,1.55,89.07325155258087,-2.4440925241703275,nan,1,1
32,1.6,89.07951711654562,-2.5075533791673474,nan,1,1
33,1.6500000000000001,89.08428915023688,-2.594731994970364,nan,1,1
34,1.7000000000000002,89.08905202865475,-2.67925780837718,nan,1,1
35,1.75,89.09456136703352,-2.679679794457635,nan,1,1
36,1.8,89.1009041404709,-2.7905541502453137,nan,1,1
37,1.85,89.10956472396688,-2.712052785582839,nan,1,1
38,1.9000000000000001,89.11514730453317,-2.6648708234486267,nan,1,1
39,1.9500000000000002,89.12462697982605,-2.7705344880461023,nan,1,1
40,2.0,89.13471761703295,-2.769025881469035,nan,1,1
41,2.0500000000000003,89.14454702377111,-2.7969130877916433,nan,1,1
42,2.1,89.15730428695463,-2.98928542321227,nan,1,1
43,2.15,89.17012502670065,-2.9355438392961766,nan,1,1
44,2.2,89.18545125961072,-2.995312379277355,nan,1,1
45,2.25,89.19797842025514,-2.900244458697309,nan,1,1
46,2.3000000000000003,89.21817708968865,-2.8473051110667127,nan,1,1
47,2.35,89.23605825423934,-2.8522114707128905,nan,1,1
48,2.4,89.26170675277439,-2.5422637056624664,nan,1,1
49,2.45,89.28414785384851,-2.4976785014967935,nan,1,1
50,2.5,89.31147909164136,-2.6690920956786606,nan,1,1
51,2.5500000000000003,89.33749441146546,-2.616645505244383,nan,1,1
52,2.6,89.36408834457083,-2.7997856076714585,nan,1,1
53,2.65,89.38813955306682,-2.778885384550372,nan,1,1
54,2.7,89.41347433089874,-2.959685432329647,nan,1,1
55,2.75,89.43997549056661,-2.6350537033153136,nan,1,1
56,2.8000000000000003,89.45963582992198,-2.515012725865206,nan,1,1
57,2.85,89.4910155296289,-2.5517247698477523,nan,1,1
58,2.9000000000000004,89.5128597068749,-2.1676406142395344,nan,1,1
59,2.95,89.53409902572244,-2.070144868272822,nan,1,1
60,3.0,89.55717123031218,-1.9088795934628018,nan,1,1
61,3.0500000000000003,89.57779165267536,-1.6719989911901907,nan,1,1
62,3.1,89.59718465804636,-1.5495556539747837,nan,1,1
63,3.1500000000000004,89.60111867904234,-1.3876930417874107,nan,1,1
64,3.2,89.5992427635149,-1.2739839122445658,nan,1,1
65,3.25,89.58184743880778,-1.1821886309295864,nan,1,1
66,3.3000000000000003,89.55243368148345,-1.188895644291011,nan,1,1
67,3.35,89.51326040267475,-1.0786789488418056,nan,1,1
68,3.4000000000000004,89.45812826156137,-1.0336751760731215,nan,1,1
69,3.45,89.39225271224487,-0.9907494804262719,nan,1,1
70,3.5,89.29447591781116,-0.7827000360034597,nan,1,1
71,3.5500000000000003,89.17191213607276,-0.7961245275175546,nan,1,1
72,3.6,89.0071706199594,-0.615835040459268,nan,1,1
73,3.6500000000000004,88.87190725326008,-0.9676393879808918,nan,1,1
74,3.7,88.72323324202952,-0.7223387360688429,nan,1,1
75,3.75,88.55281606673643,-0.6738918307247841,nan,1,1
76,3.8000000000000003,88.38385519027148,-0.8317470497516172,nan,1,1
77,3.85,88.18283559798624,-0.6767263012007121,nan,1,1
78,3.9000000000000004,87.99991659163845,-0.6406486808147956,nan,1,1
79,3.95,87.83980001448991,-0.7294732732425256,nan,1,1
80,4.0,87.67955373763434,-0.5814595598251554,nan,1,1
81,4.05,87.53205587386472,-0.6158391355061698,nan,1,1
82,4.1000000000000005,87.39317007064196,-0.6129229737851888,nan,1,1
83,4.15,87.2603047752317,-0.7529874792615355,nan,1,1
84,4.2,87.14289388655973,-0.4416312374927287,nan,1,1
85,4.25,86.99387807845417,-0.5863031448966302,nan,1,1
86,4.3,86.88701498030954,-0.25673913335773124,nan,1,1
87,4.3500000000000005,86.74367666243836,-0.39918332665328976,nan,1,1
88,4.4,86.62667867659843,-0.4761253790721007,nan,1,1
89,4.45,86.55393911361006,-0.5645314878467999,nan,1,1
90,4.5,86.4489381980826,-0.3735452710606706,nan,1,1
91,4.55,86.35193166732077,-0.5016729957952089,nan,1,1
92,4.6000000000000005,86.32506185530892,-0.5004923742702979,nan,1,1
93,4.65,86.2324040794299,-0.26362283426900945,nan,1,1
94,4.7,86.10589376448837,-0.3042485023611349,nan,1,1
95,4.75,86.06321157454687,-0.3371642880217525,nan,1,1
96,4.8,86.00824422835538,-0.35120423021191677,nan,1,1
97,4.8500000000000005,85.98702627181228,-0.3556110255921437,nan,1,1
98,4.9,85.9408589744489,-0.45405329975691106,nan,1,1
99,4.95,85.92773488997614,-0.40550554383047055,nan,1,1
100,5.0,85.90687826155803,-0.3543058799361658,nan,1,1
101,5.05,85.88872365950715,-0.3837730678906811,nan,1,1
102,5.1000000000000005,85.85205221175315,-0.29733761768587225,nan,1,1
103,5.15,85.83534841536633,-0.3360365767453305,nan,1,1
104,5.2,85.82424032210449,-0.2883009277388159,nan,1,1
105,5.25,85.79795217513171,-0.3460104093538321,nan,1,1
106,5.3,85.79587301253395,-0.34243974532363214,nan,1,1
107,5.3500000000000005,85.7708946800143,-0.3576298462541754,nan,1,1
108,5.4,85.7499501609712,-0.39865704089906057,nan,1,1
109,5.45,85.73982961653749,-0.3596754058100313,nan,1,1
110,5.5,85.7398293113616,-0.3562735549322651,nan,1,1
111,5.55,85.73969350813883,-0.3529404780900171,nan,1,1
112,5.6000000000000005,85.73916585921293,-0.34967236790835354,nan,1,1
113,5.65,85.73916616438859,-0.3464674111621362,nan,1,1
114,5.7,85.71702779768927,-0.3418521470190289,nan,1,1
115,5.75,85.70866750716183,-0.3806527615163302,nan,1,1
116,5.800000000000001,85.69937887190784,-0.3316738490609512,nan,1,1
117,5.8500000000000005,85.6993791770835,-0.32876681283509895,nan,1,1
118,5.9,85.67852376936852,-0.19440434470796383,nan,1,1
119,5.95,85.67852407454419,-0.19273227314329114,nan,1,1
120,6.0,85.65999166487612,-0.15246946750160825,nan,1,1
121,6.050000000000001,85.59920705794241,-0.1695934015704273,nan,1,1
122,6.1000000000000005,85.59920736311807,-0.1682395194252473,nan,1,1
123,6.15,85.58837209700471,-0.16690052647152667,nan,1,1
124,6.2,85.58837240218037,-0.16558750930024052,nan,1,1
125,6.25,85.58511587141854,-0.16429255584906122,nan,1,1
126,6.300000000000001,85.5851161765942,-0.1630179721002157,nan,1,1
