arch,seed,run_id,m85_E0,m85_Emin,m85_t_min,m85_max_drop_after_split,m85_E@20,gain_lost@20,loss@20,m85_E@40,gain_lost@40,loss@40,m85_E@60,gain_lost@60,loss@60,m85_E@100,gain_lost@100,loss@100,m85_S@20,m85_Eend@20,m85_t_min@20,m85_class@20,n_off_persistent@20,n_in_persistent@20,n_off_S_ge_1e-04@20,n_in_S_ge_1e-04@20,n_any_S_ge_1e-05@20,max_in_final_excess@20,m85_S@100,m85_Eend@100,m85_t_min@100,m85_class@100,n_off_persistent@100,n_in_persistent@100,n_off_S_ge_1e-04@100,n_in_S_ge_1e-04@100,n_any_S_ge_1e-05@100,max_in_final_excess@100
relu,0,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s0__dt0.0002__ebbff558d6,0.49995832648864963,0.48298853821886045,3.67,0.0,0.4982132619363921,0.8971663921485559,0.00017337737533891842,0.49946869429192225,0.9711468293567898,6.30744310564661e-05,0.4996596377429689,0.9823987936129718,3.61951459218814e-05,0.4997970647807972,0.99049712905732,1.726018660039829e-05,0.015178116617779402,0.4982132619363921,3.67,persistent,108,0,110,0,138,9.5228658736346e-08,0.016806498311718154,0.4997970647807972,3.67,persistent,123,0,123,0,149,0.0
relu,1,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s1__dt0.0002__06dc6dffd8,0.49994502486229775,0.48328730584976404,3.65,0.0,0.4985053031380373,0.9135702959584593,0.00017883824530980414,0.4993773752367768,0.9659227277699992,6.547127382290625e-05,0.4995734963825166,0.9776963172747949,3.701720877735256e-05,0.49973593426845875,0.9874478256187612,1.8106891509577298e-05,0.015183357789613772,0.4985053031380373,3.65,persistent,106,0,106,0,132,1.034794995247168e-07,0.01644640702235478,0.49973593426845875,3.65,persistent,118,0,118,0,144,2.579604863051088e-09
relu,2,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s2__dt0.0002__8137509116,0.4999536132612047,0.47873747955437007,3.67,0.0,0.4978755549828785,0.9020529231649422,0.00019849086421621335,0.49929625790341176,0.9690162511758129,7.562304818850367e-05,0.4995021158719133,0.9787191485720156,4.526433700787509e-05,0.499677825116379,0.9870010177803101,2.4198995355787383e-05,0.01908611565630991,0.4978755549828785,3.67,persistent,121,0,128,6,205,3.242348611820489e-07,0.020937756807057895,0.499677825116379,3.67,persistent,128,0,128,6,206,3.796661984800664e-09
relu,3,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s3__dt0.0002__703cbbdb19,0.4999497682129671,0.48108412315045995,3.67,0.0,0.4982458085240154,0.9096792246803111,0.00020111769894845465,0.4994796684424987,0.9750817017435216,6.957726512288049e-05,0.49965680911456867,0.9844712917354386,3.859632183343173e-05,0.4997834394793012,0.9911835119809153,1.8008642192728063e-05,0.017116780779433183,0.4982458085240154,3.67,persistent,116,0,120,0,157,1.131864166836749e-07,0.018697049789890008,0.4997834394793012,3.67,persistent,131,0,131,0,170,0.0
relu,4,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s4__dt0.0002__3769373ca1,0.4999571697542683,0.48008742792608705,3.67,0.0,0.49786260905604396,0.894585409496684,0.00019781927492754417,0.49948607786395166,0.9762909908749552,7.384364405992503e-05,0.49965866394565567,0.9849768652660975,4.295329199941773e-05,0.4997608415885227,0.9901192392209568,2.203207620018946e-05,0.01772377722478652,0.49786260905604396,3.67,persistent,116,0,122,3,152,1.1891559914545269e-07,0.019671157862378885,0.4997608415885227,3.67,persistent,124,0,129,3,159,0.0
relu,5,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s5__dt0.0002__7bc4bb83d3,0.49994955392148027,0.481600317280387,3.62,0.0,0.4984991791714993,0.9209572159131203,0.00019094382883268722,0.4995150695893848,0.9763213946937475,6.51655139675281e-05,0.4997294484547081,0.9880046526688081,3.709525940456489e-05,0.49982679932776447,0.9933100980647396,1.908373399929441e-05,0.016859210542716885,0.4984991791714993,3.62,persistent,114,0,114,3,143,1.0645699033418055e-07,0.018224224978274084,0.49982679932776447,3.62,persistent,125,0,125,3,153,0.0
relu,6,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s6__dt0.0002__ca2018b258,0.49994976093544224,0.4842506537509411,3.7,0.0,0.49844740829311274,0.9043033068904264,0.00017695492302409376,0.49950437763693967,0.9716300237161078,6.612953211045614e-05,0.4996862416712303,0.983214378937926,3.804944541331818e-05,0.49980371671645674,0.990697291427522,1.852743461966161e-05,0.014165809007103958,0.49844740829311274,3.7,persistent,106,0,106,0,132,9.119475663510457e-08,0.01555123835616068,0.49980371671645674,3.7,persistent,119,0,119,0,143,1.9267414330670363e-09
relu,7,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s7__dt0.0002__caef65ccbd,0.49995265279493756,0.4821696864691552,3.7600000000000002,0.0,0.4982645185539337,0.9050701547718548,0.00020005284041724764,0.4995003889878582,0.9745675834507065,7.681902735464352e-05,0.49969056275983903,0.9852617369736263,4.675984565242504e-05,0.4998175040366216,0.9924001004196923,2.555713305555942e-05,0.016051952065641806,0.4982645185539337,3.7600000000000002,persistent,110,0,112,0,139,1.0807764816433973e-07,0.017645679893767197,0.4998175040366216,3.7600000000000002,persistent,120,0,120,0,146,2.769513507416832e-10
relu,8,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s8__dt0.0002__2cc2a3e0f0,0.4999441750438136,0.48117736951034235,3.67,0.0,0.49835982085583813,0.9155767780963187,0.0001867957273252848,0.4994424341397584,0.9732644480617482,7.009145723325197e-05,0.4996629926906466,0.9850170369877022,4.116352374739469e-05,0.49979127197686135,0.9918524723518048,2.2072311196692152e-05,0.017145467640527934,0.49835982085583813,3.67,persistent,114,0,119,5,163,1.0477449463586197e-07,0.018611570271918787,0.49979127197686135,3.67,persistent,125,0,125,5,170,1.256183601583416e-09
relu,9,E6_long_horizon__relu__mu3-2_sd0.15__h200_eps1.00e-03_iso__s9__dt0.0002__da6d48c66a,0.49995323331517516,0.4843626757178333,3.63,0.0,0.49846637410798256,0.9046307870703669,0.00018184482309004774,0.4995325437673089,0.9730163885903601,6.6340119091441e-05,0.4997439058411952,0.9865734453259299,3.8400329728926276e-05,0.49982545684969826,0.9918042401832575,1.8671146519089743e-05,0.01406714975279949,0.49846637410798256,3.63,persistent,107,0,110,0,134,8.706783649614636e-08,0.015461068672002698,0.49982545684969826,3.63,persistent,123,0,123,0,149,0.0
