cell_id,mu2,sigma,variant,phi2_deg,eta1_pred,eta2_pred,m21_p1_pred,leading_m21_one_term,gram_cond,normal_eq_relative_residual
mu2_1p800__sigma_0p120,1.8,0.12,ideal,90.0,0.05279123303805644,0.05306269880826246,-0.0318989220957972,-0.02553230594569169,19.30355201012452,1.6552573356771574e-16
mu2_1p800__sigma_0p150,1.8,0.15,ideal,90.0,0.06555384459421074,0.06608339114154951,-0.03976862137853094,-0.031915382432114614,19.44926097332895,8.32632006724198e-17
mu2_1p800__sigma_0p180,1.8,0.18,ideal,90.0,0.07802777779031551,0.07894138514620869,-0.04756735698673234,-0.03829845891853754,19.624473622332403,1.8929160264999929e-16
mu2_2p000__sigma_0p120,2.0,0.12,ideal,90.0,0.04759500269772482,0.0478014076999879,-0.0319159686067542,-0.026596152026762177,15.686201860719882,8.090855641405931e-17
mu2_2p000__sigma_0p150,2.0,0.15,ideal,90.0,0.05915975105484866,0.05956267380589973,-0.03980200601179312,-0.03324519003345273,15.831804094549163,9.207831304116923e-18
mu2_2p000__sigma_0p180,2.0,0.18,ideal,90.0,0.0705024076094401,0.07119817288970283,-0.04762522518318006,-0.03989422804014327,16.006818259931467,8.034084994616983e-17
mu2_2p200__sigma_0p120,2.2,0.12,ideal,90.0,0.043325031890109174,0.04348644661215337,-0.03192841707742393,-0.027659998107832668,13.016249509913408,1.7325251554592108e-16
mu2_2p200__sigma_0p150,2.2,0.15,ideal,90.0,0.05389233474047929,0.05420758453192168,-0.03982641558235015,-0.034574997634790834,13.164413349321805,8.69903524191657e-17
mu2_2p200__sigma_0p180,2.2,0.18,ideal,90.0,0.06428384262899592,0.06482854050972942,-0.047667600241214025,-0.041489997161749,13.341707859357482,1.0932957390656242e-16
