cell_id,mu2,sigma,time_label,time_requested,time_actual,variant,phi2_deg,p,eta_actual,eta_pred,eta_error,eta_abs_error,eta_ratio_pred_over_actual,actual_eta_gm,pred_eta_gm,gram_cond,normal_eq_relative_residual,matrix_relative_frob_error,actual_M_11,actual_M_12,actual_M_21,actual_M_22,pred_M_11,pred_M_12,pred_M_21,pred_M_22,actual_m_pp,pred_m_pp,actual_m_pq,pred_m_pq,actual_m_qp,pred_m_qp,actual_m_qq,pred_m_qq
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,ideal,90.0,1,0.07877244906131012,0.05279123303805644,-0.025981216023253678,0.025981216023253678,0.6701738192368248,0.034630878632912435,0.041013580659809534,19.30355201012452,1.6552573356771574e-16,0.09973069240780956,0.9452286309885046,-0.01799241687464638,-0.05955404320312109,0.005865236978761943,1.0011114774071523,0.05284990930087395,-0.0318989220957972,0.0015042567704883667,0.9452286309885046,1.0011114774071523,-0.01799241687464638,0.05284990930087395,-0.05955404320312109,-0.0318989220957972,0.005865236978761943,0.0015042567704883667
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,ideal,90.0,2,0.06751500579265235,0.05306269880826246,-0.014452306984389887,0.014452306984389887,0.7859393357859605,0.034368059775588475,0.041055359186495465,19.30355201012452,1.6552573356771574e-16,0.3583272490680806,0.003359988594176414,-0.02662466888872429,0.024104614142377998,0.7371182852645427,-0.0005217554060401201,-0.05306791159681523,0.03176823155622653,1.0000982382854593,0.7371182852645427,1.0000982382854593,0.024104614142377998,0.03176823155622653,-0.02662466888872429,-0.05306791159681523,0.003359988594176414,-0.0005217554060401201
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,measured_root,89.2454504051158,1,0.07877244906131012,0.052852613987134006,-0.025919835074176112,0.025919835074176112,0.6709530377302069,0.034630878632912435,0.04617046620727457,21.66989782024293,7.504644762316709e-18,0.09780945004064089,0.9452286309885046,-0.01799241687464638,-0.05955404320312109,0.005865236978761943,1.0013707908378882,0.05292506386614601,-0.040388429634275406,-0.0001539482047085684,0.9452286309885046,1.0013707908378882,-0.01799241687464638,0.05292506386614601,-0.05955404320312109,-0.040388429634275406,0.005865236978761943,-0.0001539482047085684
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,measured_root,89.2454504051158,2,0.06751500579265235,0.053045111205929224,-0.014469894586723125,0.014469894586723125,0.7856788366254146,0.034368059775588475,0.04621739387196361,21.66989782024293,7.504644762316709e-18,0.36028012817898,0.003359988594176414,-0.02662466888872429,0.024104614142377998,0.7371182852645427,-0.0008995675100393391,-0.053106202865049024,0.040314885154850336,1.0011516925449102,0.7371182852645427,1.0011516925449102,0.024104614142377998,0.040314885154850336,-0.02662466888872429,-0.053106202865049024,0.003359988594176414,-0.0008995675100393391
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,measured_cohort,88.10179263686668,1,0.07877244906131012,0.058146838539536665,-0.020625610521773453,0.020625610521773453,0.7381621268913432,0.034630878632912435,0.05545892465376463,26.886443230029066,7.519925794073732e-17,0.09600269138209652,0.9452286309885046,-0.01799241687464638,-0.05955404320312109,0.005865236978761943,1.0014806641133847,0.05297358323110097,-0.05823293447666893,-0.0024016828802881575,0.9452286309885046,1.0014806641133847,-0.01799241687464638,0.05297358323110097,-0.05955404320312109,-0.05823293447666893,0.005865236978761943,-0.0024016828802881575
mu2_1p800__sigma_0p120,1.8,0.12,t_W,3.52,3.52,measured_cohort,88.10179263686668,2,0.06751500579265235,0.058040336708583246,-0.009474669084069104,0.009474669084069104,0.8596657295243804,0.034368059775588475,0.05545157775817715,26.886443230029066,7.519925794073732e-17,0.36470891374090586,0.003359988594176414,-0.02662466888872429,0.024104614142377998,0.7371182852645427,-0.001123704331537079,-0.05312393236889078,0.0581999010691248,1.002749197706118,0.7371182852645427,1.002749197706118,0.024104614142377998,0.0581999010691248,-0.02662466888872429,-0.05312393236889078,0.003359988594176414,-0.001123704331537079
mu2_1p800__sigma_0p120,1.8,0.12,t_rev_p1,4.48,4.48,ideal,90.0,1,0.08316971008954174,0.05279123303805644,-0.030378477051485303,0.030378477051485303,0.6347410972242252,0.03485198014733358,0.041013580659809534,19.30355201012452,1.6552573356771574e-16,0.10149480702025605,0.9494776216928802,-0.01386674283982369,-0.07896777853270444,0.00603831328466427,1.0011114774071523,0.05284990930087395,-0.0318989220957972,0.0015042567704883667,0.9494776216928802,1.0011114774071523,-0.01386674283982369,0.05284990930087395,-0.07896777853270444,-0.0318989220957972,0.00603831328466427,0.0015042567704883667
mu2_1p800__sigma_0p120,1.8,0.12,t_rev_p1,4.48,4.48,ideal,90.0,2,0.06091931957817427,0.05306269880826246,-0.00785662076991181,0.00785662076991181,0.8710323617480682,0.04577198867695623,0.041055359186495465,19.30355201012452,1.6552573356771574e-16,0.06234053879373142,0.001538022630290016,-0.057353055994203074,0.032377703337999525,0.9414592347934088,-0.0005217554060401201,-0.05306791159681523,0.03176823155622653,1.0000982382854593,0.9414592347934088,1.0000982382854593,0.032377703337999525,0.03176823155622653,-0.057353055994203074,-0.05306791159681523,0.001538022630290016,-0.0005217554060401201
mu2_1p800__sigma_0p120,1.8,0.12,t_rev_p1,4.48,4.48,measured_root,86.49093856429359,1,0.08316971008954174,0.07994726761080005,-0.003222442478741691,0.003222442478741691,0.9612546145072243,0.03485198014733358,0.06501464710617315,67.76853010786678,1.2986822410232153e-17,0.08801844897931586,0.9494776216928802,-0.01386674283982369,-0.07896777853270444,0.00603831328466427,0.9992990604294992,0.052834095023632226,-0.07989122940737822,-0.004073886323468519,0.9494776216928802,0.9992990604294992,-0.01386674283982369,0.052834095023632226,-0.07896777853270444,-0.07989122940737822,0.00603831328466427,-0.004073886323468519
mu2_1p800__sigma_0p120,1.8,0.12,t_rev_p1,4.48,4.48,measured_root,86.49093856429359,2,0.06091931957817427,0.07953364191922428,0.01861432234105001,0.01861432234105001,1.3055569640295033,0.04577198867695623,0.06478423616477026,67.76853010786678,1.2986822410232153e-17,0.08347153681346602,0.001538022630290016,-0.057353055994203074,0.032377703337999525,0.9414592347934088,0.0010103659758306644,-0.052989670643410675,0.0798645914342737,1.0041611261230252,0.9414592347934088,1.0041611261230252,0.032377703337999525,0.0798645914342737,-0.057353055994203074,-0.052989670643410675,0.001538022630290016,0.0010103659758306644
