cell_id,mu2,sigma,time,phi_root_deg,phi_cohort_deg,eta1_actual,eta2_actual,eta1_ideal,eta2_ideal,eta1_root_fixed,eta2_root_fixed,eta1_cohort_fixed,eta2_cohort_fixed
mu2_1p800__sigma_0p120,1.8,0.12,3.52,89.2454504051158,88.10179263686668,0.07877244906131012,0.06751500579265235,0.05279123303805644,0.05306269880826246,0.052852613987134006,0.053045111205929224,0.058146838539536665,0.058040336708583246
mu2_1p800__sigma_0p120,1.8,0.12,3.77,88.48523171615045,88.23208380593833,0.08123703064197905,0.05748670592621154,0.05279123303805644,0.05306269880826246,0.05288550412355042,0.05301684584172353,0.052890797889052876,0.05300311888145458
mu2_1p800__sigma_0p120,1.8,0.12,4.0200000000000005,87.62055459212648,88.21576229596928,0.08169938629879865,0.05281493598582067,0.05279123303805644,0.05306269880826246,0.06023624944200849,0.06011650941761318,0.0539126045093929,0.053826646633897184
mu2_1p800__sigma_0p120,1.8,0.12,4.2700000000000005,86.95113283919632,88.12334638720525,0.08094328920615802,0.05779558266169796,0.05279123303805644,0.05306269880826246,0.07014383005147695,0.06992594367502994,0.05735962501659455,0.05725733800217168
mu2_1p800__sigma_0p120,1.8,0.12,4.5200000000000005,86.41013558577787,88.00012204011294,0.0835552716474071,0.06143249975177576,0.05279123303805644,0.05306269880826246,0.08028886711890544,0.07986603047397385,0.059267014595772625,0.05915416183646704
mu2_1p800__sigma_0p120,1.8,0.12,4.7700000000000005,86.04122463607027,87.86938349493818,0.08568726718487729,0.06420212380534689,0.05279123303805644,0.05306269880826246,0.08504920970547589,0.08445108098912736,0.05932466611674648,0.059211466214970136
mu2_1p800__sigma_0p120,1.8,0.12,5.0200000000000005,85.89961642073769,87.74204851798018,0.08750140515062409,0.06643300361429867,0.05279123303805644,0.05306269880826246,0.0889890989950229,0.0882040909959132,0.05934831686781667,0.059234960927827755
mu2_1p800__sigma_0p120,1.8,0.12,5.2700000000000005,85.79712051009261,87.62301328280236,0.08911591499291184,0.06834002971505125,0.05279123303805644,0.05306269880826246,0.09058488635102632,0.08971113179345229,0.05984082216097091,0.059723999423213193
mu2_1p800__sigma_0p120,1.8,0.12,5.5200000000000005,85.73977499007249,87.51314251710654,0.09058583588784745,0.07005631994828011,0.05279123303805644,0.05306269880826246,0.09100533672886167,0.09010596097740806,0.06265399054230336,0.06251467580094106
mu2_1p800__sigma_0p120,1.8,0.12,5.7700000000000005,85.70495205306024,87.41229206751233,0.09194254446540502,0.07166254689551174,0.05279123303805644,0.05306269880826246,0.09108663934598027,0.09018216600485954,0.06640723486752094,0.06623248469863569
