t,tau,ell_loc,hgate_max,hgate_min,R_opnorm_max,min_input_radius,q01_input_radius,density_edge_lo,density_edge_hi,S
0.0,0.0,0.5024748749999959,2.52667725341793e-16,-6.044459954019767e-17,0.5024748749999959,0.014142135623730945,0.014142135623730945,3.217292306642803e-05,3.217292306642803e-05,0.00019999999999999977
0.25,2.25,0.5022599373811817,0.0001321384226529198,-0.000164767188516069,0.5022599373811818,0.014142135623730945,0.014142135623730945,2.9383609883019222e-05,0.0005662555758293579,0.0007155850445285108
0.5,4.5,0.5002117986229268,0.0011720882163067806,-0.0014856476782403062,0.5002117986229269,0.014142135623730945,0.014142135623730945,2.7991807499496282e-05,0.008875442565952735,0.0050346858027918474
0.75,6.75,0.48141889124139975,0.008923881284421826,-0.011147395550895181,0.48141889124139964,0.014142135623730945,0.014142135623730945,2.799884521890636e-05,0.10469780079618538,0.0431266855479631
1.0,9.0,0.35425423907428566,0.05498102900879048,-0.06612890759163507,0.3542542390742855,0.014142135623730945,0.014142135623730945,2.520489670999225e-05,0.5989533963137205,0.29844147703015766
1.25,11.25,0.22866011094298355,0.14484291003430974,-0.15736173323350366,0.22389447924541056,0.014142135623730945,0.014142135623730945,2.381011586797643e-05,1.2710827339823878,0.8073204913945766
1.5,13.5,0.22976759256095586,0.17715639581851372,-0.1804970988116812,0.22152135185746114,0.014142135623730945,0.014142135623730945,2.2414127455901908e-05,1.4809408477740056,0.9912607340472437
1.75,15.75,0.22390677141378776,0.18165890683557015,-0.18282164409306534,0.21584211618542107,0.014142135623730945,0.014142135623730945,2.2419071757299633e-05,1.3634000309977523,1.0398537818990734
2.0,18.0,0.2091443459734212,0.18152154132791595,-0.18259203913826008,0.2019156958179894,0.014142135623730945,0.014142135623730945,2.102217400074149e-05,1.1187498512589042,1.1057938407789314
2.25,20.25,0.177497583113012,0.17455767598765223,-0.17579430008942434,0.17197331256530793,0.014142135623730945,0.014142135623730945,1.8223424354320998e-05,0.9098414154132871,1.2421544448216144
2.5,22.5,0.15363845698821263,0.15320278707478532,-0.15448596219080535,0.12295677059875194,0.014142135623730945,0.014142135623730945,1.8227374752917277e-05,0.7252298638471617,1.464694567373352
2.75,24.75,0.12020217894701092,0.11988317188315495,-0.12097087852777602,0.06991971115698668,0.014142135623730945,0.014142135623730945,1.542692455099667e-05,0.6253627083963862,1.7055319097590096
3.0,27.0,0.09010519217607257,0.08987199265653646,-0.09067556804429738,0.0329357643198536,0.014142135623730945,0.014142135623730945,1.5430480915120572e-05,0.563727148047118,1.8737182098350607
3.25,29.25,0.07092889810065581,0.07075719500810625,-0.07136142249107504,0.014267880855418705,0.014142135623730945,0.014142135623730945,1.4030584875387621e-05,0.5784449511121625,1.9589894507336847
3.5,31.5,0.05981008040598583,0.0596771558925939,-0.060152426236801296,0.006477326141317309,0.014142135623730945,0.014142135623730945,1.4033030569345635e-05,0.6323651010850698,1.9956419204741085
3.75,33.75,0.052737073263879636,0.05262759965882708,-0.05306250356065753,0.005250070679408254,0.014142135623730945,0.014142135623730945,1.4035509331827159e-05,0.6891398113321723,2.0106065531181194
4.0,36.0,0.0476082446008151,0.047512139215201865,-0.04791641404408099,0.004749153850053529,0.014142135623730945,0.014142135623730945,1.26339916650675e-05,0.8039915471718213,2.016916160078349
4.25,38.25,0.04349333964208109,0.043403213763396356,-0.04378252351566426,0.004446076141913525,0.014142135623730945,0.014142135623730945,1.2635938392837123e-05,0.9226149635349531,2.01992346514175
4.5,40.5,0.0399744847375651,0.039897764387963726,-0.04028324222483489,0.0042191827488734,0.014142135623730945,0.014142135623730945,1.2638299825204859e-05,1.0457527965357893,2.0216999804292413
4.75,42.75,0.03694357881441625,0.036873557532539944,-0.03725074419319998,0.004026765725793339,0.014142135623730945,0.014142135623730945,1.1235404031977342e-05,1.229934174941391,2.023029609463217
5.0,45.0,0.0342762363881776,0.03421052035594646,-0.034593956826252596,0.003851584802737861,0.014142135623730945,0.014142135623730945,1.1236833312024772e-05,1.4208782608149026,2.024205120037323
5.25,47.25,0.031940412197016925,0.03187903692114741,-0.03225123436767088,0.003686164907628388,0.014142135623730945,0.014142135623730945,1.1237927138272096e-05,1.6584138868905098,2.0253334636107443
5.5,49.5,0.029856219059690707,0.029801808154301862,-0.030175223185370297,0.003527752874785969,0.014142135623730945,0.014142135623730945,1.12396177841034e-05,1.9056566732804299,2.0264514385966015
5.75,51.75,0.028285873540512887,0.02813322234752092,-0.02892574226349029,0.0033752490476837253,0.014142135623730945,0.014142135623730945,9.835468927147693e-06,2.2235933150584346,2.0275694970336655
6.0,54.0,0.02713350962518006,0.026988810781213516,-0.027796652957601326,0.0032284349657635465,0.014142135623730945,0.014142135623730945,9.836455707201435e-06,2.533988403278027,2.028688417336376
6.25,56.25,0.026026661037646046,0.025887038736657614,-0.026705631789762402,0.003087458726091918,0.014142135623730945,0.014142135623730945,9.838133710035053e-06,2.8798348328475596,2.0298056897043346
6.5,58.5,0.02496541397729876,0.02483366216075752,-0.025655488286978417,0.002952719098682484,0.014142135623730945,0.014142135623730945,9.838660939594173e-06,3.2619204718448627,2.0309179661146928
6.75,60.75,0.02395136665599404,0.02382455703522697,-0.024648385293284066,0.002824180159391002,0.014142135623730945,0.014142135623730945,9.839946699376791e-06,3.6610841103630114,2.032021984881123
7.0,63.0,0.02298487894266891,0.022866138406678713,-0.02368566772150743,0.002702116406687306,0.014142135623730945,0.014142135623730945,8.43472621219653e-06,4.0314098958179425,2.0331148945201316
7.25,65.25,0.022067459588618443,0.021954500434752805,-0.022767847602174124,0.002586378303044208,0.014142135623730945,0.014142135623730945,8.435497830416943e-06,4.439631584893665,2.0341943378876595
7.5,67.5,0.021198348091137527,0.021089036369960772,-0.021894728366924906,0.0024768560119324884,0.014142135623730945,0.014142135623730945,8.43611114528424e-06,4.816189367131397,2.0352584408618686
7.75,69.75,0.02037505549493776,0.020271606076054504,-0.02106552769355266,0.0023733722408660813,0.014142135623730945,0.014142135623730945,8.436567119201049e-06,5.205542170859598,2.0363057649395424
8.0,72.0,0.019594254763207544,0.01949697583485741,-0.02027902848113119,0.0022758295290223923,0.014142135623730945,0.014142135623730945,8.43786902155e-06,5.57988437337974,2.0373352488960643
8.25,74.25,0.01885914317678485,0.01876535569726209,-0.01953370270845029,0.0021839107959129955,0.014142135623730945,0.014142135623730945,8.438034785020717e-06,5.939020810306273,2.0383461503450224
8.5,76.5,0.018163261612566102,0.018072859455593126,-0.018827806215726505,0.0020971542901157205,0.014142135623730945,0.014142135623730945,8.439103768063723e-06,6.280745768503361,2.0393379917661036
8.75,78.75,0.01750554043469392,0.017418731257831107,-0.0181594670967246,0.002015636520746287,0.014142135623730945,0.014142135623730945,7.0329280734071405e-06,6.574111265357458,2.040310512705534
9.0,81.0,0.016884492996945256,0.016801623389922703,-0.017526758248063753,0.0019387443355108598,0.014142135623730945,0.014142135623730945,8.439822293433894e-06,6.868047977696414,2.0412636284948666
9.25,83.25,0.01629806061735007,0.016218869540855795,-0.016927733174418664,0.001866303629352641,0.014142135623730945,0.014142135623730945,8.440557044254152e-06,7.136162524229048,2.0421973951952936
9.5,85.5,0.015743791753654684,0.015668533811207624,-0.016360471478080906,0.0017980585076247974,0.014142135623730945,0.014142135623730945,8.441191117025806e-06,7.376445949724431,2.0431119801877706
9.75,87.75,0.015218991518373,0.015147692424106574,-0.015823106814680674,0.0017337050937399543,0.014142135623730945,0.014142135623730945,8.441725061903654e-06,7.6118623728971775,2.0440076377287935
10.0,90.0,0.014722987867886108,0.01465349001405599,-0.015313835556836242,0.0016729158653528292,0.014142135623730945,0.014142135623730945,8.442160108087573e-06,7.816722021752686,2.0448846887855643
10.25,92.25,0.014254109368964034,0.014188089222070929,-0.014830938386235447,0.0016156595621572144,0.014142135623730945,0.014142135623730945,7.035912783326452e-06,8.01516168694104,2.045743504506508
