t,D1,D2,carrier1_D1,carrier1_D2,carrier2_D1,carrier2_D2,full2_D1,full2_D2,full3_D1,full3_D2,noleak_D1,noleak_D2
2.5,-0.011775988018366936,7.026550592541353e-05,-0.007770179245638619,0.0031310320815172974,-0.0117514688178879,8.193144700185e-05,-0.009266397647265995,0.0016367316301320778,-0.01342591928478461,-0.00011745854415672806,0.029909500168411787,0.0017578514832287508
2.75,-0.009688825309313543,-8.681435793872713e-05,-0.0066289221091484695,0.001313883988463421,-0.009666314941851582,-0.00016546839057888021,-0.0076068962324843505,0.00043194319568576155,-0.010551804707233487,-0.0003939675071490457,0.04077601395817559,0.0013419988708491262
3.0,-0.006267828890220955,0.000328103223697463,-0.004389658406697942,0.0005808912643433773,-0.006248587731085109,0.00036657328971093095,-0.004831408162477821,0.0005119725527881831,-0.00653761492633192,0.0001326937948874588,0.048447562239945764,0.0018416274967120935
3.25,-0.0035887579173383656,0.0008702375377333247,-0.002525252214495073,0.0006753427702046484,-0.0035725247114960727,0.0010591300593865468,-0.002833998875819556,0.0011551831062954101,-0.003887296654289917,0.0008206829450009207,0.05253507006898237,0.0026510677847613106
3.5,-0.00211634992205687,0.0013235891987757864,-0.0014747014028075088,0.0010064278446414376,-0.002102441926927246,0.001622666414253641,-0.0019399520249482147,0.001767338002236574,-0.002835106475735419,0.0013711930594473975,0.054172805704419014,0.003438775779853429
3.75,-0.0014181449217077822,0.0016669524460469376,-0.0009716731069975206,0.0013310153056031858,-0.001405986927441521,0.0020339455241773514,-0.0016787740899432712,0.0022034219990446644,-0.0026632901392060677,0.0017609594670494762,0.05443697641073601,0.0041466924672577555
4.0,-0.0010825526606223752,0.0019235714785394806,-0.0007262194014970468,0.0015879272913420037,-0.0010717917037235305,0.002329496757649226,-0.0016425752085785718,0.002477996071303795,-0.00280991468753113,0.0020275098494676905,0.05402137995477117,0.004797630746119377
4.25,-0.00089639914384734,0.002113761223238284,-0.0005879075322859914,0.0017772259815732184,-0.0008868456354380658,0.002540104690751623,-0.001653584002755723,0.0026250826345523694,-0.00302275547639355,0.0022025464192238888,0.05326010949195488,0.005401683921026287
4.5,-0.0007718134241689844,0.0022508114563102614,-0.0004938392586874586,0.0019060222965890002,-0.0007633270763986851,0.0026858780411550156,-0.0016480123363652936,0.0026748884592739603,-0.003208378797811911,0.0023069197833884515,0.05231042187635909,0.005968216058408937
4.75,-0.0006760353748249206,0.0023440886392890386,-0.0004209493964426467,0.001984453161661554,-0.0006684755598478071,0.0027806332476842913,-0.0016132170756181727,0.002650793692538883,-0.0033415768853046882,0.0023559318744771802,0.05121942421809893,0.0064997907948806995
5.0,-0.0005969954428369386,0.0024013870721573778,-0.00036083917323917946,0.0020226868179629267,-0.0005902649657597558,0.002833991413148743,-0.001552787135126218,0.0025712300339596804,-0.0034263957817228935,0.0023588979122096984,0.05006921133807684,0.007000079788741464
5.25,-0.0005298192659367911,0.0024292483800692384,-0.00030958287176573347,0.0020272284941857265,-0.0005238459724313236,0.002853546849568418,-0.0014648545804166713,0.0024498707450769466,-0.00346710905845676,0.002321892867667683,0.04893605609190513,0.007481397517009777
5.5,-0.00047207192699824207,0.002433237248167965,-0.00026638110423525606,0.0020111738351839686,-0.0004667652151112668,0.002846420285703209,-0.001373170563990693,0.00230025467389983,-0.0034775901334112196,0.0022560016310054576,0.04776305010873249,0.007928277229194083
5.75,-0.00042218398874977646,0.002418215792656004,-0.00022905210736955236,0.001975629033274625,-0.000417474937737599,0.0028178729836793918,-0.0012648167091879267,0.002129167987096556,-0.003456816744957746,0.0021638027960152566,0.04662706255400019,0.008362129020036652
6.0,-0.00037895322819845857,0.002388308644928806,-0.00019749573539273478,0.001930893635507575,-0.000374770917613403,0.0027728692887259085,-0.0011621572239706955,0.0019472857289773498,-0.0034185411475967766,0.0020546758373691425,0.045483654764550366,0.008766044673437615
