t,residual_norm,smooth_log_norm,loss_bound_log_norm,parameter_speed,gate_defect_0.0002,count_0.0002,gate_defect_0.0001,count_0.0001,gate_defect_1e-05,count_1e-05
0.0,2.556163589182235,4.509465843556667,5.428272162949464,0.04856481225081585,2.0400951876799878e-10,17,5.361669820799593e-11,8,3.650709029115216e-12,2
0.02,2.5561435516607007,4.509423186576453,5.428229611243924,0.05270147669087931,2.709528897883009e-10,12,2.3407105556168726e-11,4,6.0896008905994614e-12,1
0.04,2.556119938871061,4.50937211021511,5.428179467094609,0.05722839730190477,1.6579718081346874e-10,6,3.2882497042010565e-11,4,0.0,0
0.060000000000000005,2.556092077227828,4.509310953190425,5.428120300074542,0.062182557278328755,1.1087199299313118e-10,10,3.837367945657678e-11,7,7.293983971344726e-13,1
0.08,2.5560591629767857,4.509237726529086,5.428050403330275,0.06760439305554528,1.9034405896599022e-10,13,3.53960694098991e-11,6,6.6296189888978415e-12,1
0.1,2.556020236759254,4.509150048966865,5.427967739566528,0.07353810256549786,2.0781874654140372e-10,12,3.9736956948853714e-11,4,7.477629184471772e-12,1
0.12000000000000001,2.5559741532091755,4.509045069649191,5.4278698764825215,0.08003199787665081,3.4723543393276673e-10,17,1.1117472550192539e-10,8,2.7807329498232165e-11,2
0.14,2.555919544564459,4.5089193755898,5.427753909496987,0.0871388903691425,3.2235931691831746e-10,8,1.0084800067008396e-10,3,0.0,0
0.16,2.555854777187943,4.508768881098602,5.427616369416024,0.09491647734679093,2.603689450839011e-10,12,9.299634240633908e-11,7,0.0,0
0.18000000000000002,2.5557778995393536,4.508588694929886,5.427453111946292,0.10342783012287902,3.321841745737202e-10,12,1.9489790219068285e-10,5,0.0,0
0.2,2.5556865799953705,4.50837296244838,5.42725918564962,0.11274181844700416,3.076458179564963e-10,12,1.4799705470552796e-10,7,0.0,0
0.22,2.5555780325315434,4.508114675573101,5.427028674121037,0.1229336817649562,4.898982353030062e-10,15,4.510879312433032e-10,8,0.0,0
0.24000000000000002,2.5554489278654104,4.507805446578596,5.426754507292184,0.13408555296761884,1.0495276506892134e-09,15,2.500094225201523e-10,5,1.1449091071082594e-10,1
0.26,2.5552952873572448,4.507435236962021,5.42642823611881,0.14628707349570058,1.4775900089547197e-09,19,8.369973090175227e-10,10,0.0,0
0.28,2.5551123562121973,4.506992033728341,5.426039763312688,0.159636031984403,1.629897812926884e-09,19,8.96047742834509e-10,10,1.6515194492860402e-10,1
0.3,2.5548944521845596,4.506461462959204,5.4255770220497945,0.17423902747433875,1.90300150402336e-09,18,1.0780355303259814e-09,6,0.0,0
0.32,2.5546347850549296,4.5058263278417785,5.4250255926118,0.1902121808565512,2.9056844077145883e-09,19,1.6700452843265145e-09,10,7.706672833005965e-10,1
0.34,2.554325241335511,4.505066058156362,5.424368245185976,0.20768188319372538,4.3192053021025655e-09,22,2.4849596450909705e-09,13,3.9547897380951277e-10,1
