t,dt,defect_norm,defect_derivative_norm,smooth_log_norm,loss_log_norm,speed,accel,jerk
0.005,0.01,3.110101961596012e-05,6.308593399058501e-05,4.5094558885752525,5.4282621677112575,0.04953397248362868,0.20740702377848907,3.4031659039572473
0.015,0.01,3.2501643382043536e-05,6.599621032137285e-05,4.509434581691948,5.428240910535307,0.051600379105151854,0.216747598153336,3.5572718640501333
0.025,0.010000000000000002,3.396673066522614e-05,6.914648297126601e-05,4.509411266710852,5.428217838660983,0.053762049731681534,0.22651849246706027,3.718544559326623
0.035,0.009999999999999998,3.5499470980303965e-05,7.226352898151055e-05,4.509385754399098,5.428192788865495,0.056023402879885796,0.2367395662205893,3.887139792271054
0.045,0.010000000000000002,3.7102653176024666e-05,7.551123905660935e-05,4.509357837737753,5.428165582871248,0.05838905304729822,0.2474309135609494,4.063536307855429
0.05500000000000001,0.010000000000000002,3.87796134044588e-05,7.902860622676736e-05,4.50932729019995,5.428136025945328,0.06086382642890665,0.2586145225576056,4.248053637037674
0.065,0.010000000000000002,4.0533713202437646e-05,8.257409931338167e-05,4.509293863922543,5.428103905361452,0.06345277104440354,0.27031292182473593,4.441070622730407
0.07500000000000001,0.009999999999999995,4.2368683212462135e-05,8.635193459958244e-05,4.509257287675567,5.428068988719997,0.06616116545178863,0.2825497580516777,4.642914178820876
0.085,0.010000000000000009,4.4288015967971235e-05,9.025751142807415e-05,4.509217264705653,5.4280310221118055,0.06899452627078485,0.29534942271238174,4.8540350223200335
0.095,0.009999999999999995,4.6295577923717186e-05,9.452267226911493e-05,4.509173470321892,5.427989728112207,0.07195862020483164,0.3087375201982656,5.07483976734774
0.10500000000000001,0.009999999999999995,4.8395468102158604e-05,9.90210901957117e-05,4.5091255492523565,5.427944803585944,0.07505947661825592,0.32274132469549,5.305826663797465
0.115,0.010000000000000009,5.059178342487356e-05,0.0001034089907029744,4.5090731127489025,5.4278959172821555,0.07830340342182718,0.33738918498974557,5.547402863723722
0.125,0.009999999999999995,5.288923795402779e-05,0.00010798904195796275,4.509015735467323,5.427842707204187,0.08169699431728394,0.35270991746979286,5.7999943156110305
0.135,0.010000000000000009,5.5291955188807705e-05,0.00011292360943331386,4.508952952065514,5.427784777742641,0.08524713704268498,0.3687340065281417,6.064163476443497
0.14500000000000002,0.009999999999999981,5.780523653629687e-05,0.00011816671633847238,4.508884253383414,5.427721696537992,0.08896103253107707,0.3854937616887609,6.340487154953259
0.155,0.010000000000000009,6.043367955401478e-05,0.00012373948977092,4.508809082318028,5.427652991042897,0.09284621207806079,0.40302288070728903,6.629480489038838
0.165,0.010000000000000009,6.318274035270776e-05,0.00012932156922140455,4.508726829281324,5.427578144762074,0.09691055092280308,0.42135659891088195,6.931633049171345
0.17500000000000002,0.010000000000000009,6.60577288311729e-05,0.0001351061368016739,4.508636827376208,5.427496593143617,0.1011622760646232,0.44053042172201146,7.2475805830581255
0.185,0.009999999999999981,6.906477040682236e-05,0.00014125294492975873,4.508538346995712,5.427407719099402,0.10560998315152237,0.46058258314395606,7.577965960361709
0.195,0.010000000000000009,7.220934322002267e-05,0.0001479062370335205,4.508430589895921,5.427310848095763,0.11026265688385818,0.4815527428255741,7.92343214168856
0.20500000000000002,0.010000000000000009,7.54977375273177e-05,0.00015460529100327233,4.508312682709799,5.4272052427862105,0.11512968970799359,0.5034830624408491,8.284679703848411
0.21500000000000002,0.009999999999999981,7.893648065555631e-05,0.00016146232811829067,4.508183669894579,5.42709009713534,0.12022089902408901,0.526416133381477,8.662270496802183
0.225,0.010000000000000009,8.253232234585598e-05,0.00016888523346772418,4.508042506176139,5.426964530012212,0.1255465358567964,0.550396700792752,9.057045156600843
0.23500000000000001,0.010000000000000009,8.629262688765811e-05,0.00017634300993688674,4.5078880480075725,5.426827578187899,0.13111731035779345,0.5754718194659999,9.46973746493883
0.245,0.009999999999999981,9.022391788151272e-05,0.00018452519298875822,4.507719044408776,5.426678188675557,0.13694440988247503,0.6016905222098345,9.901313428554287
0.255,0.010000000000000009,9.433478944801427e-05,0.00019330721745099862,4.507534126682031,5.42651521035132,0.1430395308655151,0.6291043816684395,10.35223823396278
0.265,0.010000000000000009,9.863235670898626e-05,0.00020197597025410554,4.507331797753689,5.426337384797823,0.14941487867779163,0.6577650317642344,10.823536410525339
0.275,0.010000000000000009,0.00010312538977785944,0.00021123878946471692,4.507110419993812,5.426143336331851,0.15608319776680105,0.6877283109816983,11.31610497178094
0.28500000000000003,0.010000000000000009,0.00010782266012567553,0.00021981682348147502,4.506868201992006,5.425931561074228,0.16305780037664108,0.7190517601383966,11.830746920521596
0.29500000000000004,0.009999999999999953,0.00011273209011340417,0.0002306549884981355,4.506603184465867,5.425700415024989,0.17035257113991115,0.7517934694831637,12.368689676393293
0.305,0.010000000000000009,0.00011786443005234707,0.00024056387116084646,4.50631322414893,5.425448101065383,0.17798201008035236,0.7860174924144766,12.93061938160472
0.315,0.010000000000000009,0.0001232277795535989,0.0002515625124884644,4.505995976928354,5.425172654699311,0.1859612479775223,0.8217863810302137,13.517446795975234
0.325,0.010000000000000009,0.00012883334804006123,0.0002627382802924008,4.5056488792678095,5.424871928558783,0.1943060607629296,0.8591674762409298,14.13057544434708
0.335,0.010000000000000009,0.00013469012752145444,0.0002745195550335768,4.505269127566412,5.4245435754501,0.20303290573053365,0.8982283104507708,14.770795586913549
0.34500000000000003,0.010000000000000009,0.0001408103273968815,0.0002863744392290066,4.504853656018695,5.4241850298923655,0.21215893362807856,0.9390412440308783,15.439347292610385
0.35500000000000004,0.010000000000000009,0.00014720390944215127,0.0002990280252817644,4.5043991119968965,5.423793487938439,0.22170202837956618,0.9816801768475731,16.137234560198888
0.365,0.009999999999999953,0.0001538825418584329,0.000312189888660038,4.503901829862496,5.423365885176062,0.2316808150731224,1.0262193328810327,16.86549151119427
0.375,0.010000000000000009,0.00016085871491285374,0.00032613085124449226,4.503357802008011,5.4228988728073855,0.2421146826707927,1.072738858311184,17.62574261478035
0.385,0.010000000000000009,0.00016814367329498546,0.00034035472971817853,4.50276264675608,5.422388791479609,0.2530238322533235,1.1213182299534927,18.418548841941988
0.395,0.010000000000000009,0.00017574858757183002,0.0003551878886070083,4.502111574960842,5.421831642854387,0.2644292608435962,1.1720399423088708,19.24572017528385
0.405,0.010000000000000009,0.00018368943605722246,0.0003701493334603766,4.501399351074171,5.421223058627407,0.27635282402654743,1.2249917037776354,20.108312365487023
0.41500000000000004,0.010000000000000009,0.0001919762167571645,0.0003860888368266876,4.500620253060029,5.420558266720516,0.28881723853920005,1.2802581557824937,21.007272348590124
0.42500000000000004,0.009999999999999953,0.0002006240978282052,0.0004030378308376697,4.4997680283350565,5.419832054649931,0.30184608124134465,1.3379271869258924,21.94395856240487
0.435,0.010000000000000009,0.00020964571958971662,0.0004198245177346829,4.498835844894503,5.419038729672866,0.3154638251540219,1.3980898121911969,22.91961552083223
0.445,0.010000000000000009,0.000219055109913577,0.00043777521909124764,4.497816238698009,5.418172075417633,0.32969585454480976,1.46083744164686,23.93558097462222
