index,time,phi_deg,dV_dphi,stable_root_count,branch_exists
106,1.06,0.7371735572814941,-1.6162979498701926,1,1
107,1.07,0.7073795318603515,-1.5577818086686859,1,1
108,1.08,0.6759716033935547,-1.5189756858237975,1,1
109,1.09,0.6393802642822265,-1.3935250942955244,1,1
110,1.1,0.5975307464599607,-1.238747291751814,1,1
111,1.11,0.5437191009521484,-1.227974929048183,1,1
112,1.12,0.4932361602783203,-1.2409000281781801,1,1
113,1.1300000000000001,0.4320735931396483,-1.1145284226274865,1,1
114,1.1400000000000001,0.35934562683105464,-0.9791468244512672,1,1
115,1.1500000000000001,0.2724460601806641,-0.9389550807007018,1,1
116,1.1600000000000001,88.39309358596802,-2.1303082869227454,1,1
117,1.1700000000000002,88.47494745254491,-2.3836751144785513,1,1
118,1.1800000000000002,88.5519169807429,-2.2834946129840032,1,1
119,1.19,88.61311578750536,-2.93291672291498,1,1
120,1.2,88.6581646919241,-2.5364332637281524,1,1
121,1.21,88.72111825942875,-2.1009552022397604,1,1
122,1.22,88.78257722854474,-1.9739793659444078,1,1
123,1.23,88.83697748184042,-2.1122220229171527,1,1
124,1.24,88.88582963943296,-2.371614912290211,1,1
125,1.25,88.9246102333048,-2.558553746297791,1,1
126,1.26,88.95310792922746,-2.7827438963202873,1,1
127,1.27,88.98441629409538,-2.830681821962556,1,1
128,1.28,89.00560426711763,-2.9117012735710492,1,1
129,1.29,89.03395776748363,-2.8839143416351822,1,1
130,1.3,89.05195207595509,-2.778488641483346,1,1
131,1.31,89.07042245864531,-2.8206399316779014,1,1
132,1.32,89.09380083083747,-2.7154062904084957,1,1
133,1.33,89.10828485488508,-2.6922738868900167,1,1
134,1.34,89.12101640700888,-2.84431686739842,1,1
135,1.35,89.13730554580263,-3.0187295969266845,1,1
136,1.36,89.15020189284832,-3.038475377781343,1,1
137,1.37,89.16044855117329,-3.0422040583388927,1,1
138,1.3800000000000001,89.16821184157834,-3.1466706591246,1,1
139,1.3900000000000001,89.17535257338963,-3.150786239978991,1,1
140,1.4000000000000001,89.183077716822,-3.348863888469318,1,1
141,1.4100000000000001,89.18925485610399,-3.362219348052986,1,1
142,1.4200000000000002,89.19723329543478,-3.474254290511759,1,1
143,1.4300000000000002,89.20258798598633,-3.5857074194348817,1,1
144,1.4400000000000002,89.20846986769996,-3.6081733828335882,1,1
145,1.4500000000000002,89.21150064467727,-3.579833814523321,1,1
146,1.46,89.21536149977959,-3.5867087096294337,1,1
147,1.47,89.21605310439364,-3.5973177743936673,1,1
148,1.48,89.22002229689829,-3.4640485123185543,1,1
149,1.49,89.22298288344592,-3.4783892847439337,1,1
150,1.5,89.22770967482754,-3.3838964156250837,1,1
151,1.51,89.230461215965,-3.3435811774934003,1,1
152,1.52,89.23103303908488,-3.349365416559454,1,1
153,1.53,89.23240900038837,-3.390002281910516,1,1
154,1.54,89.23670015334224,-3.335205518277541,1,1
155,1.55,89.23861627577853,-3.3391490744623775,1,1
156,1.56,89.2403065681367,-3.389494926308431,1,1
157,1.57,89.24170923232106,-3.527337868924591,1,1
158,1.58,89.24276094435697,-3.529939869300286,1,1
159,1.59,89.24428186415653,-3.634641334396412,1,1
160,1.6,89.24757204054791,-3.67662727061764,1,1
161,1.61,89.24913873671468,-3.678147167545814,1,1
162,1.62,89.25024080275449,-3.730799155599215,1,1
163,1.6300000000000001,89.25192193983924,-3.6890428497924903,1,1
164,1.6400000000000001,89.2552250862013,-3.677787849015875,1,1
165,1.6500000000000001,89.25672006605947,-3.6780861170858903,1,1
166,1.6600000000000001,89.26037187575164,-3.631839569176387,1,1
167,1.6700000000000002,89.2621178626899,-3.5821577464404495,1,1
168,1.6800000000000002,89.26437349318283,-3.6321776295675843,1,1
169,1.6900000000000002,89.26867227553123,-3.6146527815521634,1,1
170,1.7000000000000002,89.27206773756714,-3.701742738292841,1,1
171,1.7100000000000002,89.27549219130228,-3.8459947583068224,1,1
172,1.72,89.2803097724788,-3.844826762520847,1,1
173,1.73,89.28341531752253,-3.7505291126313094,1,1
174,1.74,89.2860997199881,-3.841723530451381,1,1
175,1.75,89.28922739027595,-3.791241782037407,1,1
176,1.76,89.29114503859114,-3.742138287219879,1,1
177,1.77,89.29142999647664,-3.7399457102635814,1,1
178,1.78,89.29388093946957,-3.64271635935894,1,1
179,1.79,89.29492044447423,-3.5861330636425697,1,1
180,1.8,89.29856462477187,-3.540103052900513,1,1
181,1.81,89.30221261976675,-3.4745028618682054,1,1
182,1.82,89.30645570753506,-3.552012101255851,1,1
183,1.83,89.31135568617253,-3.4821056242859005,1,1
184,1.84,89.3147809028471,-3.437253937483584,1,1
185,1.85,89.31517724989277,-3.433379448419995,1,1
186,1.86,89.31973619459467,-3.509076613079883,1,1
187,1.87,89.32251825331025,-3.458692810433618,1,1
188,1.8800000000000001,89.32430467603953,-3.454157822937905,1,1
189,1.8900000000000001,89.32817392347582,-3.4920599543784716,1,1
190,1.9000000000000001,89.33212938307031,-3.491799792723436,1,1
191,1.9100000000000001,89.3347779273816,-3.4865238695928067,1,1
192,1.9200000000000002,89.34340181348978,-3.3989433078109186,1,1
193,1.9300000000000002,89.3521401405159,-3.4956854914146422,1,1
194,1.9400000000000002,89.35447816846977,-3.48226134992411,1,1
195,1.9500000000000002,89.36171960828887,-3.4685608656565523,1,1
196,1.9600000000000002,89.3684834480103,-3.381479673846234,1,1
197,1.9700000000000002,89.37451028822002,-3.1821036348990908,1,1
198,1.9800000000000002,89.38186388013875,-3.14198781754499,1,1
199,1.99,89.39009485242855,-3.1251938141268596,1,1
200,2.0,89.39312562940586,-3.1668187368700713,1,1
