time,psi_deg,phi_W_true_root_deg,d1,d2,loss_full,loss_reduced,edot_full,edot_reduced_continuous,M1_11,M2_11,dM1_11,dM2_11,M1_12,M2_12,dM1_12,dM2_12,M1_21,M2_21,dM1_21,dM2_21,M1_22,M2_22,dM1_22,dM2_22,p1_m11,p1_m12,p1_m21,p1_m22,p2_m11,p2_m12,p2_m21,p2_m22,term_sum,term_sum_minus_edot_reduced
1.06,33.7,0.7371735572814941,1.0,1.0,0.2671651648196486,0.28322667018748726,-0.9286019904120607,-0.8948405334554417,0.3682695580713203,0.002872301619477251,1.9835899170877407,0.015188515119190615,0.008169569651926573,0.0011652785012576771,0.03921321781178084,0.005754498585370142,0.007422898391609159,0.001170270236967034,0.03161022794577164,0.0058111270396686825,0.00040501556873363153,0.002631391811873803,0.0012100710606453404,0.01046364734960806,-0.8548353694767732,-0.011270285647572216,-0.014359127671307835,-0.0003665921447413099,-0.006545546446807511,-0.0016539025980211036,-0.002639737847507472,-0.0031699716227110097,-0.8948405334554418,-1.1102230246251565e-16
1.07,33.7,0.7073795318603515,1.0,1.0,0.25797552401280005,0.27435080602858164,-0.9082950989284143,-0.8793635071461676,0.38827029925756873,0.003025381179789525,2.014897345220043,0.01541421531355833,0.008562957406783625,0.0012234520698046053,0.03942023579206101,0.005878326735314487,0.007737487914667895,0.0012290456300367515,0.03125843643473172,0.005942329439495809,0.00041711454164387,0.002738073379336008,0.0012087247239216475,0.010879375038860013,-0.8398007803723774,-0.010957574133756037,-0.01418953254591303,-0.0003659317512472872,-0.0064245804283098356,-0.0016339882217959944,-0.002697475836845599,-0.003293643855922429,-0.8793635071461677,-1.1102230246251565e-16
1.08,33.7,0.6759716033935547,1.0,1.0,0.24901311812446358,0.26565228436129024,-0.8831601605496479,-0.8593648202650799,0.40854709399217287,0.0031804271669876134,2.0386022338848866,0.015580268224811154,0.00895753319473717,0.0012828145037878293,0.03944719573434379,0.0059919682582693975,0.008047664854430661,0.001289088137809862,0.03072473038152227,0.006064273866485084,0.000429182330337819,0.0028489915832903023,0.0012037874598846967,0.011311240610633044,-0.8204241010539458,-0.010587511615500115,-0.01393764331197121,-0.0003641857352996254,-0.006270192065943664,-0.0016082267028908886,-0.002750933370208144,-0.003422026409320587,-0.85936482026508,-1.1102230246251565e-16
1.09,33.7,0.6393802642822265,1.0,1.0,0.2403244897410283,0.25717495950165153,-0.8535641437401449,-0.8351350246180975,0.42902196018896976,0.0033368282797837955,2.0543305758267465,0.01568384512044252,0.009351479499390093,0.0013432612645851816,0.03929100394892397,0.006094912186098493,0.008351605917229285,0.0013503027953420453,0.030008822193426238,0.0061765347573581805,0.00044118289367583324,0.002964311090225356,0.0011952518987008824,0.011759914207740377,-0.7969873872679201,-0.010165906125674903,-0.013603538110057425,-0.0003613551264166158,-0.006084622841105191,-0.0015769590720729376,-0.002799934146639797,-0.0035553219282105815,-0.8351350246180976,-1.1102230246251565e-16
1.1,33.7,0.5975307464599607,1.0,1.0,0.2319520449064127,0.24895935302517483,-0.8199674522365373,-0.807049333452181,0.44961376719003554,0.0034939496294361465,2.0618304170191903,0.01572308980483078,0.009742936871562425,0.0014046834555606375,0.03894663662312707,0.006186803123542212,0.008647499760412982,0.0014125913863256196,0.029113467130318864,0.006278794535869511,0.0004530812039857537,0.0030842033753879445,0.0011833088877876842,0.01222608458196724,-0.7698553467920585,-0.009698353220850444,-0.013188668784784842,-0.00035750079350595925,-0.00587075670939043,-0.0015406157553626407,-0.002844351761012427,-0.003693739635215604,-0.8070493334521808,2.220446049250313e-16
1.11,33.7,0.5437191009521484,1.0,1.0,0.22393317873128912,0.24104185231878533,-0.7829093921724863,-0.775557837689322,0.4702395029919013,0.0036511426722338784,2.0609805401493326,0.015697143669901152,0.010130029653911892,0.0014669693934896788,0.03841573233804256,0.006267443079109423,0.008933577585605819,0.0014758534390427337,0.028044431517459868,0.006371073544171333,0.0004648440663016097,0.00320884704586041,0.001168149084877971,0.012710496927114932,-0.7394635880025113,-0.009192293236204222,-0.012695838963408862,-0.00035268329363078745,-0.005632011536942979,-0.0014997026248889178,-0.0028842133487525256,-0.003837506682982322,-0.775557837689322,0.0
1.12,33.7,0.4932361602783203,1.0,1.0,0.2162995847239425,0.23345404588452257,-0.7429881667194501,-0.7411679382656908,0.4908156060524538,0.0038077555666500467,2.0517946154345905,0.015606229366775588,0.010510890463219163,0.0015300062390599428,0.03769779291606567,0.006336800999430053,0.009208142385444715,0.0015399892658069948,0.026810323490597348,0.0064533530174940784,0.00047644028597058284,0.0033384282173311163,0.0011499830439412734,0.013213903187379417,-0.7063038670260672,-0.00865456956984531,-0.012129120419597343,-0.00034696889357907826,-0.005372243434372521,-0.0014547876906730141,-0.002919528214078016,-0.003986853017478253,-0.7411679382656907,1.1102230246251565e-16
1.1300000000000001,33.7,0.4320735931396483,1.0,1.0,0.20907675807192352,0.22622222576253684,-0.7008425070609453,-0.704429339146516,0.5112593153381084,0.0039631437954736545,2.0344206042276385,0.01545159793800258,0.01088367378628203,0.0015936816230695035,0.036799128037249225,0.006395006007491584,0.009469596560795658,0.0016048991178178992,0.025422409572211566,0.006525785137494241,0.0004878415649824072,0.003473140771943949,0.0011291618172256128,0.013737106955054097,-0.6709072194151585,-0.008093401738314396,-0.011493764045387848,-0.0003404658842300071,-0.005095597531092619,-0.001406483128762534,-0.0029503825893531436,-0.004142024814216845,-0.7044293391465158,1.1102230246251565e-16
1.1400000000000001,33.7,0.35934562683105464,1.0,1.0,0.2022836913088508,0.21936705129897507,-0.6571303919560022,-0.6659156327829745,0.5314899932004262,0.00411668034103414,2.009135824905022,0.015235505423485946,0.011246642680044636,0.0016578852470471085,0.03573382245498492,0.0064423428588503955,0.009716467349314856,0.001670486792464137,0.023894379199984994,0.006588805868258044,0.0004990230368240653,0.003613186803415013,0.0011060608458774803,0.014280945517772155,-0.6338260142399957,-0.007518169076436976,-0.010796088343180642,-0.0003332894353052303,-0.004806374739724943,-0.0013554279820533705,-0.002976990096056798,-0.004303278870220741,-0.6659156327829744,1.1102230246251565e-16
1.1500000000000001,33.7,0.2724460601806641,1.0,1.0,0.195932806193158,0.21290342192513084,-0.6125050403355555,-0.6262027967076169,0.5514303768433562,0.004267765415545782,1.9763376952482092,0.014961135787581034,0.011598162940135649,0.001722510392531345,0.03451050121890699,0.006479245082254668,0.009947429119299456,0.0017366600022516681,0.022241909261682773,0.00664293537314487,0.0005099636672846361,0.0037587769503825987,0.001081059923399407,0.014846293199587034,-0.5956160078118745,-0.006936307288513996,-0.010043278992089292,-0.0003255555329727636,-0.004508891365861051,-0.0013022712884705797,-0.002999601000704068,-0.00447088342713059,-0.6262027967076169,0.0
1.1600000000000001,33.7,88.39309358596802,1.0,1.0,0.19003008184945372,0.20684052562126404,-0.5675973546559078,-0.5858531707915738,0.571007717721259,0.0044158352255485485,1.9365306663409227,0.014632498215245662,0.011936714647391182,0.0017874553486013451,0.033138858796490714,0.006506277076774698,0.010161320940947967,0.001803332972961827,0.02048219117215149,0.006688709695702434,0.0005206463415927648,0.003910130780478464,0.0010545040540772387,0.015434060855133661,-0.5568192759931365,-0.006354761880816128,-0.00924317316383942,-0.0003173692009060387,-0.004207347295759049,-0.001247654356700238,-0.003018471092296472,-0.004645117808120024,-0.5858531707915738,0.0
1.1700000000000002,33.7,88.47494745254491,1.0,1.0,0.18457538979696186,0.20118205955014584,-0.5229960840343992,-0.5454009571275507,0.5901547745942769,0.004560369586040528,1.8903099192192205,0.014254289987369967,0.01226088335788115,0.0018526245885834424,0.031635458136204435,0.006524113273511746,0.010357159123109867,0.0018704263573609166,0.018633432817567797,0.006727044376083477,0.0005310579731725288,0.00406747719524904,0.0010268890378325617,0.016045204549333912,-0.5179488832831302,-0.005780958698876621,-0.008404034221093868,-0.0003088803698989208,-0.0039057053586227138,-0.0011921948219805112,-0.0030340255441349186,-0.004826274829812926,-0.5454009571275505,1.1102230246251565e-16
1.1800000000000002,33.7,88.5519169807429,1.0,1.0,0.17956296340841377,0.19592658023107046,-0.4792368994356248,-0.5053373715343981,0.6088106333318681,0.004700898230209279,1.838343269730248,0.013831780342966686,0.012569429930258386,0.0019179298341978823,0.03001735213314016,0.006533524002179612,0.010534145565741775,0.0019378691735662864,0.01671446141935705,0.0067587028880776645,0.0005411900461111793,0.004231054764899197,0.0009986901636063288,0.01668070052166912,-0.47947604871209676,-0.005221370833588228,-0.007534373430559594,-0.0003002322752904328,-0.0036076001118509685,-0.0011364743803590298,-0.003046618744532516,-0.005014653046120472,-0.505337371534398,1.1102230246251565e-16
1.19,33.7,88.61311578750536,1.0,1.0,0.1749820022318626,0.19106798601956157,-0.43678823733430655,-0.4661001744274176,0.626921337392365,0.0048370056637359014,1.7813517143673079,0.013370617840339513,0.012861297590797694,0.001983290871087835,0.02830029437146217,0.006535348223133029,0.010691671568683633,0.0020055984912182028,0.014744236512803734,0.006784463363817895,0.0005510389009999283,0.004401112037968724,0.0009702947234724104,0.0173415829344752,-0.4418202288579057,-0.004681216464396177,-0.006642732444551788,-0.0002915412368008541,-0.003316251016879374,-0.0010810269073929775,-0.00305660960244161,-0.00521056789704911,-0.4661001744274175,5.551115123125783e-17
1.2,33.7,88.6581646919241,1.0,1.0,0.170817374344911,0.18659609124770038,-0.3960470310803237,-0.42806781876430366,0.644440322646985,0.004968334246823611,1.7200894747905364,0.012876721340019638,0.013135585083053077,0.0020486361255567923,0.02650516775385333,0.0065304750831237275,0.010829316266043216,0.002073561120949037,0.012741295678263974,0.006805459821340459,0.0005606041392774909,0.004577908071226759,0.0009420929193265093,0.018028899322637112,-0.40534229121185805,-0.00416555897558755,-0.005737436643047662,-0.0002829240712738193,-0.003034423387711147,-0.0010263311422883598,-0.0030645152218198445,-0.0054143381107171476,-0.42806781876430355,1.1102230246251565e-16
1.21,33.7,88.72111825942875,1.0,1.0,0.16705037417625218,0.18249724280738008,-0.3573296806531173,-0.39155335112987116,0.6613286520702238,0.005094586068344213,1.6553246714800518,0.012356083395505162,0.013391597882533385,0.0021139030802571446,0.024646095390325,0.006519818790185766,0.010946841318859327,0.002141712818868796,0.010723516958365372,0.006822531046543312,0.0005698904444286359,0.004761712653787069,0.0009145458018969504,0.018743756743610545,-0.3703407518310547,-0.0036773781531153986,-0.004826491998295002,-0.0002745185262881116,-0.0027643889402597702,-0.0009728047709623119,-0.0030707175297161092,-0.005626299380179767,-0.39155335112987116,0.0
1.22,33.7,88.78257722854474,1.0,1.0,0.1636594952669627,0.17875497816718716,-0.3208797749130432,-0.35680589453000194,0.6775550668427652,0.00521552311035178,1.587821394235585,0.011814671137261007,0.013628786211935886,0.0021790384006342106,0.022744440149742196,0.0065043011859799785,0.011044181639841595,0.0022100199636247253,0.00870761749779738,0.006836673332625062,0.0005789060163671869,0.004952806771441555,0.0008880304823863424,0.01948728298854442,-0.33705101010236893,-0.0032198903728321415,-0.003917363603153479,-0.0002664368342003592,-0.002507931216507022,-0.0009208024744884741,-0.0030756674011748844,-0.005846792525276656,-0.3568058945300019,5.551115123125783e-17
1.23,33.7,88.83697748184042,1.0,1.0,0.16062117005048404,0.1753506621500385,-0.286865225463077,-0.32400959377610306,0.6930958637873849,0.005330966325498793,1.5183236334393988,0.011258278400703259,0.013846804310268437,0.0022439979265701003,0.020811373895376357,0.006484829558169824,0.011121433311327913,0.0022784570608524496,0.0067090098342803065,0.0068487746603713255,0.0005876626677955102,0.005151482855050159,0.0008628232917341654,0.02026064642177973,-0.3056470010485236,-0.002794012786623047,-0.0030169155050769063,-0.0002587607668389607,-0.002266354125272636,-0.0008706151163149773,-0.003079765117957762,-0.00607616930949521,-0.32400959377610317,-1.1102230246251565e-16
1.24,33.7,88.88582963943296,1.0,1.0,0.15791049434058196,0.17226411764809793,-0.2553870803253434,-0.2932904767315652,0.7079346237751044,0.0054407932363405255,1.4475411587057616,0.010692399455719488,0.014045405755798,0.002308746441999835,0.018868180024192008,0.006462281697733915,0.011178838111291162,0.002347009587293656,0.004741407336523293,0.006859916670479948,0.0005961752327693694,0.005358045303868726,0.0008393067666687079,0.02106507758868114,-0.2762449543449936,-0.002401404361886432,-0.002131237591998504,-0.00025160378822915576,-0.0020405094402459476,-0.0008224720898772341,-0.003083496364778583,-0.006314798749555785,-0.29329047673156516,5.551115123125783e-17
1.25,33.7,88.9246102333048,1.0,1.0,0.15550186083241627,0.16947417864462969,-0.22648398425536756,-0.26471862233876775,0.7220618121426505,0.005544934743974729,1.3761385682206777,0.0101221941804909,0.014224583030952052,0.0023732573046457445,0.016924903731614448,0.0064374909753025285,0.011216767655016556,0.002415670967579775,0.00281698009782721,0.006870739438592061,0.0006044617660753331,0.005572810903991156,0.0008176879844399262,0.02190182338801,-0.24890865786128713,-0.002041624619362348,-0.0012657198281697142,-0.00024502662136166,-0.0018308488885207187,-0.0007765444501495481,-0.00308714681666418,-0.006563053253252425,-0.2647186223387677,5.551115123125783e-17
1.26,33.7,88.95310792922746,1.0,1.0,0.15336954789364085,0.16695923053036238,-0.2001429493601917,-0.23831637778002812,0.7354742822455281,0.005643371160188415,1.3047264586936618,0.00955238889884877,0.014384337960665279,0.0024375119532586793,0.014989922915345314,0.006411238605562818,0.011235705386081181,0.00248444268446795,0.0009458859390489936,0.006882148643035144,0.0006125423526686681,0.005796109229611578,0.00079818206956708,0.022772174657837124,-0.22365589497866464,-0.0017136894777840677,-0.0004248451177290897,-0.00023909234985707993,-0.0016374682019519784,-0.0007329505428389258,-0.003091120324104866,-0.00682131678709747,-0.23831637778002812,0.0
1.27,33.7,88.98441629409538,1.0,1.0,0.15148818550531135,0.16469762886047992,-0.17630589443590963,-0.21406679534217604,0.7481747025895119,0.005736127789259094,1.2338553266362724,0.008987213971705245,0.014524873111269574,0.002501499324516188,0.013083476776163326,0.006384237545817257,0.011236227865799125,0.0025533343894905353,-0.0008633853291253792,0.006895097056503805,0.0006204389123616008,0.006028282949336557,0.0007809669310072432,0.023677483589540478,-0.20046519392978124,-0.001417652397464194,0.00038765277010887017,-0.00023385287973344,-0.0014601578911507436,-0.0006917602880067798,-0.0030958407375660454,-0.007089989988582441,-0.214066795342176,5.551115123125783e-17
