t_block,tolerance_deg,phi_block_deg,strong_count,weak_count,remainder_count,strong_mass_fraction,weak_mass_fraction,remainder_mass_fraction
4.0,10.0,85.00096597665026,69,70,61,0.45749958800142404,0.46843604549248796,0.07406436650608787
4.0,15.0,85.00096597665026,71,72,57,0.46866306686754783,0.4684802614135486,0.06285667171890351
4.0,20.0,85.00096597665026,73,74,53,0.47924069096680044,0.47479708732280107,0.045962221710398495
