step,radius,beta
183,1.6911623369229544e-09,0.0
184,1.7021056057587173e-09,0.0
185,1.7132439999698073e-09,0.0
186,1.7240957852493788e-09,0.0
187,1.7352404810453327e-09,0.0
188,1.7463074055763162e-09,0.0
189,1.7574172727522697e-09,0.0
190,1.768808563474408e-09,0.0
191,1.7806604836181058e-09,0.0
192,1.792256928993067e-09,0.0
193,1.8040308562947461e-09,0.0
194,1.8160050123601383e-09,0.0
195,1.8284159560725822e-09,0.0
196,1.8412204271604772e-09,0.0
197,1.8536187516223734e-09,0.0
198,1.865717745193501e-09,0.0
199,1.8778730808432704e-09,0.0
200,1.8902686648365823e-09,0.0
201,1.9023151991156147e-09,0.0
202,1.9146339868377305e-09,0.0
203,1.926917035366435e-09,0.0
204,1.9392382328790747e-09,0.0
205,1.9511680283327903e-09,0.0
206,1.9632208937120233e-09,0.0
207,1.975421402391004e-09,0.0
208,1.9876500364091635e-09,0.0
209,1.9998254700178803e-09,0.0
210,2.0121080651700104e-09,0.0
211,2.0243359488481055e-09,0.0
212,2.0358661871512604e-09,0.0
213,2.0475875084070857e-09,0.0
214,2.058902577762541e-09,0.0
215,2.0706916603673765e-09,0.0
216,2.082334959362351e-09,0.0
217,2.0938810563611233e-09,0.0
218,2.1055954880097995e-09,0.0
219,2.1171232720874136e-09,0.0
220,2.12890215146476e-09,0.0
221,2.1407987962740327e-09,0.0
222,2.152784511969052e-09,0.0
223,2.164626645599758e-09,0.0
224,2.1764834494138302e-09,0.0
225,2.188594712819295e-09,0.0
226,2.200981904730658e-09,0.0
227,2.21365829889688e-09,0.0
228,2.226372321002817e-09,0.0
229,2.2391371959554393e-09,0.0
230,2.251844553205481e-09,0.0
231,2.2646270621011227e-09,0.0
232,2.2781400980945193e-09,0.0
233,2.291772046901919e-09,0.0
234,2.30572654905634e-09,0.0
235,2.3194629154528214e-09,0.0
236,2.333207873909489e-09,0.0
237,2.3469577753708805e-09,0.0
238,2.360760356821947e-09,0.0
239,2.3745224620467343e-09,0.0
240,2.388447199713352e-09,0.0
241,2.4018268960981336e-09,0.0
242,2.4159692847204658e-09,0.0
243,2.43025173483426e-09,0.0
244,2.4449650719504165e-09,0.0
245,2.45983641227989e-09,0.0
246,2.4747353626589643e-09,0.0
247,2.4895162973559775e-09,0.0
248,2.504136580618329e-09,0.0
249,2.518597987936118e-09,0.0
250,2.533070841292448e-09,0.0
251,2.5477467820088525e-09,0.0
252,2.562010064393588e-09,0.0
253,2.5762209482563764e-09,0.0
254,2.5906741093289e-09,0.0
255,2.6048483153672357e-09,0.0
256,2.6192559022247683e-09,0.0
257,2.6338794395205326e-09,0.0
258,2.649005563634462e-09,0.0
259,2.6651152032534127e-09,0.0
260,2.6805329639562986e-09,0.0
261,2.6962943105488645e-09,0.0
262,2.7120655540672656e-09,0.0
263,2.7275665478580618e-09,0.0
264,2.742558509339514e-09,0.0
265,2.757962315363772e-09,0.0
266,2.7733907677913798e-09,0.0
267,2.788908229050384e-09,0.0
268,2.8045344695428395e-09,0.0
269,2.8202966471265045e-09,0.0
270,2.836806752206574e-09,0.0
271,2.8527015419244106e-09,0.0
272,2.8683883568983606e-09,0.0
273,2.8845890488325706e-09,0.0
274,2.9010553708151205e-09,0.0
275,2.9168390615978722e-09,0.0
276,2.931714304595598e-09,0.0
277,2.9468408622966933e-09,0.0
278,2.962314400865433e-09,0.0
279,2.9779447648560344e-09,0.0
280,2.9933298685717764e-09,0.0
281,3.0090387729918667e-09,0.0
282,3.0243059187169675e-09,0.0
283,3.0396201091994622e-09,0.0
284,3.054878663568831e-09,0.0
285,3.070395390551914e-09,0.0
286,3.085579656794031e-09,0.0
287,3.1008080357155817e-09,0.0
288,3.1159191063960213e-09,0.0
289,3.1310391633806015e-09,0.0
290,3.146590374594192e-09,0.0
291,3.162412860581197e-09,0.0
292,3.178229008679259e-09,0.0
293,3.1935787305235354e-09,0.0
294,3.2086065590364824e-09,0.0
295,3.223541490752436e-09,0.0
296,3.2391398256332332e-09,0.0
297,3.2547882551400275e-09,0.0
298,3.2703013528829335e-09,0.0
299,3.2852508165245125e-09,0.0
300,3.29995008529337e-09,0.0
301,3.3137454706338635e-09,0.0
302,3.3274244199171727e-09,0.0
303,3.3418969137660664e-09,0.0
304,3.356093989512905e-09,0.0
305,3.3694667223266033e-09,0.0
306,3.382109440770069e-09,0.0
307,3.394790335680453e-09,0.0
308,3.4075075830074127e-09,0.0
309,3.420073316218401e-09,0.0
310,3.4332641396088346e-09,0.0
311,3.4467120559541865e-09,0.0
312,3.460493853252359e-09,0.0
313,3.474217595823051e-09,0.0
314,3.4875143178057826e-09,0.0
315,3.5013201634039586e-09,0.0
316,3.5155480577395432e-09,0.0
317,3.5292033056043703e-09,0.0
318,3.5432313316462775e-09,0.0
319,3.557079939343964e-09,0.0
320,3.570668770966647e-09,0.0
321,3.5843931590741974e-09,0.0
322,3.598739612076789e-09,0.0
323,3.612976764072754e-09,0.0
324,3.627364182969578e-09,0.0
325,3.6419792256785433e-09,0.0
326,3.6564021377062136e-09,0.0
327,3.6709769480423914e-09,0.0
328,3.6856862526379406e-09,0.0
329,3.6996000160599775e-09,0.0
330,3.714054563911357e-09,0.0
331,3.728877636313601e-09,0.0
332,3.743586020286751e-09,0.0
333,3.758077527913662e-09,0.0
334,3.772748948726299e-09,0.0
335,3.787915228688281e-09,0.0
336,3.8027026284129275e-09,0.0
337,3.817655052060751e-09,0.0
338,3.832780283132415e-09,0.0
339,3.848787265188874e-09,0.0
340,3.864539986054108e-09,0.0
341,3.88055348212731e-09,0.0
342,3.8959890642334445e-09,0.0
343,3.911439654882369e-09,0.0
344,3.927063040739862e-09,0.0
345,3.943006791530271e-09,0.0
346,3.95962939096352e-09,0.0
347,3.976567805403486e-09,0.0
348,3.993613752178363e-09,0.0
349,4.01031857334533e-09,0.0
350,4.0268798125512134e-09,0.0
351,4.043968213113873e-09,0.0
352,4.061326917070536e-09,0.0
353,4.078701993835385e-09,0.0
354,4.096359183841935e-09,0.0
355,4.113948803867323e-09,0.0
356,4.1317969784364586e-09,0.0
357,4.149654546929764e-09,0.0
358,4.167860900018487e-09,0.0
359,4.185436328377256e-09,0.0
360,4.203371766094496e-09,0.0
361,4.2212855249286605e-09,0.0
362,4.2394043031421884e-09,0.0
363,4.2572074510504065e-09,0.0
364,4.275514454457232e-09,0.0
365,4.293636320595458e-09,0.0
366,4.311798040042602e-09,0.0
367,4.329875012282595e-09,0.0
368,4.3477292386973305e-09,0.0
369,4.365217476804346e-09,0.0
370,4.382849758336161e-09,0.0
371,4.401432798124126e-09,0.0
372,4.419381442311967e-09,0.0
373,4.43654955734523e-09,0.0
374,4.453741448158529e-09,0.0
375,4.471265557743688e-09,0.0
376,4.488010735182102e-09,0.0
377,4.504390251202739e-09,0.0
378,4.5203316167898084e-09,0.0
379,4.536251391378351e-09,0.0
380,4.5524725693811446e-09,0.0
381,4.568844499632735e-09,0.0
382,4.584935561439144e-09,0.0
383,4.601712936542643e-09,0.0
384,4.618596563233921e-09,0.0
385,4.635529875438191e-09,0.0
386,4.652316519206395e-09,0.0
387,4.6690841526188115e-09,0.0
388,4.685821416681175e-09,0.0
389,4.7029625114103e-09,0.0
390,4.719919028307405e-09,0.0
391,4.736814906648104e-09,0.0
392,4.753885790273649e-09,0.0
393,4.770865136659658e-09,0.0
394,4.786956449407641e-09,0.0
395,4.803895438143371e-09,0.0
396,4.820217025509548e-09,0.0
397,4.8362646296543805e-09,0.0
398,4.8521195883388795e-09,0.0
399,4.867456915766432e-09,0.0
400,4.88292424614168e-09,0.0
401,4.898352523491937e-09,0.0
402,4.913885488309024e-09,0.0
403,4.9292273866542725e-09,0.0
404,4.9452169543785915e-09,0.0
405,4.961903190203849e-09,0.0
406,4.978288892217048e-09,0.0
407,4.994329621930739e-09,0.0
408,5.009601459212561e-09,0.0
409,5.024499141212888e-09,0.0
410,5.039414644751514e-09,0.0
411,5.054946531290968e-09,0.0
412,5.070816129594987e-09,0.0
413,5.087204198932872e-09,0.0
414,5.103933435518831e-09,0.0
415,5.121493837695133e-09,0.0
416,5.138660687054597e-09,0.0
417,5.15541040223672e-09,0.0
418,5.172121790109898e-09,0.0
419,5.188559944597175e-09,0.0
420,5.205182734261296e-09,0.0
421,5.221529373628121e-09,0.0
422,5.237494803131987e-09,0.0
423,5.252554948621647e-09,0.0
424,5.267728714027121e-09,0.0
425,5.283171864982222e-09,0.0
426,5.298814129517126e-09,0.0
427,5.3141137368079155e-09,0.0
428,5.329498819722282e-09,0.0
429,5.3447834758784725e-09,0.0
430,5.360137644762151e-09,0.0
431,5.375783333739158e-09,0.0
432,5.391090461899502e-09,0.0
433,5.4052823297582205e-09,0.0
434,5.4195137390046045e-09,0.0
435,5.433786272894259e-09,0.0
436,5.4482702202317355e-09,0.0
437,5.464002422112748e-09,0.0
438,5.479991604435451e-09,0.0
439,5.4957841654825206e-09,0.0
440,5.51144865755401e-09,0.0
441,5.526922772561544e-09,0.0
442,5.5427211082978855e-09,0.0
443,5.558543178874057e-09,0.0
444,5.5743372519020075e-09,0.0
445,5.589788110550595e-09,0.0
446,5.604448332914837e-09,0.0
447,5.6188520668389055e-09,0.0
448,5.633371294925197e-09,0.0
449,5.648142859594663e-09,0.0
450,5.663180809284667e-09,0.0
451,5.678607395122113e-09,0.0
452,5.694491376186832e-09,0.0
453,5.710024446816643e-09,0.0
454,5.725764754702303e-09,0.0
455,5.740579924137319e-09,0.0
456,5.755517101797232e-09,0.0
457,5.770581422001069e-09,0.0
458,5.786482351436653e-09,0.0
459,5.80304949292902e-09,0.0
460,5.8195613352757534e-09,0.0
461,5.8362855593980185e-09,0.0
462,5.852850519343299e-09,0.0
463,5.8697205822077024e-09,0.0
464,5.886127853528947e-09,0.0
465,5.902811723064101e-09,0.0
466,5.920067456221205e-09,0.0
467,5.936958021432767e-09,0.0
468,5.953906308855952e-09,0.0
469,5.971029776275552e-09,0.0
470,5.988062794106245e-09,0.0
471,6.004534768300094e-09,0.0
472,6.021363339081509e-09,0.0
473,6.037841926047542e-09,0.0
474,6.055037286307126e-09,0.0
475,6.0718730980603e-09,0.0
476,6.089142842591046e-09,0.0
477,6.10622431229091e-09,0.0
478,6.123472049009783e-09,0.0
479,6.1413966475043e-09,0.0
480,6.159213365367834e-09,0.0
481,6.176267104842734e-09,0.0
482,6.193104419360757e-09,0.0
483,6.210466013595142e-09,0.0
484,6.228474698411723e-09,0.0
485,6.246325774631505e-09,0.0
486,6.2641749073753725e-09,0.0
487,6.282297433129576e-09,0.0
488,6.300140949822319e-09,0.0
489,6.318376097749085e-09,0.0
490,6.336672783003146e-09,0.0
491,6.355597032601517e-09,0.0
492,6.375161097979191e-09,0.0
493,6.394594341457453e-09,0.0
494,6.414999169932895e-09,0.0
495,6.4349116232584016e-09,0.0
496,6.454382618951527e-09,0.0
497,6.474237127480599e-09,0.0
498,6.49346649845072e-09,0.0
499,6.5127180701069215e-09,0.0
500,6.5317096976169145e-09,0.0
501,6.5505929128507375e-09,0.0
502,6.569437176054e-09,0.0
503,6.5887241831449634e-09,0.0
504,6.60797462874245e-09,0.0
505,6.62731830211522e-09,0.0
506,6.646469994286063e-09,0.0
507,6.666045037586601e-09,0.0
508,6.685744384504924e-09,0.0
509,6.705356128812589e-09,0.0
510,6.724948838941612e-09,0.0
511,6.74435553327814e-09,0.0
512,6.7628138491590015e-09,0.0
513,6.781410035125861e-09,0.0
514,6.799628667300225e-09,0.0
515,6.8192860090953495e-09,0.0
516,6.839188565947891e-09,0.0
517,6.8593665869544814e-09,0.0
518,6.88008680442018e-09,0.0
519,6.901439449372873e-09,0.0
520,6.921871969730254e-09,0.0
521,6.942257125211716e-09,0.0
522,6.962180316154253e-09,0.0
523,6.982787734882832e-09,0.0
524,7.002551380036175e-09,0.0
525,7.022880124283684e-09,0.0
526,7.043653496577585e-09,0.0
527,7.064603045937145e-09,0.0
528,7.08631993393457e-09,0.0
529,7.108058792483105e-09,0.0
530,7.130203712685395e-09,0.0
531,7.152881262936175e-09,0.0
532,7.175736484223502e-09,0.0
533,7.198616408684746e-09,0.0
534,7.221180583609016e-09,0.0
535,7.244479488794169e-09,0.0
536,7.267265112929986e-09,0.0
537,7.2894911060455746e-09,0.0
538,7.31113878035826e-09,0.0
539,7.3329727565782545e-09,0.0
540,7.354503885681467e-09,0.0
541,7.3756720194172996e-09,0.0
542,7.395939076799116e-09,0.0
543,7.416520080774603e-09,0.0
544,7.4368096455384835e-09,0.0
545,7.457778800659548e-09,0.0
546,7.478467098299754e-09,0.0
547,7.499044670828567e-09,0.0
548,7.519951050471666e-09,0.0
549,7.540451391731254e-09,0.0
550,7.561098020038626e-09,0.0
551,7.582150539848112e-09,0.0
552,7.6038490878397e-09,0.0
553,7.625798697216165e-09,0.0
554,7.647616138598226e-09,0.0
555,7.669362731600196e-09,0.0
556,7.690955866284016e-09,0.0
557,7.711701863810885e-09,0.0
558,7.733238096798133e-09,0.0
559,7.755425204785489e-09,0.0
560,7.777469384154022e-09,0.0
561,7.799286360992155e-09,0.0
562,7.82163406464388e-09,0.0
563,7.843411152348234e-09,0.0
564,7.864664895971515e-09,0.0
565,7.88573034012202e-09,0.0
566,7.907256259983909e-09,0.0
567,7.928780160188001e-09,0.0
568,7.950559192746498e-09,0.0
569,7.972828542331513e-09,0.0
570,7.995740070270034e-09,0.0
571,8.018397543750605e-09,0.0
572,8.042102753012518e-09,0.0
573,8.064934904368987e-09,0.0
574,8.08659550410295e-09,0.0
575,8.107652513649358e-09,0.0
576,8.12875445324589e-09,0.0
577,8.149904805404487e-09,0.0
578,8.171785003629018e-09,0.0
579,8.193669922350178e-09,0.0
580,8.215526886925721e-09,0.0
581,8.237692777324334e-09,0.0
582,8.26057547990746e-09,0.0
583,8.283887541954413e-09,0.0
584,8.30806792079356e-09,0.0
585,8.33130872504281e-09,0.0
586,8.355297348658436e-09,0.0
587,8.379413605952558e-09,0.0
588,8.402818509183947e-09,0.0
589,8.425785192157004e-09,0.0
590,8.449113588559042e-09,0.0
591,8.472741563616343e-09,0.0
592,8.495640277326652e-09,0.0
593,8.519266061508835e-09,0.0
594,8.542880277632876e-09,0.0
595,8.567173487903382e-09,0.0
596,8.590629526861776e-09,0.0
597,8.613790005665e-09,0.0
598,8.637218658492294e-09,0.0
599,8.660357440941037e-09,0.0
600,8.683073201433167e-09,0.0
601,8.705898495171149e-09,0.0
602,8.728388400571584e-09,0.0
603,8.75098377535814e-09,0.0
604,8.77375386355604e-09,0.0
605,8.796333502994392e-09,0.0
606,8.818747106753648e-09,0.0
607,8.842021874898398e-09,0.0
608,8.864928243507355e-09,0.0
609,8.887582587173383e-09,0.0
610,8.910030210653236e-09,0.0
611,8.93318149196926e-09,0.0
612,8.95607749234818e-09,0.0
613,8.979071558635388e-09,0.0
614,9.001883165282518e-09,0.0
615,9.025115638786251e-09,0.0
616,9.048994927116184e-09,0.0
617,9.072883382884194e-09,0.0
618,9.097932760695788e-09,0.0
619,9.123176780308774e-09,0.0
620,9.148034012085108e-09,0.0
621,9.172366015813942e-09,0.0
622,9.196077463619369e-09,0.0
623,9.22087327165377e-09,0.0
624,9.245202282416613e-09,0.0
625,9.269191573629987e-09,0.0
626,9.29300901201086e-09,0.0
627,9.317042865290987e-09,0.0
628,9.342323938799377e-09,0.0
629,9.367330516446564e-09,0.0
630,9.391984588582569e-09,0.0
631,9.416927318828572e-09,0.0
632,9.440929320696194e-09,0.0
633,9.46510386877605e-09,0.0
634,9.488623087036437e-09,0.0
635,9.511953515969093e-09,0.0
636,9.534420437401143e-09,0.0
637,9.557425032870815e-09,0.0
638,9.579628270690017e-09,0.0
639,9.60207977035696e-09,0.0
640,9.624534153704298e-09,0.0
641,9.647376436286585e-09,0.0
642,9.670004180451707e-09,0.0
643,9.69299782178786e-09,0.0
644,9.71657678968726e-09,0.0
645,9.73960077927491e-09,0.0
646,9.762731733484036e-09,0.0
647,9.785874925298827e-09,0.0
648,9.808736432195655e-09,0.0
649,9.832357551259486e-09,0.0
650,9.856013172497287e-09,0.0
651,9.879104953763948e-09,0.0
652,9.90217304738515e-09,0.0
653,9.925589315159569e-09,0.0
654,9.948839506529099e-09,0.0
655,9.972449581639966e-09,0.0
656,9.996064228920985e-09,0.0
657,1.0020409365320074e-08,0.0
658,1.0045454203234495e-08,0.0
659,1.007146556561633e-08,0.0
660,1.0095910764368554e-08,0.0
661,1.0120201905693584e-08,0.0
662,1.0143958678522358e-08,0.0
663,1.0167766307587238e-08,0.0
664,1.0191956419790669e-08,0.0
665,1.021614332032746e-08,0.0
666,1.0240258643481979e-08,0.0
667,1.026379809871168e-08,0.0
668,1.0287293268541523e-08,0.0
669,1.0310885309756797e-08,0.0
670,1.0334992999832556e-08,0.0
671,1.0358944244569607e-08,0.0
672,1.0383743558191537e-08,0.0
673,1.0408199873931092e-08,0.0
674,1.0433211550821133e-08,0.0
675,1.0458581893498017e-08,0.0
676,1.0483884042725388e-08,0.0
677,1.0508182155345228e-08,0.0
678,1.0532335075852901e-08,0.0
679,1.0556219779650713e-08,0.0
680,1.0579875144790463e-08,0.0
681,1.0603699578169149e-08,0.0
682,1.0627161236907715e-08,0.0
683,1.0650691726012388e-08,0.0
684,1.0674183554954129e-08,0.0
685,1.0697775336147479e-08,0.0
686,1.0720844097962337e-08,0.0
687,1.0743665889195323e-08,0.0
688,1.0766352398478512e-08,0.0
689,1.0789579390471688e-08,0.0
690,1.081308389254168e-08,0.0
691,1.0836847116976349e-08,0.0
692,1.0860432419015797e-08,0.0
693,1.0883666748750157e-08,0.0
694,1.0907210289695914e-08,0.0
695,1.0930902579154032e-08,0.0
696,1.0954620681824313e-08,0.0
697,1.0977890085315563e-08,0.0
698,1.1001850545612175e-08,0.0
699,1.1025996935265758e-08,0.0
700,1.1051038535508566e-08,0.0
701,1.1076027316447143e-08,0.1
702,1.1100930291205658e-08,0.0
703,1.112612185762047e-08,0.0
704,1.1151250822491036e-08,0.0
705,1.117613573012206e-08,0.0
706,1.120135210358679e-08,0.0
707,1.1226836328286203e-08,0.0
708,1.125168649751055e-08,0.0
709,1.1277343076106353e-08,0.0
710,1.1303173714152615e-08,0.0
711,1.132960179280894e-08,0.0
712,1.1356259262948009e-08,0.0
713,1.1382849401579061e-08,0.0
714,1.1408495539132179e-08,0.0
715,1.1434457401005337e-08,0.0
716,1.1460434499624145e-08,0.0
717,1.1486670290089825e-08,0.0
718,1.1512978606365607e-08,0.0
719,1.1540059152258613e-08,0.0
720,1.1567340279362338e-08,0.0
721,1.159393789379429e-08,0.0
722,1.162120743267868e-08,0.0
723,1.164769981401433e-08,0.0
724,1.1674113188144597e-08,0.0
725,1.1700430611648823e-08,0.0
726,1.1726975353583921e-08,0.0
727,1.1754530130370071e-08,0.0
728,1.1782001710032928e-08,0.0
729,1.1809361457572442e-08,0.0
730,1.183680008755509e-08,0.0
731,1.1864181785702904e-08,0.0
732,1.1892139637886748e-08,0.0
733,1.1920162171779136e-08,0.0
734,1.1948121774494335e-08,0.0
735,1.1975481052325408e-08,0.0
736,1.2003030943947818e-08,0.0
737,1.2031446982877809e-08,0.0
738,1.205942784994943e-08,0.0
739,1.2087911657682794e-08,0.0
740,1.2116505178298652e-08,0.0
741,1.2145377565335476e-08,0.0
742,1.2174267702158241e-08,0.0
743,1.220254314582191e-08,0.0
744,1.2230353987200849e-08,0.0
745,1.2258812325748206e-08,0.0
746,1.2286727025366607e-08,0.0
747,1.231527538802502e-08,0.0
748,1.2344468240080123e-08,0.0
749,1.2373885347397451e-08,0.0
750,1.2403849238302813e-08,0.0
751,1.2434620720041857e-08,0.0
752,1.246572073565739e-08,0.0
753,1.2497921811173053e-08,0.0
754,1.252974019276629e-08,0.0
755,1.2561840552987189e-08,0.0
756,1.2593900371779777e-08,0.0
757,1.2624953858746965e-08,0.0
758,1.2655918061728158e-08,0.0
759,1.2685870381820355e-08,0.0
760,1.2716215003205065e-08,0.0
761,1.2746861197420725e-08,0.0
762,1.2777193561382811e-08,0.0
763,1.2807714734670173e-08,0.0
764,1.2838104571281638e-08,0.0
765,1.2868022696159571e-08,0.0
766,1.289896133882093e-08,0.0
767,1.2930693487455813e-08,0.0
768,1.2961192352865817e-08,0.0
769,1.2990911041994999e-08,0.0
770,1.3020412301490393e-08,0.0
771,1.3050616742486702e-08,0.0
772,1.308022769790425e-08,0.0
773,1.3110825821936899e-08,0.0
774,1.3141757482964075e-08,0.0
775,1.3173312072178902e-08,0.0
776,1.3205363000483766e-08,0.0
777,1.3237368791624023e-08,0.0
778,1.3268398171619443e-08,0.0
779,1.3299669538565235e-08,0.0
780,1.3329652249116292e-08,0.0
781,1.3359150006118838e-08,0.0
782,1.3387229660444863e-08,0.0
783,1.34159271126066e-08,0.0
784,1.3444945828954481e-08,0.0
785,1.347475421827005e-08,0.0
786,1.3504795805720101e-08,0.0
787,1.353509469877492e-08,0.0
788,1.3565364920181637e-08,0.0
789,1.35961322249797e-08,0.0
790,1.362785750931774e-08,0.0
791,1.365947510954349e-08,0.0
792,1.3691745626067382e-08,0.0
793,1.3723912812355092e-08,0.0
794,1.3755437390499257e-08,0.0
795,1.3786765910396217e-08,0.0
796,1.3817431361463658e-08,0.0
797,1.3848847196484153e-08,0.0
798,1.3879895427550384e-08,0.0
799,1.3911737907910274e-08,0.0
800,1.394273438164396e-08,0.0
801,1.3972641830590837e-08,0.0
802,1.400257019126732e-08,0.0
