step,time,radius,rate,smooth_rate,perturb_rate,gate_rate,gate_forcing,eta,eta_smooth,eta_gate,attempts
56,0.0112,3.2986008034569463e-10,4.573862001752465,4.564794833515607,0.009067168136858442,0.0,1.2705864299802538e-08,1.7191506310714278e-08,2.029442795595381e-09,1.5162063515118895e-08,1
57,0.0114,3.362845147117348e-10,4.574807394189768,4.564794372362797,0.010013021726971402,0.0,1.2849851376914739e-08,1.774358337006106e-08,2.016350905246924e-09,1.5727232464814138e-08,1
58,0.011600000000000001,3.429552544985985e-10,4.577296013267845,4.564793910375937,0.012502102791907757,0.0,1.3310142472488021e-08,1.8484020333967576e-08,2.066022829480716e-09,1.6417997504486862e-08,1
59,0.0118,3.494881280019484e-10,4.5772955445505445,4.564793447553466,0.012502096897078032,0.0,1.3049014153600115e-08,1.8025598926153997e-08,2.1153949778647113e-09,1.5910203948289284e-08,1
60,0.012,3.5585398386959967e-10,4.578498322660594,4.564792983894087,0.013705338666506745,0.0,1.2200957515944432e-08,1.800862249546662e-08,2.0764127682619298e-09,1.593220972720469e-08,1
61,0.0122,3.621125135472842e-10,4.577265734315754,4.564792519396076,0.012473214819677916,0.0,1.2130049750903511e-08,1.751444138589824e-08,2.0444574548282237e-09,1.5469983931070018e-08,1
62,0.012400000000000001,3.684101862065573e-10,4.5784043446434595,4.564792054058087,0.013612290485372748,0.0,1.2247510571754471e-08,1.7563543060589677e-08,2.079432299021128e-09,1.5484110761568547e-08,1
63,0.0126,3.745045077327999e-10,4.577200648035837,4.564791587878539,0.012409060057297847,0.0,1.2147202459783658e-08,1.6619174776552868e-08,2.047107159167196e-09,1.4572067617385674e-08,1
64,0.0128,3.805813217429015e-10,4.577200178551797,4.5647911208558964,0.012409057595900346,0.0,1.205685697177424e-08,1.6594127990230955e-08,2.12656019210292e-09,1.4467567798128034e-08,1
65,0.013000000000000001,3.8662720346766993e-10,4.5783283201573965,4.564790652988716,0.01353766706868078,0.0,1.198549071233132e-08,1.648265605131227e-08,2.037443782312413e-09,1.4445212268999856e-08,1
66,0.0132,3.924679314434652e-10,4.578327837892765,4.564790184275644,0.013537653517120399,0.0,1.1284967681305148e-08,1.6130200052725353e-08,2.0937910506654734e-09,1.4036409002059879e-08,1
67,0.0134,3.984174632419365e-10,4.5783273672797975,4.5647897147150225,0.013537652464774862,0.0,1.1397685940676434e-08,1.653451129354502e-08,2.1876951745409544e-09,1.4346816119004066e-08,1
68,0.013600000000000001,4.0443755138928814e-10,4.57832689385675,4.564789244305419,0.013537649451331416,0.0,1.1572786545018458e-08,1.668479222898063e-08,2.0560245967702492e-09,1.462876763221038e-08,1
69,0.013800000000000002,4.1050078860187775e-10,4.578118830600943,4.564788773045192,0.01333005745575011,0.0,1.16579349372028e-08,1.678781325036466e-08,2.004284207659727e-09,1.4783529042704932e-08,1
70,0.014,4.168101808926884e-10,4.5781183728859425,4.56478830093294,0.013330071853002183,0.0,1.2308038345536816e-08,1.7340163824370065e-08,2.0642887656328754e-09,1.527587505873719e-08,1
71,0.0142,4.2309194812576175e-10,4.5781179097939795,4.564787827966982,0.013330081726997118,0.0,1.221627902682391e-08,1.7264976129814203e-08,2.030713943691405e-09,1.5234262186122798e-08,1
72,0.014400000000000001,4.291092369266653e-10,4.578117407679409,4.564787354145837,0.013330053433571878,0.0,1.1666544340400616e-08,1.646416551257036e-08,2.0560087777323375e-09,1.4408156734838023e-08,1
73,0.0146,4.349618294775172e-10,4.576865210673482,4.56478687946794,0.012078331105542257,0.0,1.1181323408947457e-08,1.6099275272839654e-08,2.0301429332844073e-09,1.4069132339555247e-08,1
74,0.0148,4.4088544800436857e-10,4.576864750530597,4.564786403931747,0.012078346498849748,0.0,1.1374320006078869e-08,1.6234459716582047e-08,2.0298429560640993e-09,1.4204616760517947e-08,1
75,0.015000000000000001,4.4708478759959554e-10,4.576864287826609,4.564785927535836,0.012078360190773354,0.0,1.1984173050134297e-08,1.697546974621779e-08,2.106472165152323e-09,1.4868997581065467e-08,1
76,0.0152,4.530690653333089e-10,4.576863773439778,4.56478545027866,0.012078323061118095,0.0,1.1666136025934736e-08,1.619031623772399e-08,2.062724875706631e-09,1.4127591362017361e-08,1
77,0.0154,4.5937373763614435e-10,4.5767938491257825,4.564784972158884,0.012008876866898856,0.0,1.2268495252266587e-08,1.716183944457798e-08,2.103534980601805e-09,1.5058304463976176e-08,1
78,0.015600000000000001,4.6540469673230733e-10,4.5745174867122556,4.564784493174912,0.009732993437343816,0.0,1.1652670062475462e-08,1.638192224666515e-08,2.0735063176123088e-09,1.430841592905284e-08,1
79,0.0158,4.710444514522526e-10,4.573357932202516,4.564784013325052,0.008573918777464272,0.0,1.0792625896000712e-08,1.525979338370527e-08,2.0203998606101185e-09,1.323939352309515e-08,1
80,0.016,4.768558854130361e-10,4.573357458620533,4.564783532607808,0.00857392591272545,0.0,1.1130199542283263e-08,1.5754431033592296e-08,2.007450379685522e-09,1.3746980653906774e-08,1
81,0.0162,4.81803255585033e-10,4.571270527420751,4.564783051021634,0.006487476299116097,0.0,8.577328653282426e-09,1.3963381074083453e-08,2.0739988612103513e-09,1.1889382212873102e-08,1
82,0.0164,4.870084445807342e-10,4.571270062565015,4.564782568564766,0.006487493900248798,0.0,9.264644805573991e-09,1.4541954308007544e-08,2.094887146884119e-09,1.2447067161123425e-08,1
83,0.0166,4.92195214174993e-10,4.571269555654038,4.56478208523574,0.0064874703182981166,0.0,9.427874721263867e-09,1.4262875402251844e-08,2.0537506392768248e-09,1.2209124762975019e-08,1
84,0.016800000000000002,4.9749185225834e-10,4.571269086689262,4.564781601033007,0.006487485556254655,0.0,9.765929894191118e-09,1.4450201703888702e-08,2.0465608117118735e-09,1.2403640892176828e-08,1
85,0.017,5.028314519737559e-10,4.570102814191792,4.564781115955162,0.0053216981366297905,0.0,9.866017949002396e-09,1.4541194595080252e-08,2.0521351941939883e-09,1.2489059400886264e-08,1
86,0.0172,5.081791932463858e-10,4.570102312858727,4.564780630000598,0.005321682758128455,0.0,9.812179646556238e-09,1.461131981626754e-08,2.0787363267155733e-09,1.2532583489551966e-08,1
87,0.017400000000000002,5.135056097928169e-10,4.569153062702425,4.564780143167672,0.004372919434752224,0.0,1.0041256251880733e-08,1.4251713491815932e-08,2.0697579141244393e-09,1.2181955577691492e-08,1
88,0.0176,5.189317340102272e-10,4.569152560654803,4.564779655454757,0.0043729051000465395,0.0,1.028662052313496e-08,1.4480322867008154e-08,2.0114390961777725e-09,1.2468883770830382e-08,1
89,0.0178,5.241604163532461e-10,4.568773058236006,4.564779166860394,0.003993891275612456,0.0,9.73581140472383e-09,1.4019778753901886e-08,2.098696919278841e-09,1.1921081834623045e-08,1
90,0.018000000000000002,5.289265727954944e-10,4.56872597778837,4.56477867738312,0.003947300305250435,0.0,8.585668932418861e-09,1.2834484276183076e-08,2.0944469388933944e-09,1.0740037337289682e-08,1
91,0.0182,5.33591165807367e-10,4.569303126934086,4.5647781870213135,0.004524939812772729,0.0,8.151643863073195e-09,1.2738842288379825e-08,2.142590656655461e-09,1.0596251631724364e-08,1
92,0.0184,5.381913173385393e-10,4.569302628263475,4.564777695773463,0.00452493239001244,0.0,8.031532126973738e-09,1.2515580152657776e-08,2.0356097090072297e-09,1.0479970443650547e-08,1
93,0.018600000000000002,5.432195615702436e-10,4.569302165716663,4.564777204495623,0.00452496112103994,0.0,9.052574496183321e-09,1.3613004158117793e-08,2.114464710370059e-09,1.1498539447747733e-08,1
94,0.0188,5.481234202969622e-10,4.569301652291416,4.564776694013184,0.004524958178231414,0.0,8.705133405566752e-09,1.3315826570879409e-08,2.041476668161723e-09,1.1274349902717685e-08,1
95,0.019,5.531184930453982e-10,4.570578694668077,4.564776200090742,0.005802494477334464,0.0,8.754019284441978e-09,1.3699692065648992e-08,2.110941014959611e-09,1.1588751050689382e-08,1
96,0.019200000000000002,5.583272494030773e-10,4.570578225366423,4.564775705275875,0.005802519990547268,0.0,9.336985079696266e-09,1.4161825949825797e-08,2.0799362004054357e-09,1.2081889749420362e-08,1
97,0.0194,5.632397780418455e-10,4.571821181757356,4.564775158103158,0.007046023554197839,0.0,8.697022653778778e-09,1.3296822587717117e-08,2.07920492975039e-09,1.1217617657966727e-08,1
98,0.0196,5.683719785202829e-10,4.57174363573828,4.564774661492195,0.006968974146085106,0.0,9.00256002515402e-09,1.4066727014409842e-08,2.1404272436567723e-09,1.1926299770753069e-08,1
99,0.0198,5.737463357494392e-10,4.571743147316692,4.564774163983973,0.006968983232718935,0.0,9.507436550832069e-09,1.4748617961404081e-08,2.0905263518266723e-09,1.2658091609577409e-08,1
100,0.02,5.793837200781858e-10,4.571742671615277,4.564773665576754,0.006969005938522555,0.0,1.0165182963973648e-08,1.5380835985079076e-08,2.0349916863418815e-09,1.3345844298737194e-08,1
101,0.020200000000000003,5.85400485043767e-10,4.571742193429651,4.564773166268829,0.006969027060822406,0.0,1.0845502237482581e-08,1.6570780420544486e-08,2.1609894514027815e-09,1.4409790969141704e-08,1
102,0.0204,5.915756249338994e-10,4.573011864330948,4.564772666058676,0.008239198172272222,0.0,1.137573143889761e-08,1.680380958977081e-08,2.0411183273655707e-09,1.476269126240524e-08,1
103,0.0206,5.978884020773046e-10,4.574287297002863,4.5647721649447135,0.009515131958149885,0.0,1.1566358371886076e-08,1.7272056735933686e-08,2.0980163414678233e-09,1.5174040394465864e-08,1
104,0.020800000000000003,6.04126415825124e-10,4.574264157952652,4.564771662925282,0.009492494927369945,0.0,1.1348373091309268e-08,1.7087533457514848e-08,2.0974590931569917e-09,1.4990074364357857e-08,1
105,0.021,6.106040080125861e-10,4.575371749284822,4.56477116132826,0.010600587856562241,0.0,1.1934029722368847e-08,1.767001412714903e-08,2.1459572450724973e-09,1.5524056882076532e-08,1
106,0.0212,6.176910552992964e-10,4.575371281885035,4.564770657493255,0.010600624291780554,0.0,1.329123511040245e-08,1.9329053100892878e-08,2.0987701824195506e-09,1.7230282918473327e-08,1
107,0.021400000000000002,6.244096464143243e-10,4.5765159058696465,4.564770152747894,0.01174575302175251,0.0,1.2469065040858614e-08,1.827664835531805e-08,2.074913623013242e-09,1.6201734732304806e-08,1
108,0.0216,6.310086686344136e-10,4.575270007545558,4.564769647090537,0.010500360355020633,0.0,1.2224358548458918e-08,1.789381825653569e-08,2.174026257482581e-09,1.5719791999053108e-08,1
109,0.0218,6.377094830734453e-10,4.575269503983019,4.564769140519753,0.010500363363266008,0.0,1.2734807760845576e-08,1.78619053218943e-08,2.092775319105724e-09,1.5769130002788574e-08,1
110,0.022000000000000002,6.445952924724823e-10,4.575268991803606,4.5647686330338955,0.01050035866970993,0.0,1.3261779926548493e-08,1.8228827116255327e-08,2.1152933435256837e-09,1.6113533772729643e-08,1
111,0.0222,6.514488668985969e-10,4.574062511089354,4.5647681246311,0.009294386358253375,0.0,1.3085885577071186e-08,1.821289772572753e-08,2.0602768904584084e-09,1.615262083526912e-08,1
112,0.0224,6.58118337543115e-10,4.574061996522322,4.564767615309803,0.009294381112518756,0.0,1.272290553347109e-08,1.7624431507297748e-08,2.0521598256698794e-09,1.557227168162787e-08,1
113,0.022600000000000002,6.646600014993406e-10,4.576217321501304,4.564767105068396,0.011450216332907702,0.0,1.2273654495003505e-08,1.7403009279978138e-08,2.081282245868295e-09,1.5321727034109844e-08,1
114,0.0228,6.715668356308618e-10,4.57838518764788,4.5647665939052775,0.01361859364260307,0.0,1.29639993684597e-08,1.8506295408377565e-08,2.068042481004528e-09,1.643825292737304e-08,1
115,0.023,6.783472446185586e-10,4.577107132636659,4.564766082907257,0.012341049629402379,0.0,1.2464866594680583e-08,1.8342832313521573e-08,2.1852994691631466e-09,1.6157532844358425e-08,1
116,0.023200000000000002,6.849992021357435e-10,4.577106610527457,4.564765569895677,0.012341040531779974,0.0,1.2177994591421899e-08,1.7956706584975643e-08,2.044070813855129e-09,1.5912635771120512e-08,1
117,0.0234,6.917570305481337e-10,4.575862584264959,4.5647650571392155,0.011097527025743768,0.0,1.2488274557621144e-08,1.8145948480374575e-08,2.0796022289329498e-09,1.6066346251441625e-08,1
118,0.0236,6.983423973377254e-10,4.575862058159147,4.564764543843374,0.011097514215772625,0.0,1.1932050126664753e-08,1.7809336788948816e-08,2.1596174799797837e-09,1.5649719308969033e-08,1
119,0.0238,7.050665470828214e-10,4.5748426759466225,4.564764029664533,0.010078646182088964,0.0,1.2320626718140843e-08,1.8084939071033103e-08,2.0514459276402918e-09,1.6033493143392812e-08,1
120,0.024,7.125344873687212e-10,4.57600183717455,4.564763512936442,0.011238324138108347,0.0,1.392025136480415e-08,2.0170982486055507e-08,2.043796853192979e-09,1.812718563286253e-08,1
121,0.024200000000000003,7.200486214485723e-10,4.576001308288092,4.564762995275078,0.01123831291301364,0.0,1.4110721439549585e-08,2.0177202776076042e-08,2.1033940409161864e-09,1.8073808735159855e-08,1
122,0.0244,7.269407179024221e-10,4.574730606084257,4.564762476678688,0.009968129305569754,0.0,1.2526520710249709e-08,1.8619173037660996e-08,2.1191848476965717e-09,1.6499988189964425e-08,1
123,0.0246,7.341678153095989e-10,4.575819887359727,4.564761957145582,0.011057930114145072,0.0,1.311495867115175e-08,1.9672648428722815e-08,2.0757092246355395e-09,1.7596939204087277e-08,1
124,0.024800000000000003,7.413930214717048e-10,4.573588706908232,4.564761436674058,0.008827270134174394,0.0,1.3101551186694488e-08,1.9645180235759196e-08,2.1129278945998955e-09,1.75322523411593e-08,1
125,0.025,7.486358885076111e-10,4.5735881898547746,4.564760915262436,0.008827274492338775,0.0,1.301861758176997e-08,1.9783333092922548e-08,2.1357708545454685e-09,1.764756223837708e-08,1
126,0.0252,7.55782390936372e-10,4.572479580450033,4.564760392909314,0.007719187440719531,0.0,1.2967071203078717e-08,1.9320984781499616e-08,2.0976448520144413e-09,1.7223339929485173e-08,1
127,0.025400000000000002,7.629878607148008e-10,4.574731057700706,4.564759869612657,0.00997118798804953,0.0,1.3022399313948605e-08,1.952597165481588e-08,2.1473571339118957e-09,1.7378614520903983e-08,1
128,0.0256,7.699023967766884e-10,4.574730515651362,4.564759345370723,0.00997117018063947,0.0,1.237299307582946e-08,1.8688412009539722e-08,2.0650100534917028e-09,1.6623401956048018e-08,1
129,0.0258,7.770766683418282e-10,4.574730004341775,4.564758820181935,0.009971184059839298,0.0,1.3036140707700885e-08,1.9291716130891578e-08,2.0309370396993638e-09,1.7260779091192216e-08,1
130,0.026000000000000002,7.84568778578182e-10,4.575949767771921,4.564758294044771,0.011191473627150108,0.0,1.3805782970434093e-08,2.007676754961207e-08,2.0801989762342097e-09,1.7996568573377857e-08,1
131,0.0262,7.92372508792735e-10,4.577028901098452,4.564757766957488,0.01227113404096427,0.0,1.4351655708774293e-08,2.1053147449076636e-08,2.1012736188666126e-09,1.8951873830210025e-08,1
132,0.0264,8.001981170866759e-10,4.577028373242766,4.56475724090239,0.012271132240375755,0.0,1.4474506003938894e-08,2.1003920011745252e-08,2.1516172509765806e-09,1.8852302760768673e-08,1
133,0.026600000000000002,8.083322952483088e-10,4.578105193246594,4.564756711909723,0.013348481236870173,0.0,1.535696317974357e-08,2.1626922037392045e-08,2.0300812797795936e-09,1.9596840757612452e-08,1
134,0.0268,8.159550228654835e-10,4.573780457136398,4.564756181961855,0.009024275074542844,0.0,1.426018227435813e-08,2.0133893955520324e-08,2.0149685037366466e-09,1.8118925451783678e-08,1
135,0.027,8.238622571511226e-10,4.573779931916868,4.56475565105714,0.009024280759728547,0.0,1.4981263293607608e-08,2.079983149025409e-08,2.0668098755006686e-09,1.873302161475342e-08,1
136,0.027200000000000002,8.313734116168954e-10,4.575075155911223,4.564755119193643,0.010320036617579345,0.0,1.3787924358694564e-08,1.997643908082891e-08,2.0809271525693327e-09,1.789551192825958e-08,1
137,0.0274,8.390823341249411e-10,4.575074618208518,4.564754586369628,0.01032003173889026,0.0,1.453985864000128e-08,2.017852903092643e-08,2.050765399636383e-09,1.8127763631290048e-08,1
138,0.027600000000000003,8.471754094390787e-10,4.575074100271542,4.564754052583574,0.01032004758796809,0.0,1.531978972939686e-08,2.1283214883073625e-08,2.0276101280778483e-09,1.9255604754995777e-08,1
139,0.027800000000000002,8.550723443966498e-10,4.575073556870337,4.564753519677325,0.010320037093012548,0.0,1.4732066882244031e-08,2.0853658600503283e-08,2.174229364768159e-09,1.8679429235735125e-08,1
140,0.028,8.62392786200381e-10,4.576063108001623,4.564752986205075,0.01131012169654783,0.0,1.3304733866236168e-08,1.936286557896773e-08,2.053585805923918e-09,1.7309279773043815e-08,1
141,0.028200000000000003,8.697020845314615e-10,4.574902955915889,4.564752449522408,0.010150506293481352,0.0,1.3240092511997346e-08,1.9339321003837375e-08,2.0696471173203535e-09,1.726967388651702e-08,1
142,0.0284,8.773448491264614e-10,4.574902434324114,4.564751911870782,0.010150522353332088,0.0,1.3932203929992364e-08,2.0280339358905944e-08,2.057516460040802e-09,1.8222822898865143e-08,1
