step,smooth_rate_upper
1,4.564818747734959
2,4.564818330240332
3,4.564818119675292
4,4.564817700659503
5,4.564817280884936
6,4.564816860350347
7,4.564816439054317
8,4.564816016995469
9,4.564815594172439
10,4.564815170583989
11,4.564814746228655
12,4.564814321104988
13,4.564813895211834
14,4.564813468547838
15,4.5648130411114956
16,4.564812612901402
17,4.56481218391622
18,4.564811754154478
19,4.564811323615295
20,4.564810892296523
21,4.564810460196999
22,4.564810027315379
23,4.564809593653513
24,4.564809159203772
25,4.56480872396771
26,4.564808287943896
27,4.564807851131009
28,4.564807413527671
29,4.5648069751325
30,4.564806535944116
31,4.564806095960965
32,4.564805655181662
33,4.56480521360473
34,4.564804771228675
35,4.564804328052179
36,4.564803884073727
37,4.56480343929191
38,4.564802993705435
39,4.564802547312891
40,4.564802100112757
41,4.564801652103721
42,4.56480120328422
43,4.5648007536527455
44,4.564800303207873
45,4.564799851948206
46,4.564799399872155
47,4.564798946978393
48,4.5647984932653465
49,4.5647980387316975
50,4.564797583375871
51,4.564797127196382
52,4.564796670191705
53,4.5647962123603705
54,4.564795753700968
55,4.564795294212163
56,4.564794833892471
57,4.564794372740241
58,4.564793910753976
59,4.564793447932083
60,4.564792984273266
61,4.564792519775831
62,4.564792054438422
63,4.564791588259446
64,4.564791121237378
65,4.564790653370769
66,4.564790184658255
67,4.564789715098208
68,4.564789244689185
69,4.564788773429537
70,4.564788301317882
71,4.564787828352507
72,4.564787354531932
73,4.564786879854601
74,4.564786404318988
75,4.5647859279236735
76,4.564785450667075
77,4.564784972547899
78,4.564784493564498
79,4.564784013715196
80,4.564783532998538
81,4.564783051412875
82,4.564782568956584
83,4.564782085628128
84,4.56478160142597
85,4.5647811163486995
86,4.564780630394707
87,4.5647801435623565
88,4.564779655850022
89,4.56477916725622
90,4.564778677779485
91,4.564778187418228
92,4.564777696170933
93,4.564777204893683
94,4.564776694411804
95,4.564776200489932
96,4.564775705675653
97,4.564775158503493
98,4.564774661893111
99,4.56477416438548
100,4.564773665978866
101,4.564773166671552
102,4.564772666462015
103,4.564772165348665
104,4.5647716633298385
105,4.564771161733441
106,4.564770657899093
107,4.564770153154339
108,4.564769647497597
109,4.5647691409274485
110,4.564768633442228
111,4.56476812504006
112,4.564767615719381
113,4.5647671054785866
114,4.564766594316116
115,4.564766083318714
116,4.564765570307756
117,4.5647650575519325
118,4.564764544256708
119,4.564764030078508
120,4.5647635133510995
121,4.564762995690394
122,4.564762477094611
123,4.564761957562163
124,4.5647614370912875
125,4.564760915680315
126,4.56476039332784
127,4.564759870031836
128,4.5647593457905336
129,4.56475882060241
130,4.56475829446592
131,4.564757767379318
132,4.564757241324893
133,4.564756712332924
134,4.564756182385702
135,4.564755651481676
136,4.5647551196188205
137,4.564754586795492
138,4.564754053010136
139,4.564753520104556
140,4.564752986632941
141,4.564752449950936
142,4.5647519123
143,4.564751373678446
144,4.564750834084498
145,4.564750293516583
146,4.564749751972972
147,4.564749209451673
148,4.564748665951032
149,4.564748121469286
150,4.564747576004684
151,4.564747029555195
152,4.5647464821191255
153,4.564745933694899
154,4.564745387206036
155,4.564744836800412
156,4.564744285401469
157,4.564743733007118
158,4.564743179615667
159,4.564742625225421
160,4.5647420698345496
161,4.564741513441117
