cell_id,metric,n,mean,std,min,max
mu2_1p800__sigma_0p120,t_W,5,3.524,0.011401754250991353,3.5100000000000002,3.54
mu2_1p800__sigma_0p120,eta1_blk,5,0.09353793188105271,0.009325323156937824,0.08171595851443217,0.10242649319743792
mu2_1p800__sigma_0p120,eta2_blk,5,0.0663907379375879,0.008164413672359575,0.05234036894398997,0.07275135073593904
mu2_1p800__sigma_0p120,p1_peak_angle_error_deg,5,1.667361379818351,0.6771387201456237,0.6872059130192838,2.378915959458766
mu2_1p800__sigma_0p120,p2_peak_angle_error_deg,5,0.5068065071105821,0.4293487006289851,0.0002531761445538905,1.1720311443372111
mu2_1p800__sigma_0p120,Smax1_over_eta1_sq,5,0.7068144749848587,0.07910853981609704,0.6347849757115493,0.7932578541450974
mu2_1p800__sigma_0p120,Smax2_over_eta2_sq,5,0.9184507990137153,0.20407179292970223,0.7589504220936082,1.266791320809278
mu2_1p800__sigma_0p120,global_corr_Sactual_Sred,5,0.9339316268422676,0.0060370826744478015,0.9249552523481943,0.9412902529244017
mu2_1p800__sigma_0p120,global_MAE,5,0.00010443726567791007,1.6309100606546442e-05,8.400820437433268e-05,0.00012583328494686436
mu2_1p800__sigma_0p120,tG_minus_tfull_probe,5,-0.05926677134304281,0.024373448390874707,-0.09058137780890885,-0.026215561479026483
mu2_1p800__sigma_0p120,tred_minus_tfull_probe,5,-0.060000000000000143,0.030822070014844945,-0.10000000000000053,-0.03000000000000025
mu2_2p000__sigma_0p150,t_W,5,2.9080000000000004,0.008366600265340578,2.9000000000000004,2.92
mu2_2p000__sigma_0p150,eta1_blk,5,0.11489035588971952,0.00965492711681991,0.10084254190868779,0.1249107901535985
mu2_2p000__sigma_0p150,eta2_blk,5,0.08356334344647562,0.0032138103040619545,0.07944983066352031,0.08792462680178642
mu2_2p000__sigma_0p150,p1_peak_angle_error_deg,5,1.597547946421048,0.709521054120565,0.7876898391850773,2.675604056401937
mu2_2p000__sigma_0p150,p2_peak_angle_error_deg,5,0.7934365929917021,0.18478654227393587,0.5569426951708465,1.0442235871920502
mu2_2p000__sigma_0p150,Smax1_over_eta1_sq,5,0.7953446664812969,0.06932097063670888,0.7102224529329945,0.8941271922521918
mu2_2p000__sigma_0p150,Smax2_over_eta2_sq,5,0.9329437083425859,0.06253432404599568,0.8710240860455608,1.0248994072661106
mu2_2p000__sigma_0p150,global_corr_Sactual_Sred,5,0.9314563195066465,0.0074322602615977465,0.9255092052109838,0.9436851253181291
mu2_2p000__sigma_0p150,global_MAE,5,0.00021293113072019316,4.1976668792712236e-05,0.00015738847664117464,0.0002585876510805109
mu2_2p000__sigma_0p150,tG_minus_tfull_probe,5,-0.05674496451737863,0.019583678536633783,-0.08208634614036248,-0.033889907889271154
mu2_2p000__sigma_0p150,tred_minus_tfull_probe,5,-0.04599999999999982,0.02073644135332763,-0.06999999999999984,-0.020000000000000018
mu2_2p200__sigma_0p180,t_W,5,2.398,0.004472135954999484,2.39,2.4
mu2_2p200__sigma_0p180,eta1_blk,5,0.13825018079668747,0.01228312509616935,0.12400643506451109,0.1563186848055111
mu2_2p200__sigma_0p180,eta2_blk,5,0.10251692085598126,0.005991505976721625,0.09727493958842139,0.10982188952819277
mu2_2p200__sigma_0p180,p1_peak_angle_error_deg,5,1.9471025316847317,0.9641491426266618,1.1233822900605333,3.4932836533933482
mu2_2p200__sigma_0p180,p2_peak_angle_error_deg,5,0.9842108220755563,0.3060094697466745,0.6525736712369508,1.3050483866692844
mu2_2p200__sigma_0p180,Smax1_over_eta1_sq,5,0.8173677434535275,0.08116825925472587,0.6783768291106762,0.8871199941747547
mu2_2p200__sigma_0p180,Smax2_over_eta2_sq,5,0.9363140366593751,0.08293474221287318,0.846213082116545,1.0359734874028586
mu2_2p200__sigma_0p180,global_corr_Sactual_Sred,5,0.9293399066371695,0.007036505071334217,0.9190646097462224,0.9354499817715698
mu2_2p200__sigma_0p180,global_MAE,5,0.0003552779120772476,4.140175321031039e-05,0.0002896910015859118,0.0003987014296303841
mu2_2p200__sigma_0p180,tG_minus_tfull_probe,5,-0.030903269130151755,0.010198147310804486,-0.040699026487138745,-0.01910503862525914
mu2_2p200__sigma_0p180,tred_minus_tfull_probe,5,-0.028000000000000025,0.013038404810405224,-0.040000000000000036,-0.010000000000000231
