index,time,phi_deg,dV_dphi,lower_repeller_deg,root_count,branch_exists
106,1.06,nan,nan,nan,1,0
107,1.07,nan,nan,nan,1,0
108,1.08,86.4310181617737,-0.39743250877930036,83.33871698379521,3,1
109,1.09,86.99375894546498,-0.9467097912389028,nan,1,1
110,1.1,87.37359933853125,-0.9025220726919414,nan,1,1
111,1.11,87.65736856460535,-1.3249694580467717,nan,1,1
112,1.12,87.89064645767164,-1.0594951757025632,nan,1,1
113,1.1300000000000001,88.0331125831598,-1.94524870287452,nan,1,1
114,1.1400000000000001,88.1809168434136,-1.5548973097055672,nan,1,1
115,1.1500000000000001,88.2974192237846,-2.1062422449957547,nan,1,1
116,1.1600000000000001,88.39309335708526,-2.1303082299343794,nan,1,1
117,1.1700000000000002,88.4749479103078,-2.383675235464441,nan,1,1
118,1.1800000000000002,88.55191659927254,-2.2834945292632667,nan,1,1
119,1.19,88.61311563491697,-2.9329166779561855,nan,1,1
120,1.2,88.65816415786608,-2.5364331531988107,nan,1,1
121,1.21,88.72111856460424,-2.100955241075279,nan,1,1
122,1.22,88.78257761001427,-1.9739794025048891,nan,1,1
123,1.23,88.83697732925245,-2.112222007618031,nan,1,1
124,1.24,88.88582956313908,-2.371614903361787,nan,1,1
125,1.25,88.92460977554131,-2.5585536896448167,nan,1,1
126,1.26,88.95310800552167,-2.782743906420222,nan,1,1
127,1.27,88.98441629409578,-2.8306818219626027,nan,1,1
128,1.28,89.00560434341207,-2.911701282591452,nan,1,1
129,1.29,89.03395792007211,-2.88391435763178,nan,1,1
130,1.3,89.05195199966187,-2.778488634803617,nan,1,1
131,1.31,89.07042215347036,-2.820639906613673,nan,1,1
132,1.32,89.09380136489602,-2.7154063267802133,nan,1,1
133,1.33,89.10828470229828,-2.69227387766391,nan,1,1
134,1.34,89.12101633071617,-2.844316862595633,nan,1,1
135,1.35,89.13730569839186,-3.018729606946181,nan,1,1
136,1.36,89.15020151138003,-3.038475354616744,nan,1,1
137,1.37,89.16044900893851,-3.0422040838467175,nan,1,1
138,1.3800000000000001,89.16821176528606,-3.146670654924499,nan,1,1
139,1.3900000000000001,89.17535196303982,-3.1507862090767724,nan,1,1
140,1.4000000000000001,89.18307748794206,-3.348863876396763,nan,1,1
141,1.4100000000000001,89.18925516128178,-3.3622193629584807,nan,1,1
142,1.4200000000000002,89.19723276137933,-3.4742542648655905,nan,1,1
143,1.4300000000000002,89.20258768081283,-3.585707405083531,nan,1,1
144,1.4400000000000002,89.2084699439963,-3.6081733861807557,nan,1,1
145,1.4500000000000002,89.2115006446798,-3.5798338145234245,nan,1,1
146,1.46,89.21536142348828,-3.5867087068018946,nan,1,1
147,1.47,89.21605325698425,-3.5973177796559694,nan,1,1
148,1.48,89.22002206801929,-3.4640485054898487,nan,1,1
149,1.49,89.22298257827308,-3.4783892762152555,nan,1,1
150,1.5,89.22770944594873,-3.383896409968044,nan,1,1
151,1.51,89.23046121596815,-3.3435811774934696,nan,1,1
152,1.52,89.2310328102063,-3.3493654117210436,nan,1,1
153,1.53,89.23240884780384,-3.39000227882241,nan,1,1
154,1.54,89.23670053481544,-3.3352055253185746,nan,1,1
155,1.55,89.2386167335458,-3.339149082421591,nan,1,1
156,1.56,89.24030649184647,-3.3894949250258684,nan,1,1
157,1.57,89.24170938491275,-3.527337871513978,nan,1,1
158,1.58,89.24276071547902,-3.529939865629093,nan,1,1
159,1.59,89.24428201674843,-3.634641336820048,nan,1,1
160,1.6,89.24757211684596,-3.6766272717855846,nan,1,1
161,1.61,89.249138584131,-3.678147165328989,nan,1,1
162,1.62,89.250240573877,-3.730799152373091,nan,1,1
163,1.6300000000000001,89.25192178725578,-3.689042847775514,nan,1,1
164,1.6400000000000001,89.25522531508767,-3.67778785189268,nan,1,1
165,1.6500000000000001,89.25672037123991,-3.6780861207563094,nan,1,1
166,1.6600000000000001,89.26037179946243,-3.6318395683108657,nan,1,1
167,1.6700000000000002,89.26211771010685,-3.582157744802978,nan,1,1
168,1.6800000000000002,89.26437326430596,-3.6321776271603143,nan,1,1
169,1.6900000000000002,89.26867227553632,-3.614652781552216,nan,1,1
170,1.7000000000000002,89.27206796645416,-3.701742740590266,nan,1,1
171,1.7100000000000002,89.27549173354387,-3.8459947536677257,nan,1,1
172,1.72,89.2803101539539,-3.844826766262863,nan,1,1
173,1.73,89.28341531752801,-3.7505291126313582,nan,1,1
174,1.74,89.28609994887555,-3.841723532572004,nan,1,1
175,1.75,89.28922708510589,-3.791241779316538,nan,1,1
176,1.76,89.29114511489092,-3.7421382878766813,nan,1,1
177,1.77,89.2914304542463,-3.739945714122717,nan,1,1
178,1.78,89.29388071059384,-3.6427163575091357,nan,1,1
179,1.79,89.29492044448045,-3.586133063642618,nan,1,1
180,1.8,89.29856454848422,-3.540103052317216,nan,1,1
181,1.81,89.30221292494895,-3.4745028641347675,nan,1,1
182,1.82,89.30645578383556,-3.5520121018248725,nan,1,1
183,1.83,89.31135538100341,-3.4821056220705633,nan,1,1
184,1.84,89.3147809791478,-3.437253938026866,nan,1,1
185,1.85,89.31517679213596,-3.433379445186984,nan,1,1
186,1.86,89.31973581313193,-3.5090766103678033,nan,1,1
187,1.87,89.32251810072947,-3.4586928093665636,nan,1,1
188,1.8800000000000001,89.32430490492857,-3.454157824528874,nan,1,1
189,1.8900000000000001,89.32817361830735,-3.49205995225428,nan,1,1
190,1.9000000000000001,89.33212961195957,-3.4917997943087893,nan,1,1
191,1.9100000000000001,89.33477762221335,-3.486523867488074,nan,1,1
192,1.9200000000000002,89.34340158461558,-3.3989433062656067,nan,1,1
193,1.9300000000000002,89.35214029311155,-3.495685492456476,nan,1,1
194,1.9400000000000002,89.35447824477157,-3.482261350443037,nan,1,1
195,1.9500000000000002,89.36171915053316,-3.468560862560754,nan,1,1
196,1.9600000000000002,89.36848337172444,-3.3814796733391557,nan,1,1
197,1.9700000000000002,89.37451028822821,-3.182103634899147,nan,1,1
