time,phi_true_root_deg,spread_q05_deg,spread_q50_deg,spread_q95_deg,spread_90_width_deg
4.0,85.00096567150669,-2.974647967209876,3.7231433051134104,4.191984771403668,7.1666327386135436
4.01,84.97532632824485,-2.9432253573727962,3.739272750474072,4.208972231676313,7.152197589049109
4.0200000000000005,84.96849618908459,-2.930667372681171,3.73661838422575,4.207174506178006,7.137841878859177
4.03,84.96849649426025,-2.9249935939651266,3.7271629211124946,4.198564616008639,7.1235582099737655
4.04,84.95249704357656,-2.9033721493810276,3.733731956376289,4.205967766387062,7.109339915768089
4.05,84.94673074718972,-2.8920343735964593,3.730107128125894,4.203161897429197,7.095196271025657
4.0600000000000005,84.94673105236538,-2.886512222914291,3.720758120284927,4.194618604414643,7.081130827328934
4.07,84.91671121593947,-2.8510175029689435,3.74146203024884,4.2161263969397,7.067143899908643
4.08,84.91058603283389,-2.839463615700595,3.738294853399225,4.2137770865190305,7.053240702219625
4.09,84.91058633800955,-2.8340799331134576,3.729025247382822,4.205336187270461,7.039416120383919
4.1000000000000005,84.90377267834145,-2.821925445187844,3.7265860087176748,4.203734841895084,7.025660287082928
4.11,84.90377237316557,-2.816626093822549,3.717352070583729,4.195341448632007,7.011967542454556
4.12,84.90162790295062,-2.8092230245043197,3.710280775365561,4.189114123086938,6.998337147591258
4.13,84.90162759777473,-2.8040032598167386,3.7010880642416737,4.180782239910457,6.984785499727195
4.140000000000001,84.88623178478636,-2.783425929561986,3.707297764664389,4.187881838316372,6.971307767878358
4.15,84.88623208996202,-2.77828158969416,3.6981390143143074,4.179621869937478,6.957903459631638
4.16,84.87015024181741,-2.7570909771104937,3.7050838226626865,4.187477270423614,6.944568247534107
4.17,84.87015054699307,-2.752017331532869,3.6959661962213772,4.1792732865855555,6.931290618118425
4.180000000000001,84.87015024181719,-2.746976929363484,3.6868947133473284,4.171100939996791,6.918077869360275
4.19,84.86262918468819,-2.7344487497380783,3.6853783855720224,4.170460267502307,6.904909017240385
4.2,84.86262948986385,-2.7294739217312554,3.676367373689118,4.162328368538624,6.8918022902698794
4.21,84.86093118664107,-2.722831476615056,3.669086327457137,4.155936841282767,6.878768317897823
4.220000000000001,84.86093088146518,-2.7179171700691427,3.660140230124682,4.147887916259009,6.865805086328152
4.23,84.86093118664084,-2.71303277853076,3.651231310217895,4.139860869039012,6.852893647569772
4.24,84.83253915783214,-2.6797845765656803,3.670748318574681,4.160235587168302,6.840020163733982
4.25,84.8325394630078,-2.674956374440569,3.6619015895323628,4.1522432477662505,6.82719962220682
4.26,84.83253915783192,-2.6701544643709667,3.653095274837767,4.144281830300542,6.814436294671509
4.2700000000000005,84.80597513195289,-2.638815044994203,3.670873264999898,4.162919671227996,6.8017347162221995
4.28,84.80597543712855,-2.634065581972493,3.662106194579792,4.155016608791243,6.789082190763736
4.29,84.80597513195266,-2.6293405432244867,3.6533499451156786,4.147148080372574,6.776488623597061
4.3,84.80597543712832,-2.624640472172814,3.6446235038774546,4.13930142424141,6.763941896414224
4.3100000000000005,84.77902322765556,-2.593011668042749,3.6628827899647263,4.158434018383531,6.75144568642628
4.32,84.77902292247967,-2.588357934442712,3.6542223241921192,4.150645583494452,6.739003517937164
4.33,84.77902322765533,-2.583727487443099,3.6455964506009764,4.142881480741579,6.726608968184678
4.34,84.77902292247944,-2.5791186552939394,3.637002500954793,4.135150817314951,6.7142694726088905
4.3500000000000005,84.77569437023323,-2.5712033690160183,3.6317685734172187,4.130778590573584,6.701981959589602
4.36,84.77569467540889,-2.566706669099119,3.6232455466567615,4.1231128256580405,6.68981949475716
4.37,84.775694370233,-2.5622653757216654,3.614756369694476,4.1154808455382295,6.677746221259895
4.38,84.77569467540866,-2.5578449732069544,3.606290464985591,4.107873924625949,6.665718897832903
4.390000000000001,84.77569437023277,-2.553443710161332,3.5978627531989105,4.100296752478073,6.653740462639405
4.4,84.76743844982252,-2.540806185290478,3.597713233755144,4.101017652052434,6.641823837342912
4.41,84.76743814464663,-2.5364432824936785,3.589339036063052,4.093512870260099,6.629956152753778
4.42,84.7674384498223,-2.532099752638601,3.5809991782625445,4.086037493659774,6.6181372462983745
