time,phi_root_deg,phi_empirical_deg,empirical_minus_root_deg,selected_mass_fraction,selected_count,empirical_90_width_deg
1.08,86.4310181617737,91.14806730995538,4.7170491481816725,0.0036081764579806255,26,18.935745883820232
1.09,86.99375894546498,92.21747636345985,5.2237174179948624,0.0036378956572271207,28,9.263091528843177
1.1,87.37359933853125,92.22640589850272,4.852806559971469,0.003684947988309635,29,9.429755002768701
1.11,87.65736856460535,92.36699274450534,4.709624179900004,0.0038755314246485097,32,10.122590241226817
1.12,87.89064645767164,92.30011664678572,4.409470189114074,0.00386480288098947,32,9.96626862661671
1.1300000000000001,88.0331125831598,92.23473865750083,4.201626074341021,0.0038618325834036127,32,9.809209042928046
1.1400000000000001,88.1809168434136,92.17082118249108,3.9899043390774978,0.0038665363523458863,32,9.651485229237522
1.1500000000000001,88.2974192237846,92.10833741237373,3.8109181885891417,0.0038788454324955464,32,9.493105834693836
1.1600000000000001,88.39309335708526,92.04723628128728,3.654142924202006,0.0038987061866554385,32,9.334340063687023
1.1700000000000002,88.4749479103078,91.987481659894,3.512533749586197,0.003926079819180025,32,9.175136669920903
1.1800000000000002,88.55191659927254,92.02841314963113,3.476496550358604,0.004061332484631248,34,9.053148260569316
1.19,88.61311563491697,92.01577124112177,3.402655606204803,0.004152811699393514,35,8.921097518376143
1.2,88.65816415786608,91.95722248698272,3.299058329116633,0.004204399259616895,35,8.760735497866563
1.21,88.72111856460424,91.89990557016309,3.1787870055588314,0.004263769931727857,35,8.600517853135614
1.22,88.78257761001427,91.84376659238396,3.0611889823696856,0.004330956526085761,35,8.44080517011244
1.23,88.83697732925245,91.78877493100634,2.9517976017538956,0.004406006107291105,35,8.281878297089406
1.24,88.88582956313908,91.73487155832504,2.8490419951859565,0.004488979870933033,35,8.12389809614777
1.25,88.92460977554131,91.71733862021625,2.79272884467494,0.004621827550024702,36,7.966667674891028
1.26,88.95310800552167,91.66486897770389,2.711760972182219,0.004721763311365978,36,7.810352696241097
1.27,88.98441629409578,91.64591044019576,2.661494146099983,0.004871447418736868,37,9.308869203659299
1.28,89.00560434341207,91.65609128430003,2.6504869408879586,0.005070692849392334,39,9.155926000869215
1.29,89.03395792007211,91.63353939249231,2.5995814724201978,0.005238819117065492,40,9.220964469513802
1.3,89.05195199966187,91.60965757654198,2.557705576880096,0.005415885014518278,41,9.039036445661907
1.31,89.07042215347036,90.98238962189708,1.9119674684267238,0.005836664027044191,43,10.077519806704515
1.32,89.09380136489602,90.94558626023571,1.8517848953396765,0.006001561220671277,43,9.878895046606345
1.33,89.10828470229828,90.95757747212946,1.8492927698311803,0.00625335357836549,45,9.944480874679016
1.34,89.12101633071617,90.92168277914094,1.8006664484247494,0.0064407240334794155,45,9.747212465033272
1.35,89.13730569839186,90.8866377490973,1.7493320507054477,0.006638681674279539,45,9.553158117939802
1.36,89.15020151138003,90.85234692029856,1.7021454089185113,0.006847480733425694,45,9.362341774537555
1.37,89.16044900893851,90.81876154404516,1.6583125351066315,0.007067391460389547,45,9.175324488284105
1.3800000000000001,89.16821176528606,90.78586764764711,1.6176558823610492,0.0072987002608150605,45,8.991809458321995
1.3900000000000001,89.17535196303982,90.77116899372035,1.5958170306805357,0.00757853235185486,46,8.973281503348403
1.4000000000000001,89.18307748794206,90.73928454813671,1.5562070601946516,0.007834777829738498,46,8.79369870148929
1.4100000000000001,89.18925516128178,90.72406300159889,1.5348078403171144,0.008140648807971808,47,8.617239312172217
1.4200000000000002,89.19723276137933,90.69312210254404,1.4958893411647125,0.008423341672350575,47,8.444102634712749
1.4300000000000002,89.20258768081283,90.66277464799684,1.460186967184029,0.008719234414009841,47,8.27420724177685
1.4400000000000002,89.2084699439963,90.6329773201297,1.4245073761333913,0.009028717095780115,47,8.107435932442854
1.4500000000000002,89.2115006446798,90.60371509633885,1.3922144516590436,0.009352197208898492,47,7.944263971745073
1.46,89.21536142348828,90.58737265270439,1.3720112292161275,0.00972698412731534,48,7.811684209404945
1.47,89.21605325698425,90.55891817209535,1.342864915111079,0.010081064717819619,48,7.654549618009014
1.48,89.22002206801929,90.53098717690571,1.3109651088864211,0.01045052906372035,48,7.500550237061958
1.49,89.22298257827308,90.50355921850739,1.280576640234301,0.010835858046770265,48,7.34938930088623
1.5,89.22770944594873,90.47664211087594,1.2489326649272243,0.011237550948131217,48,7.201212144455212
1.51,89.23046121596815,90.45020701818322,1.2197458022150727,0.011656125578338287,48,7.055922781456303
1.52,89.2310328102063,90.4332831409803,1.2022503307740067,0.01212872133459765,49,6.9136022144688525
1.53,89.23240884780384,90.40763903717708,1.1752301893732238,0.012584030314938549,49,6.7738718513374465
1.54,89.23670053481544,90.38247890139444,1.1457783665790089,0.01305794213280624,49,6.636486075959141
1.55,89.2386167335458,90.3654760754868,1.1268593419409854,0.013587511212568933,50,6.65345108440161
1.56,89.24030649184647,90.34111352847472,1.1008070366282539,0.014101780835885553,50,6.518808046845578
1.57,89.24170938491275,90.32417011723673,1.0824607323239661,0.01467369494234497,51,6.386839106956245
1.58,89.24276071547902,90.30718357673382,1.0644228612547977,0.015268360997172329,52,6.2574126481400185
1.59,89.24428201674843,90.28383744818517,1.0395554314367246,0.015848930922465393,52,6.130567362665715
1.6,89.24757211684596,90.26095197263761,1.0133798557916407,0.01645213014846272,52,6.006174660458356
1.61,89.249138584131,90.23851856119857,0.9893799770675855,0.017078673722903545,52,5.883855938628528
1.62,89.250240573877,90.21651153944478,0.9662709655677872,0.017729295654163937,52,5.76373474157981
1.6300000000000001,89.25192178725578,90.19492360536138,0.9430018181055857,0.018404748716726264,52,5.645629279755383
1.6400000000000001,89.25522531508767,90.17377681155682,0.9185514964691492,0.01910580421463817,52,5.529590056420432
1.6500000000000001,89.25672037123991,90.15311072989572,0.8963903586558217,0.019833251696907365,52,5.415238105147978
1.6600000000000001,89.26037179946243,90.13288988509137,0.8725180856289398,0.0205878985065589,52,5.302502554997062
1.6700000000000002,89.26211771010685,90.1171196236295,0.8550019135226421,0.021406916140782814,53,5.1917592199108356
1.6800000000000002,89.26437326430596,90.09769874931303,0.8333254850070659,0.022219798971846685,53,5.0826770930538885
1.6900000000000002,89.26867227553632,90.07868261499759,0.8100103394612574,0.02306245411139229,53,4.975529276105647
1.7000000000000002,89.27206796645416,90.06351634841499,0.7914483819608336,0.023972145644883588,54,5.015874651684356
1.7100000000000002,89.27549173354387,90.04528890246458,0.7697971689207179,0.024878325498195585,54,4.910301696636452
1.72,89.2803101539539,90.02749862078264,0.7471884668287316,0.025816992396986684,54,4.806509292724996
1.73,89.28341531752801,90.01012562353051,0.7267103060025022,0.026789063413786944,54,4.704177030633588
1.74,89.28609994887555,89.99314722481643,0.7070472759408801,0.027795467303709416,54,4.603591462850943
1.75,89.28922708510589,89.97658372886112,0.6873566437552086,0.028837143229566497,54,4.50462455233847
1.76,89.29114511489092,89.96040234624775,0.6692572313568235,0.029915039359650397,54,4.407268764704838
1.77,89.2914304542463,89.94458414181129,0.653153687565009,0.031030111334751326,54,4.311703650656426
1.78,89.29388071059384,89.93137397554148,0.6374932649476364,0.03221914515746369,55,4.2176882877099615
1.79,89.29492044448045,89.91630998589368,0.6213895414132367,0.033412751163482385,55,4.125274617897503
1.8,89.29856454848422,89.9016391273306,0.6030745788463605,0.034646471796641556,55,4.034473798147019
1.81,89.30221292494895,89.88734531257201,0.5851323876230481,0.03592127622139218,55,3.9453096684474076
1.82,89.30645578383556,89.87345691908996,0.5670011352544009,0.0372381315846134,55,3.8576895541845317
1.83,89.31135538100341,89.85996353306642,0.548608152063025,0.038598000634007895,55,3.771638788853039
1.84,89.3147809791478,89.84684164663689,0.5320606674890769,0.04000183917372855,55,3.6871995019627377
1.85,89.31517679213596,89.83412515587155,0.5189483637356034,0.041450593361327406,55,3.6041887956386347
1.86,89.31973581313193,89.82322133664597,0.5034855235140299,0.04298072892162406,56,3.522725040698134
1.87,89.32251810072947,89.81126206824074,0.4887439675112546,0.044523341811666846,56,3.4428115795313943
1.8800000000000001,89.32430490492857,89.79966125216554,0.47535634723698195,0.04611365987869886,56,3.364310996415469
1.8900000000000001,89.32817361830735,89.78845912583697,0.46028550752961905,0.04775256123059799,56,3.2872517943079913
1.9000000000000001,89.33212961195957,89.77765000405874,0.4455203920991835,0.04944089843236828,56,3.2117101640413352
1.9100000000000001,89.33477762221335,89.76834227357143,0.43356465135809685,0.05121567745542446,57,3.137511993566136
1.9200000000000002,89.34340158461558,89.75827393930665,0.414872354691056,0.05300655616050369,57,3.064683768174717
1.9300000000000002,89.35214029311155,89.74857996082186,0.3964396677102968,0.054849273492279416,57,2.9931826699605324
1.9400000000000002,89.35447824477157,89.73925753817151,0.38477929339995853,0.056744542417822404,57,2.923096965696203
1.9500000000000002,89.36171915053316,89.73031210984263,0.368592959309467,0.05869303073211985,57,2.8544367895279095
