time,fraction_neurons_with_any_gate_flip,mean_neuron_gate_flip_fraction,mass_weighted_gate_flip_fraction,frozen_gate_relative_rms_error,frozen_gate_relative_rms_error_cluster1,frozen_gate_relative_rms_error_cluster2
2.15,0.0,0.0,0.0,0.0,0.0,0.0
2.16,0.59,0.0007037500000000001,0.0009232899533299171,1.2005694869220039e-06,1.1418806358664632e-07,8.873037291533371e-06
2.17,0.63,0.0013175,0.0016719614807939917,3.6371093801624457e-06,3.259896557901902e-07,2.61786945379464e-05
2.18,0.65,0.00203625,0.0025680767017000664,7.097540998771962e-06,6.467072947682115e-07,4.9720116962400775e-05
2.19,0.665,0.00271625,0.0034778107272049512,1.173616707572017e-05,1.0861205704967085e-06,8.001937926234849e-05
2.2,0.675,0.0034062499999999996,0.004302579202007896,1.7480437888186003e-05,1.6307083806276203e-06,0.00011601450741335944
2.21,0.685,0.00411375,0.005219568425923921,2.4290002803615246e-05,2.2914146898379193e-06,0.00015692592816730596
2.22,0.69,0.0047575000000000004,0.0061257626868573,3.230278340617347e-05,3.121277521533957e-06,0.00020314210335934367
2.23,0.69,0.00536,0.006881946707653587,4.126945436605169e-05,4.095951420127004e-06,0.0002526451493507355
2.24,0.69,0.0059925,0.007692115231742745,5.121806322224999e-05,5.217732808552935e-06,0.00030526608109695966
2.25,0.69,0.00664625,0.008480326175449289,6.216004926411704e-05,6.4778540134234294e-06,0.00036075414302688604
2.2600000000000002,0.695,0.0072575,0.00918837948577996,7.397472082461242e-05,7.856735025467822e-06,0.00041812919151546586
2.27,0.7,0.007835000000000002,0.009942149383834946,8.664464007526714e-05,9.349259772079547e-06,0.00047707300720603227
2.2800000000000002,0.695,0.008425,0.010657701911554473,0.0001001999768682609,1.0966690176018312e-05,0.0005375467858518562
2.29,0.71,0.009000000000000001,0.01140451513691128,0.00011451527599619887,1.2710254475991427e-05,0.0005986970429778769
2.3000000000000003,0.715,0.009631250000000001,0.012183232587668708,0.00012962081745781308,1.4604292861613837e-05,0.0006605461002879268
2.31,0.715,0.010154999999999999,0.01286292549705163,0.00014546395693772196,1.6880152138428314e-05,0.0007225836781012167
2.3200000000000003,0.715,0.01072125,0.013522377918978076,0.0001619314874632093,1.9382332285131287e-05,0.0007842588061007229
2.33,0.715,0.011310000000000002,0.01426760574951832,0.0001790916583446111,2.2173549799444527e-05,0.0008458327751623605
2.3400000000000003,0.715,0.011877500000000001,0.014997742208690608,0.0001968885550861854,2.523593453247639e-05,0.0009070087003641783
2.35,0.715,0.01243125,0.015618516445208796,0.0002152376148812641,2.8510454124579107e-05,0.0009674170616445051
2.3600000000000003,0.71,0.012970000000000002,0.016261083086942595,0.00023413668611930424,3.202553021717306e-05,0.001027049850290609
2.37,0.71,0.01351,0.016865403602513117,0.00025358584329868226,3.585117986606909e-05,0.0010858897315193742
2.38,0.705,0.014038750000000003,0.01748421494360318,0.00027354086585769046,4.003470786896501e-05,0.001143747181248285
2.39,0.705,0.01453125,0.018066880277352523,0.00029397508373106275,4.456933919581694e-05,0.0012005576243111482
2.4,0.72,0.015032499999999999,0.018700266178340242,0.00031499335940670845,4.989353800268187e-05,0.0012565367776024908
2.41,0.72,0.015492500000000003,0.019279692731298054,0.00033646720419362546,5.586602095581348e-05,0.0013112715106837311
2.42,0.725,0.01602875,0.01988044631616133,0.00035840607044609646,6.26774576153708e-05,0.001364728946935729
2.43,0.735,0.01652875,0.020472896194630472,0.00038077076300856903,7.019407087692428e-05,0.0014168860413720963
2.44,0.735,0.01703375,0.02107883360515507,0.0004035004829192822,7.830188642498819e-05,0.0014676470916811367
2.45,0.735,0.017487500000000003,0.021556975072769678,0.0004265720112029385,8.69628562829893e-05,0.0015170291544467445
2.46,0.735,0.01794625,0.022075091143235206,0.0004498960525972493,9.632045288427437e-05,0.001564688013973444
2.47,0.735,0.01837875,0.02257708933807746,0.00047347500429919723,0.0001063409560354527,0.0016107473902064872
2.48,0.735,0.0188725,0.023125583030925566,0.0004973108392272333,0.0001169746829939807,0.0016553405132544248
2.49,0.735,0.01930875,0.023639869347641052,0.0005213266604651098,0.00012818864912882906,0.0016983162725514227
2.5,0.735,0.01975,0.024149693816318134,0.0005455733720478649,0.00014015425693915151,0.0017398121874957618
2.5100000000000002,0.735,0.02022,0.024661235477604106,0.0005699917273399465,0.00015280841807281337,0.0017797599042252976
2.52,0.735,0.0206975,0.02519427608723614,0.0005945948021005087,0.00016612884236887008,0.0018183085718247785
2.5300000000000002,0.735,0.021102500000000003,0.025662829375112255,0.0006193510999062242,0.0001801829290301199,0.001855381941119726
2.54,0.735,0.02148625,0.026122414984681458,0.000644227103030192,0.00019484940708308827,0.001891057091461388
2.5500000000000003,0.74,0.021925000000000004,0.02665702693104085,0.0006691767850906062,0.0002102227273262961,0.0019251915486625806
2.56,0.74,0.022331250000000004,0.027067178779160667,0.0006942194210653978,0.00022637076795033368,0.0019578660980909624
2.5700000000000003,0.74,0.022757500000000003,0.027559908151138034,0.0007193873973195814,0.00024349285260536442,0.0019890680522666676
2.58,0.74,0.023131250000000003,0.027969450868637686,0.0007446608058312513,0.0002615640797290235,0.0020188111417323612
2.5900000000000003,0.74,0.0235025,0.028371404268188086,0.0007699283807652,0.00028037508333146523,0.002047011000218059
2.6,0.74,0.023876249999999998,0.028791789207445757,0.0007952529358041322,0.00030012779099869815,0.0020737249890389075
2.6100000000000003,0.74,0.02422875,0.029158959839989618,0.0008205423113406373,0.0003205345837022573,0.0020990131092003548
2.62,0.735,0.024575,0.02952323682182556,0.0008457551942618473,0.00034152129250857174,0.0021228946156785643
2.6300000000000003,0.735,0.024932499999999996,0.029922948286288158,0.0008709176446476166,0.0003630903961790012,0.0021455086103032935
2.64,0.735,0.025233750000000003,0.030220073559679397,0.0008959680573113316,0.0003852173275760234,0.0021667621261436234
2.65,0.735,0.025581250000000003,0.03055208468185354,0.000920855274884547,0.0004078282775844039,0.0021866465038047067
2.66,0.74,0.025902500000000002,0.03092105253298502,0.0009455917015244915,0.0004308808098040902,0.002205302316686841
2.67,0.74,0.02624875,0.03130308803610461,0.0009701623116589561,0.00045433801452114604,0.002222782717602724
2.68,0.74,0.02655875,0.031617469885287595,0.0009944973928368358,0.0004780978314321049,0.0022390591603808157
2.69,0.74,0.0268575,0.031919389046319184,0.001018546027511185,0.0005020849376955745,0.002254130459457781
2.7,0.74,0.027152500000000003,0.03217305678620673,0.0010422754808693956,0.000526232849505633,0.002268037203989372
2.71,0.74,0.027448750000000004,0.032458472622543005,0.0010656721684462378,0.000550529687666189,0.002280808074456696
2.72,0.745,0.02771,0.03269410755905662,0.0010886837442684253,0.0005748817387056442,0.0022924585430125132
2.73,0.75,0.027965,0.03291570436049682,0.0011112968438650294,0.0005992939916774589,0.0023029931781835076
2.74,0.75,0.02820125,0.03311972169957177,0.001133548849436755,0.00062382846423729,0.002312478808892795
2.75,0.75,0.028415000000000003,0.03334037028579489,0.0011554032045250381,0.000648408730587155,0.002320943044478517
2.7600000000000002,0.75,0.02864,0.03354393441874625,0.0011767876041517834,0.0006728903124596997,0.002328403141437235
2.77,0.75,0.02888625,0.03376662775211334,0.0011977060618974008,0.0006972870738713034,0.002334886523782879
2.7800000000000002,0.75,0.029086249999999998,0.033949172587364386,0.0012181647625875436,0.0007216151954581896,0.002340417526263974
2.79,0.75,0.029282500000000003,0.03410184967838257,0.001238116631400226,0.0007457741270251499,0.002345023330932733
2.8000000000000003,0.75,0.0294825,0.034271340143096594,0.0012575758263285864,0.000769780339300532,0.0023487439284340435
2.81,0.75,0.029678750000000004,0.03443749734091312,0.0012764861759190268,0.000793523371355977,0.0023515940808372846
2.8200000000000003,0.75,0.0298825,0.0346085013128363,0.0012948395797083183,0.0008169863203106962,0.0023535946913003512
2.83,0.75,0.03008,0.034763849134360286,0.0013126283780687104,0.0008401379802741017,0.0023547842053653714
2.8400000000000003,0.745,0.03024875,0.03489380375395053,0.0013298519503481619,0.0008629729955536571,0.0023551828591049898
2.85,0.745,0.030432499999999994,0.03504243568728113,0.001346494327708887,0.0008854540901618506,0.00235481097446024
2.8600000000000003,0.745,0.030623749999999998,0.03519007509433096,0.0013625769046109563,0.0009076065805121986,0.0023537005383406436
2.87,0.75,0.030808750000000003,0.03533646214446302,0.001378098413022922,0.0009294229257301453,0.002351865219832854
2.8800000000000003,0.76,0.030984999999999995,0.0354704870840876,0.001393067095944506,0.000950910833962774,0.002349320476468035
2.89,0.76,0.03115375,0.03557494763520409,0.0014074926315861425,0.0009720765229653738,0.002346085147516292
2.9000000000000004,0.76,0.03128875,0.035636180080431595,0.00142132557658598,0.0009928154424318205,0.0023421770655822293
2.91,0.76,0.031433749999999996,0.0357112778676386,0.0014345467008893154,0.0010130815369195584,0.0023376129754277605
2.92,0.76,0.03157625,0.03579386187137662,0.0014471741517858541,0.0010328930081067555,0.002332415958392828
2.93,0.76,0.03167625,0.035816393601624384,0.0014592531165933684,0.001052322188072098,0.0023265995897343694
2.94,0.765,0.031792499999999994,0.03586630334018486,0.0014707505307628595,0.0010712951607613256,0.002320180390679816
2.95,0.765,0.031920000000000004,0.035898066178649435,0.0014816563666992413,0.0010897812041453655,0.0023131739865244654
2.96,0.765,0.03201875,0.03592094088408611,0.0014920387226888868,0.001107887084856375,0.002305598783997743
2.97,0.765,0.0321375,0.03596187366013212,0.0015018524026430764,0.0011255174600176628,0.0022974704216166563
2.98,0.765,0.032249999999999994,0.035999663756264524,0.001511080969188119,0.0011426305429973875,0.0022888030070132405
2.99,0.765,0.032326249999999994,0.03599878030798933,0.0015197282290918643,0.0011592189836926643,0.0022796130184291204
3.0,0.765,0.032407500000000006,0.036004403319722204,0.0015278205606134969,0.0011753154848459547,0.002269915469950131
3.0100000000000002,0.765,0.03250625,0.03601260591887075,0.0015353738277345842,0.0011909339468359776,0.0022597246852972736
3.02,0.765,0.032613750000000004,0.03601679498403003,0.0015423644605258363,0.0012060203477941328,0.002249054331258355
3.0300000000000002,0.765,0.0326575,0.03596079502568121,0.001548815343658383,0.0012206014279094925,0.002237917643827485
3.04,0.765,0.032725,0.03591977253259711,0.0015547473569786318,0.0012346984282142716,0.0022263300915914383
3.0500000000000003,0.765,0.03278375,0.03586596918163124,0.0015601838777054779,0.001248336743168299,0.0022143064839730458
3.06,0.765,0.0328575,0.03584990522700055,0.00156513290322881,0.0012615168376645435,0.002201859239187333
3.0700000000000003,0.765,0.03292375,0.03580673929299012,0.001569585231280395,0.001274207697610639,0.0021890050936815724
3.08,0.765,0.03299125,0.035764166929261716,0.0015735499573421303,0.0012864141556493704,0.002175753258064168
3.0900000000000003,0.765,0.0330525,0.03572138070640526,0.0015770643003899822,0.0012981844869327673,0.002162118229118754
3.1,0.765,0.033120000000000004,0.0356634815358697,0.0015801494716452666,0.001309543089203173,0.002148108976379558
3.1100000000000003,0.76,0.03319,0.03563464402206609,0.0015828053234041625,0.0013204745088665852,0.002133741738567933
3.12,0.76,0.033249999999999995,0.03558980385660438,0.0015850361963991152,0.0013309747318877565,0.002119026730103781
3.1300000000000003,0.76,0.0333375,0.035587266433822005,0.001586849194398696,0.001341041400882405,0.0021039793861437677
3.14,0.76,0.033391250000000004,0.035534663779086796,0.00158826082269357,0.0013506917185727389,0.0020886082453016146
3.1500000000000004,0.765,0.0334775,0.03554356700301812,0.0015892898587282851,0.0013599445145938722,0.0020729251569495434
3.16,0.76,0.033545000000000005,0.035508659220065415,0.001589966402292118,0.0013688395729239589,0.002056937012793835
3.1700000000000004,0.76,0.03363125,0.035517632311512184,0.0015902842008972183,0.0013773492454343878,0.0020406659443466054
3.18,0.765,0.033697500000000005,0.03548598682234014,0.0015902863346401756,0.001385533090751673,0.002024120430124112
3.19,0.765,0.033775,0.03546383143704507,0.0015899534939677164,0.0013933472189592234,0.002007315373412344
3.2,0.76,0.03387,0.03546288902942437,0.001589290045478535,0.001400790508726902,0.001990257958906611
3.21,0.765,0.033933750000000006,0.03542965164205249,0.0015883313298211505,0.0014079066411895145,0.001972962915684858
3.22,0.765,0.03399,0.03541035644739037,0.0015870645557894173,0.0014146731545837564,0.00195542723620846
3.23,0.765,0.03405625,0.035395836511931664,0.0015855061905382499,0.0014211039339208018,0.0019376659432857157
3.24,0.765,0.0341075,0.03535681200649894,0.0015836743079349369,0.0014272239758462615,0.001919678180940217
3.25,0.765,0.034165,0.035331029091445476,0.0015816104038585935,0.00143308525782102,0.0019014799203809234
3.2600000000000002,0.755,0.03422625,0.03531695392904099,0.0015793090696286682,0.0014386627273420625,0.0018830950830630098
3.27,0.765,0.034305,0.03531607080348927,0.0015767772298318995,0.0014439577630587252,0.0018645348148062168
3.2800000000000002,0.765,0.0343525,0.0352588755684033,0.0015740328359425057,0.0014489914595601488,0.0018458052070244664
3.29,0.76,0.0344325,0.0353204458834184,0.0015710827870935458,0.0014537720442674607,0.0018269043659671935
3.3000000000000003,0.76,0.034513749999999996,0.03533790107749283,0.0015679394400303225,0.001458312141641709,0.0018078379690056742
3.31,0.765,0.0346075,0.03539708593510097,0.0015646208754693126,0.0014626286808950507,0.0017886202846492504
3.3200000000000003,0.765,0.03472875,0.035466728841623336,0.0015611526774655033,0.0014667482782968258,0.0017692688248692335
3.33,0.765,0.034805,0.03549475655550034,0.001557549209751322,0.0014706770313595015,0.0017498084606791093
3.3400000000000003,0.765,0.0348775,0.035498760743937305,0.0015538260606864686,0.0014744381312143309,0.0017302334142202816
3.35,0.765,0.034978749999999996,0.035555110393551685,0.001549995405776863,0.0014780496498035727,0.0017105373080032761
3.3600000000000003,0.765,0.03507,0.03560647840255031,0.0015460736193938025,0.0014815312116469182,0.0016907229696955688
3.37,0.765,0.035147500000000005,0.03563609363812418,0.001542080145656314,0.0014848970377153222,0.0016708139133998344
3.3800000000000003,0.76,0.035215,0.035665060858701865,0.0015380310127769312,0.0014881648135381194,0.0016508158481082218
3.39,0.76,0.03533875,0.035762422224122854,0.001533944382520925,0.0014913457332249571,0.0016307551290221508
