probe,time,x1,x2,loss,f1,f2,weak_gate_evolving_after_creation,weak_rep_angle_deg
pp,0.0,2.995796162121622,2.000985607909242,6.488737232422246,0.00014609013088169885,9.702754641576553e-05,nan,nan
pp,0.01,2.995796162121622,2.000985607909242,6.488685455657387,0.00016018509962947578,0.00010180206586750044,nan,nan
pp,0.02,2.995796162121622,2.000985607909242,6.488629115163258,0.00017562336606925547,0.00010684643657140823,nan,nan
pp,0.030000000000000002,2.995796162121622,2.000985607909242,6.488567792881471,0.00019258826404718981,0.0001120951517093815,nan,nan
pp,0.04,2.995796162121622,2.000985607909242,6.488501028686705,0.0002111568536463001,0.00011766284463302848,nan,nan
pp,0.05,2.995796162121622,2.000985607909242,6.4884283323107805,0.00023148104907194363,0.00012356715473968582,nan,nan
pp,0.060000000000000005,2.995796162121622,2.000985607909242,6.488349171265897,0.00025372604670301555,0.00012982694797158853,nan,nan
pp,0.07,2.995796162121622,2.000985607909242,6.488262964717482,0.00027807099935561947,0.00013646437188470357,nan,nan
pp,0.08,2.995796162121622,2.000985607909242,6.488169073969333,0.0003047563428682981,0.00014343876038819714,nan,nan
pp,0.09000000000000001,2.995796162121622,2.000985607909242,6.488066798319806,0.0003339651923279639,0.0001508262725528233,nan,nan
pp,0.1,2.995796162121622,2.000985607909242,6.48795537682736,0.0003659384598855807,0.0001586466683353347,nan,nan
pp,0.11,2.995796162121622,2.000985607909242,6.487833971988728,0.00040094224466892054,0.00016692029265583954,nan,nan
pp,0.12000000000000001,2.995796162121622,2.000985607909242,6.4877016780969505,0.0004392442271971081,0.00017569924327541937,nan,nan
pp,0.13,2.995796162121622,2.000985607909242,6.487557491199832,0.00048121337459260555,0.00018493312620845861,nan,nan
pp,0.14,2.995796162121622,2.000985607909242,6.487400315674144,0.0005270758149858581,0.0001948312501490228,nan,nan
pp,0.15,2.995796162121622,2.000985607909242,6.487228968101642,0.0005772423903524671,0.00020537033012887483,nan,nan
pp,0.16,2.995796162121622,2.000985607909242,6.487042161650667,0.0006321350696788313,0.00021656217824591817,nan,nan
pp,0.17,2.995796162121622,2.000985607909242,6.486838487074859,0.0006922582343534026,0.00022835649942565074,nan,nan
pp,0.18000000000000002,2.995796162121622,2.000985607909242,6.486616389877041,0.0007580934124207168,0.00024080990607351353,nan,nan
pp,0.19,2.995796162121622,2.000985607909242,6.486374189588444,0.000830122635585424,0.0002540413311035206,nan,nan
pp,0.2,2.995796162121622,2.000985607909242,6.486110055844051,0.0009089241052279121,0.00026810079969572285,nan,nan
pp,0.21000000000000002,2.995796162121622,2.000985607909242,6.485821990569789,0.000995129910895937,0.000283041656789424,nan,nan
pp,0.22,2.995796162121622,2.000985607909242,6.48550781088243,0.001089402287362152,0.0002989646870082383,nan,nan
pp,0.23,2.995796162121622,2.000985607909242,6.485165125002235,0.0011926093677636712,0.000315767121302251,nan,nan
pp,0.24000000000000002,2.995796162121622,2.000985607909242,6.4847913080083215,0.001305518074206636,0.00033361450080834475,nan,nan
pp,0.25,2.995796162121622,2.000985607909242,6.48438351123982,0.0014289827134534641,0.0003526537262890494,nan,nan
pp,0.26,2.995796162121622,2.000985607909242,6.4839386278849425,0.0015640284221123406,0.0003729054375298257,nan,nan
pp,0.27,2.995796162121622,2.000985607909242,6.483453268787801,0.0017117394267991816,0.0003944434401463834,nan,nan
pp,0.28,2.995796162121622,2.000985607909242,6.482923733861764,0.0018732972811259982,0.00041735186077453205,nan,nan
pp,0.29000000000000004,2.995796162121622,2.000985607909242,6.4823459827052154,0.0020499728686939316,0.0004417519180756129,nan,nan
pp,0.3,2.995796162121622,2.000985607909242,6.481715600278333,0.0022431350248039847,0.0004678063098300823,nan,nan
pp,0.31,2.995796162121622,2.000985607909242,6.481027761951916,0.0024543289733574745,0.0004956194743033729,nan,nan
pp,0.32,2.995796162121622,2.000985607909242,6.480277208609157,0.002685300078768162,0.0005252147148658786,nan,nan
pp,0.33,2.995796162121622,2.000985607909242,6.479458201457682,0.0029378918572275105,0.0005567096413277684,nan,nan
pp,0.34,2.995796162121622,2.000985607909242,6.478564470147264,0.0032141725948780933,0.0005901529417289657,nan,nan
pp,0.35000000000000003,2.995796162121622,2.000985607909242,6.4775891651653374,0.0035163080852101103,0.0006257389210381423,nan,nan
pp,0.36000000000000004,2.995796162121622,2.000985607909242,6.476524820478289,0.003846697224378018,0.0006636237132791277,nan,nan
pp,0.37,2.995796162121622,2.000985607909242,6.475363287818801,0.004207970747359515,0.0007039605236359351,nan,nan
