rank,angle_bin,representative_angle_deg,count,mass_fraction,cumulative_mass_fraction,boundary_tau,max_pairwise_gate_disagreement_off_boundary,mean_pairwise_gate_disagreement_off_boundary
1,35,-1.5693229753151834,47,0.5275878986126445,0.5275878986126445,0.020260536992438318,0.1186842105263158,0.03003262086761773
2,36,1.7983366346491414,14,0.20071890345076251,0.728306802063407,0.021191253942485975,0.1281578947368421,0.04208502024291497
3,53,89.50058117376676,29,0.08952820755932452,0.8178350096227316,0.019253698608104882,0.035,0.0029867772880477037
4,37,7.949510376098384,5,0.05012742037698483,0.8679624299997164,0.09527611814991493,0.0,0.0
5,38,11.884139285396799,3,0.025502362754133114,0.8934647927538495,0.22498667314908374,0.0,0.0
6,54,90.59931799283531,26,0.019588314634188284,0.9130531073880378,0.020354274858173867,0.1694736842105263,0.0566477732793522
7,41,28.98786370191003,3,0.015635896515250353,0.9286890039032881,0.7818330860067134,0.0,0.0
8,51,76.75398631717749,4,0.014459688415055953,0.9431486923183441,0.4952382656590396,0.0,0.0
9,39,18.503938549093004,2,0.013613468681595887,0.9567621609999399,0.45009481935117046,0.0,0.0
10,48,61.677842644163896,2,0.00712451059669356,0.9638866715966335,1.2304260584360591,0.0,0.0
11,49,68.26831920711088,2,0.0070678618303320175,0.9709545334269656,0.9171597484883536,0.0,0.0
12,40,20.189689373839794,1,0.00648133337941626,0.9774358668063818,0.5037137936225278,0.0,0.0
13,42,30.477180550861277,1,0.005052313933106492,0.9824881807394883,0.8258382931028181,0.0,0.0
14,43,39.49023814419055,1,0.004313881503791648,0.9868020622432799,1.0807712670814595,0.0,0.0
15,44,41.61865426856549,1,0.004186175634061675,0.9909882378773416,1.137133402306585,0.0,0.0
16,46,52.89467643142334,1,0.003723225188729571,0.9947114630660712,1.399794752182277,0.0,0.0
17,52,80.53395472279074,1,0.003694471089405178,0.9984059341554763,0.30420498334971374,0.0,0.0
18,34,-5.384214796926858,5,0.0012012827816435634,0.9996072169371198,0.03919323728384419,0.01631578947368421,0.006526315789473684
19,55,96.27147888862875,5,0.0003359068064071104,0.999943123743527,0.13151996178864436,0.0,0.0
20,58,110.2921791057676,2,1.4351204148643947e-05,0.9999574749476756,0.8398367415649619,0.0,0.0
21,59,116.48826498147983,1,4.347662072782279e-06,0.9999618226097484,1.1401591223819854,0.0,0.0
22,2,-167.6648758298907,5,4.2301099800841906e-06,0.9999660527197285,0.2396343161630043,0.0,0.0
23,16,-97.40174949444109,4,3.384231301982637e-06,0.9999694369510305,0.19883442772894055,0.0,0.0
24,10,-127.28123570286807,4,3.3839721329888668e-06,0.9999728209231634,1.396053878590654,0.0,0.0
25,4,-157.4275763085656,4,3.383972132988866e-06,0.9999762048952964,0.5811352217400435,0.0,0.0
26,6,-148.35548931342157,3,2.53797909974165e-06,0.9999787428743961,0.8602481450247995,0.0,0.0
27,8,-136.34737657016385,3,2.53797909974165e-06,0.9999812808534959,1.1889917346261778,0.0,0.0
28,0,-175.700896580998,2,1.6962636972008435e-06,0.9999829771171931,0.03187423518034289,0.0,0.0
29,3,-162.88412586612952,2,1.6919860664944334e-06,0.9999846691032596,0.4040527646477061,0.0,0.0
30,9,-132.8555506889414,2,1.6919860664944334e-06,0.999986361089326,1.2756954373080782,0.0,0.0
31,12,-118.31246111073041,2,1.6919860664944334e-06,0.9999880530753925,1.2299538363340463,0.0,0.0
32,13,-112.16841267287592,2,1.6919860664944334e-06,0.999989745061459,0.9375536970319838,0.0,0.0
33,14,-108.35487207405565,2,1.6919860664944334e-06,0.9999914370475255,0.7492556035700986,0.0,0.0
34,65,145.21738808525527,1,1.282655309642612e-06,0.9999927197028351,0.9489696517272338,0.0,0.0
35,24,-57.282939995776346,1,1.2461047343824456e-06,0.9999939658075695,1.3886072421113698,0.0,0.0
36,69,168.2224679084444,1,9.013595458401626e-07,0.9999948671671154,0.21281713921721293,0.0,0.0
37,19,-83.02873783414175,1,8.755251920489123e-07,0.9999957426923074,0.16737735498765974,0.0,0.0
38,18,-85.69196824375213,1,8.616284546153208e-07,0.999996604320762,0.05720120599230104,0.0,0.0
39,71,179.05961990545023,1,8.561332064458776e-07,0.9999974604539684,0.02144219940021753,0.0,0.0
40,1,-174.98036936331516,1,8.47559964812978e-07,0.9999983080139332,0.036932988170777545,0.0,0.0
41,7,-142.02169935471736,1,8.459930332472167e-07,0.9999991540069665,1.040296105094805,0.0,0.0
42,5,-151.69318662036963,1,8.459930332472165e-07,0.9999999999999998,0.761290462429991,0.0,0.0
