rank,angle_bin,representative_angle_deg,count,mass_fraction,cumulative_mass_fraction,boundary_tau,max_pairwise_gate_disagreement_off_boundary,mean_pairwise_gate_disagreement_off_boundary
1,35,-2.6439711941006796,51,0.39808460812519736,0.39808460812519736,0.022391789364888264,0.12894736842105264,0.031449329205366396
2,53,89.21346219083439,42,0.36424651330393504,0.7623311214291324,0.018806489762456274,0.16236842105263158,0.03191148603215356
3,36,1.7539683040048801,8,0.06744468092060073,0.8297758023497331,0.020516007380544127,0.08342105263157895,0.036926691729323315
4,54,90.19897706931543,23,0.02831276243310236,0.8580885647828355,0.020542185139605103,0.1355263157894737,0.04829415435822752
5,52,82.12551960525147,3,0.027042617384229792,0.8851311821670652,0.22297135369230245,0.0,0.0
6,38,12.313815964600096,3,0.018388300727669487,0.9035194828947347,0.23894751833634456,0.0,0.0
7,46,50.79914118421592,3,0.015963381655654328,0.9194828645503891,1.3575923650037738,0.0,0.0
8,37,8.12263266401676,2,0.013346464353076437,0.9328293289034655,0.10122364295485942,0.0,0.0
9,48,63.23136156104928,2,0.012240492485708227,0.9450698213891737,1.1572540191622314,0.0,0.0
10,39,17.09287347005975,2,0.01140534757380697,0.9564751689629807,0.40324072555800694,0.0,0.0
11,42,32.48070975114731,2,0.010159801264189163,0.9666349702271698,0.8862548975116543,0.0,0.0
12,51,78.34328706780478,1,0.008200286358772175,0.974835256585942,0.4159666230832774,0.0,0.0
13,50,73.52658465905873,1,0.007358921280354419,0.9821941778662964,0.6559023382614887,0.0,0.0
14,40,23.320736558276742,1,0.005338288661196095,0.9875324665274925,0.6067788326472665,0.0,0.0
15,45,48.32704736296197,1,0.005228935500580444,0.992761402028073,1.302220642057409,0.0,0.0
16,43,35.58270665162216,1,0.005049345498694746,0.9978107475267677,0.9748568273505491,0.0,0.0
17,34,-5.499467117171038,7,0.002111352754584609,0.9999221002813523,0.041439755799057655,0.017631578947368422,0.005087719298245613
18,55,99.40451721099646,2,4.0885557601507325e-05,0.9999629858389538,0.29291590657797617,0.0,0.0
19,56,102.55495856170403,1,1.159167762726164e-05,0.999974577516581,0.45420393333842474,0.0,0.0
20,16,-97.23754272360874,4,2.129755584983521e-06,0.999976707272166,0.19027257820051705,0.0,0.0
21,2,-167.15021382242693,4,2.1295510579193528e-06,0.999978836823224,0.25703870415552205,0.0,0.0
22,10,-127.28123570286807,4,2.129436144607255e-06,0.9999809662593686,1.396053878590654,0.0,0.0
23,4,-157.4275763085656,4,2.1294361446072546e-06,0.9999830956955132,0.5811352217400435,0.0,0.0
24,60,122.2032379241862,1,1.9338333123552403e-06,0.9999850295288256,1.377275411612002,0.0,0.0
25,0,-177.05664483156337,3,1.6054181406513434e-06,0.9999866349469663,0.02431839232359296,0.016842105263157894,0.011228070175438596
26,6,-148.35548931342157,3,1.5970771084554412e-06,0.9999882320240747,0.8602481450247995,0.0,0.0
27,8,-136.34737657016385,3,1.5970771084554412e-06,0.9999898291011832,1.1889917346261778,0.0,0.0
28,3,-162.88412586612952,2,1.0647180723036275e-06,0.9999908938192554,0.4040527646477061,0.0,0.0
29,9,-132.8555506889414,2,1.0647180723036275e-06,0.9999919585373277,1.2756954373080782,0.0,0.0
30,12,-118.31246111073041,2,1.0647180723036275e-06,0.9999930232554,1.2299538363340463,0.0,0.0
31,13,-112.16841267287592,2,1.0647180723036275e-06,0.9999940879734722,0.9375536970319838,0.0,0.0
32,14,-108.35487207405565,2,1.0647180723036275e-06,0.9999951526915445,0.7492556035700986,0.0,0.0
33,25,-53.74494323495965,1,8.652202247286406e-07,0.9999960179117692,1.4163268102082327,0.0,0.0
34,66,152.32608571309632,1,6.997106935740269e-07,0.9999967176224628,0.7373984866365254,0.0,0.0
35,20,-78.26972502559988,1,5.731663422414684e-07,0.9999972907888051,0.4119147219349566,0.0,0.0
36,19,-80.74567014221245,1,5.59820922145684e-07,0.9999978506097272,0.28523174265678786,0.0,0.0
37,70,173.40242924664264,1,5.522102466786295e-07,0.9999984028199739,0.05953967592778313,0.0,0.0
38,1,-170.00430469035595,1,5.324619534551709e-07,0.9999989352819273,0.16035410939322703,0.0,0.0
39,7,-142.02169935471736,1,5.323590361518137e-07,0.9999994676409635,1.040296105094805,0.0,0.0
40,5,-151.69318662036963,1,5.323590361518136e-07,0.9999999999999997,0.761290462429991,0.0,0.0
