rank,angle_bin,representative_angle_deg,count,mass_fraction,cumulative_mass_fraction,boundary_tau,max_pairwise_gate_disagreement_off_boundary,mean_pairwise_gate_disagreement_off_boundary
1,36,1.4698138861453238,34,0.5984884357757396,0.5984884357757396,0.020552376896723734,0.14578947368421052,0.040876723895299734
2,35,-0.32998990591213195,35,0.2946071458994676,0.8930955816752073,0.019662745001460303,0.1455263157894737,0.03680672268907557
3,37,6.207713065783617,7,0.06150351339390565,0.954599095069113,0.05357654443260356,0.003947368421052632,0.0012280701754385963
4,38,11.304019074913036,5,0.023195182222530076,0.977794277291643,0.20528691009729053,0.0,0.0
5,54,91.47280214630302,28,0.005957606241532337,0.9837518835331753,0.021706079166886823,0.17157894736842105,0.05399610136452238
6,39,15.31874959821706,1,0.003142386327440238,0.9868942698606156,0.3413129178778326,0.0,0.0
7,41,26.684578742228787,2,0.0027281151681505618,0.9896223850287661,0.7124025284654861,0.0,0.0
8,40,20.7856717423848,1,0.002009647520695527,0.9916320325494616,0.5229280432010734,0.0,0.0
9,53,89.15586921487814,6,0.0019809406099415153,0.9936129731594031,0.019099548368192342,0.060789473684210525,0.031578947368421054
10,42,32.96693594870138,2,0.0019713001562702043,0.9955842733156733,0.9003602167428628,0.0,0.0
11,44,44.06820827851084,3,0.0019273721365872093,0.9975116454522606,1.1991891901978644,0.0,0.0
12,55,96.62932930551979,13,0.0007768069342553946,0.998288452386516,0.15006365474184769,0.0,0.0
13,45,48.2677711276121,1,0.000567156400946617,0.9988556087874626,1.300923121311953,0.0,0.0
14,46,52.73285453911765,1,0.0005060475661248742,0.9993616563535874,1.396354001051479,0.0,0.0
15,52,81.76951278823587,1,0.0003477879582574373,0.9997094443118448,0.24101034133907887,0.0,0.0
16,56,101.75837678965186,5,0.00011475415268362188,0.9998241984645284,0.4134616473135999,0.0,0.0
17,34,-7.4245028785445015,1,6.716550768385795e-05,0.9998913639722122,0.07389128805633036,0.0,0.0
18,57,106.25347307572979,2,2.544166426190579e-05,0.9999168056364741,0.6384662447268905,0.0,0.0
19,58,112.07147710999226,3,2.164220446611434e-05,0.9999384478409402,0.9279455635784278,0.0,0.0
20,59,115.52974469933939,2,1.1182832696484394e-05,0.9999496306736367,1.0936028883455344,0.0,0.0
21,2,-167.6498675119531,5,5.168152272086266e-06,0.9999547988259089,0.24011803856576563,0.0,0.0
22,16,-97.50273866610881,4,4.134559649460623e-06,0.9999589333855583,0.20386786733265438,0.0,0.0
23,10,-127.28123570286807,4,4.134441614045941e-06,0.9999630678271724,1.396053878590654,0.0,0.0
24,4,-157.4275763085656,4,4.13444161404594e-06,0.9999672022687864,0.5811352217400435,0.0,0.0
25,6,-148.35548931342157,3,3.1008312105344553e-06,0.999970303099997,0.8602481450247995,0.0,0.0
26,8,-136.34737657016385,3,3.1008312105344553e-06,0.9999734039312076,1.1889917346261778,0.0,0.0
27,0,-176.87394154403748,2,2.0739087226337672e-06,0.9999754778399302,0.02517980139501605,0.05131578947368421,0.05131578947368421
28,1,-174.6593259413112,2,2.0695046199351406e-06,0.9999775473445501,0.04128547021241253,0.0,0.0
29,3,-162.88412586612952,2,2.0672208070229703e-06,0.9999796145653571,0.4040527646477061,0.0,0.0
30,9,-132.8555506889414,2,2.0672208070229703e-06,0.9999816817861641,1.2756954373080782,0.0,0.0
31,12,-118.31246111073041,2,2.0672208070229703e-06,0.9999837490069711,1.2299538363340463,0.0,0.0
32,13,-112.16841267287592,2,2.0672208070229703e-06,0.999985816227778,0.9375536970319838,0.0,0.0
33,14,-108.35487207405565,2,2.0672208070229703e-06,0.999987883448585,0.7492556035700986,0.0,0.0
34,64,144.88816729250985,1,1.5767407537292947e-06,0.9999894601893388,0.9584141238182043,0.0,0.0
35,65,145.49613027295905,1,1.553709530720595e-06,0.9999910138988695,0.940766804258183,0.0,0.0
36,23,-61.21115983951844,1,1.3807647803036515e-06,0.9999923946636498,1.2448032992509608,0.0,0.0
37,66,152.86918791850178,1,1.3322447241428597e-06,0.9999937269083738,0.719527617196639,0.0,0.0
38,70,170.63104898193282,1,1.0805934684318203e-06,0.9999948075018423,0.13362070438972085,0.0,0.0
39,71,178.04692681530665,1,1.0469008339298582e-06,0.9999958544026762,0.019681627127015724,0.0,0.0
40,18,-88.49789579412055,1,1.041937120447493e-06,0.9999968963397967,0.021728321892186073,0.0,0.0
41,17,-91.48201550148087,1,1.0364393960537062e-06,0.9999979327791928,0.020069650545531368,0.0,0.0
42,7,-142.02169935471736,1,1.0336104035114852e-06,0.9999989663895963,1.040296105094805,0.0,0.0
43,5,-151.69318662036963,1,1.033610403511485e-06,0.9999999999999998,0.761290462429991,0.0,0.0
