distance_lo_deg,distance_hi_deg,n,median_selector_model_rms,mean_selector_model_rms,p90_selector_model_rms,p95_selector_model_rms
0.0,2.0,456,0.11036945421992622,0.4813978539777632,1.0,1.2014233774468548
2.0,4.0,288,0.09867410746713712,0.34364123983398964,1.0,1.0
4.0,6.0,288,0.08655203905300338,0.30511395323698093,1.0,1.0
6.0,10.0,576,0.07743296679260797,0.29333835596082214,1.0,1.0
10.0,20.0,1440,0.07256563605722155,0.28987413337088513,1.0,1.0
20.0,180.0,3432,0.07737641374127313,0.3095847268893131,1.0,1.0
