cell_id,metric,mean,median,max,p95
mu2_1p800__sigma_0p120,frozen_gate_rel_rms_all,0.006278988340243723,0.006378629778503368,0.01319016504522365,0.012575283105074166
mu2_1p800__sigma_0p120,block_selector_rel_rms_all,0.06605092578824068,0.0653736879836787,0.07094428687569154,0.06912379136733951
mu2_1p800__sigma_0p120,frozen_gate_rel_rms_cluster1,0.006317202339728927,0.006837757628136832,0.012042989222978369,0.011634030805020032
mu2_1p800__sigma_0p120,frozen_gate_rel_rms_cluster2,0.005916259109693573,0.004892404069644431,0.015932145373249603,0.014866143286442686
mu2_1p800__sigma_0p120,block_selector_rel_rms_cluster1,0.0658572692058801,0.06543179462105299,0.06917285419832102,0.06822330521191888
mu2_1p800__sigma_0p120,block_selector_rel_rms_cluster2,0.06665634058193907,0.06578246344594268,0.0785295128202705,0.07234967341626451
mu2_1p800__sigma_0p150,frozen_gate_rel_rms_all,0.007240961287902913,0.00736851048409888,0.015219411774463117,0.014516717485711502
mu2_1p800__sigma_0p150,block_selector_rel_rms_all,0.06297151684667703,0.062304256909602146,0.06710557056939888,0.0654139645497922
mu2_1p800__sigma_0p150,frozen_gate_rel_rms_cluster1,0.007239266686335827,0.007796762700425922,0.013941307684573993,0.013453126037940404
mu2_1p800__sigma_0p150,frozen_gate_rel_rms_cluster2,0.007015652932013242,0.006034854655114995,0.01827869482622291,0.01710379127301729
mu2_1p800__sigma_0p150,block_selector_rel_rms_cluster1,0.06404524284715546,0.06366747574371025,0.06656874400878436,0.06645809910205767
mu2_1p800__sigma_0p150,block_selector_rel_rms_cluster2,0.05986633603074688,0.05927978757832245,0.06958750758349683,0.06390956019446951
mu2_1p800__sigma_0p180,frozen_gate_rel_rms_all,0.008305947618219229,0.008477508186230191,0.017422777129815287,0.01662548309685208
mu2_1p800__sigma_0p180,block_selector_rel_rms_all,0.06108955775859215,0.060514939232380535,0.0644828879988255,0.06288362792783955
mu2_1p800__sigma_0p180,frozen_gate_rel_rms_cluster1,0.008325408412778082,0.00893700901990108,0.01614458514550671,0.015566191772568006
mu2_1p800__sigma_0p180,frozen_gate_rel_rms_cluster2,0.008036970320955555,0.007065511256313313,0.02052015956297317,0.019230758859694445
mu2_1p800__sigma_0p180,block_selector_rel_rms_cluster1,0.06291437183273836,0.06255961840576701,0.06554745983238568,0.06544477431484415
mu2_1p800__sigma_0p180,block_selector_rel_rms_cluster2,0.055611030731593916,0.05502852772993422,0.06317681950185407,0.05937103766131789
mu2_2p000__sigma_0p120,frozen_gate_rel_rms_all,0.008380720901518274,0.008546557834372255,0.017346691465032635,0.016592878354887285
mu2_2p000__sigma_0p120,block_selector_rel_rms_all,0.09608430598319408,0.09516394020247247,0.10365450600479555,0.10055144019418061
mu2_2p000__sigma_0p120,frozen_gate_rel_rms_cluster1,0.007917346353726993,0.008687052596814173,0.014575621387331926,0.014121631695641849
mu2_2p000__sigma_0p120,frozen_gate_rel_rms_cluster2,0.009066377227549114,0.008223327614262739,0.022333890364791942,0.021098327958738883
mu2_2p000__sigma_0p120,block_selector_rel_rms_cluster1,0.09744709764147719,0.09677825027991803,0.10246950496366211,0.10117022512152461
mu2_2p000__sigma_0p120,block_selector_rel_rms_cluster2,0.09295538037740343,0.09183820864501425,0.10746159728852248,0.09932796906105516
mu2_2p000__sigma_0p150,frozen_gate_rel_rms_all,0.009875372749894775,0.010154088426553128,0.020167959723189393,0.01931532123691268
mu2_2p000__sigma_0p150,block_selector_rel_rms_all,0.08546269069377284,0.08451863941858664,0.09158249670938334,0.08933984757511323
mu2_2p000__sigma_0p150,frozen_gate_rel_rms_cluster1,0.00938209230756594,0.010251674860905075,0.017289622746509376,0.016741165901597462
mu2_2p000__sigma_0p150,frozen_gate_rel_rms_cluster2,0.01063719861312822,0.009932650111167335,0.025442744859393858,0.024087568802503134
mu2_2p000__sigma_0p150,block_selector_rel_rms_cluster1,0.08580737343571998,0.08511350022605013,0.08990382005524894,0.08973620227754987
mu2_2p000__sigma_0p150,block_selector_rel_rms_cluster2,0.08469313091326162,0.08399645526550648,0.09710020326258703,0.08955545710779764
mu2_2p000__sigma_0p180,frozen_gate_rel_rms_all,0.011241476514631367,0.011603912820593762,0.02281759456497211,0.02186274507336606
mu2_2p000__sigma_0p180,block_selector_rel_rms_all,0.07597733909082323,0.0750315374302034,0.0805881824175496,0.07922386509558205
mu2_2p000__sigma_0p180,frozen_gate_rel_rms_cluster1,0.010779725229128592,0.011731887039842397,0.01997242559306504,0.01932200052691687
mu2_2p000__sigma_0p180,frozen_gate_rel_rms_cluster2,0.01195822009388693,0.011313635570980434,0.0281337829591507,0.026661063001053198
mu2_2p000__sigma_0p180,block_selector_rel_rms_cluster1,0.075018256010278,0.0742836865444422,0.07956360542190108,0.07934931239390874
mu2_2p000__sigma_0p180,block_selector_rel_rms_cluster2,0.07806841509606978,0.07747778157188674,0.08792314232994698,0.08116844632799286
